===SHEET Salaries===
,,FY25,FY26,%,,,,,,,,,,,,,,,,,,,,,,,FY23 Level,FY23 Step,FY23 Hourly Rate,,FY23 Degree Advancement,FY23 Annual Salary,FY23 Budgeted Salary,FY23 Budgeted Personnel Budget
,"DESCRIPTION, SALARIES",Budgeted,Proposed,increase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210 - Superintendent Office Salaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Superintendent,177000,177000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Superintendent Mileage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Superintenent Life Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Executive Secretaries/Supt.,133663,156879,0.1737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Remote Coordinator,,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Overtime,800,800,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230-District Wide Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transition/Leadership Team,-,30561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410 - Business Office Salaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Business Manager,75000,76875,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Business Office/Clerical,87723,35500,-0.5953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420 - Human Resources Salaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Human Resource Director,75000,76875,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Human Resource Specialist,,71000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1450 - Administrative Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Technology Personnel,124355,128500,0.0333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
