date,kind,board,our_copy,town_pdf,bytes
2026-08-17,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2026-08-17-agenda-7967.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08172026-7967,1019
2026-07-20,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2026-07-20-agenda-7913.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07202026-7913,1044
2026-06-15,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2026-06-15-agenda-7853.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06152026-7853,1042
2026-05-04,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2026-05-04-agenda-7794.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05042026-7794,1011
2026-04-06,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2026-04-06-agenda-7751.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04062026-7751,1046
2026-02-23,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2026-02-23-agenda-7664.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02232026-7664,1061
2025-12-15,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-12-15-agenda-7564.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12152025-7564,944
2025-12-15,minutes,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-12-15-minutes-7564.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12152025-7564,2283
2025-11-24,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-11-24-agenda-7531.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11242025-7531,944
2025-10-20,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-10-20-agenda-7465.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10202025-7465,984
2025-10-20,minutes,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-10-20-minutes-7465.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10202025-7465,2208
2025-09-22,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-09-22-agenda-7412.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09222025-7412,1044
2025-09-22,minutes,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-09-22-minutes-7412.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09222025-7412,2388
2025-09-08,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-09-08-agenda-7394.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09082025-7394,1132
2025-09-08,minutes,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-09-08-minutes-7394.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09082025-7394,2710
2025-08-25,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-08-25-agenda-7362.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08252025-7362,976
2025-08-25,minutes,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-08-25-minutes-7362.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08252025-7362,2244
2025-08-04,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-08-04-agenda-7333.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08042025-7333,1246
2025-08-04,minutes,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-08-04-minutes-7333.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08042025-7333,4228
2025-07-09,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-07-09-agenda-7305.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07092025-7305,1299
2025-07-09,minutes,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-07-09-minutes-7305.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07092025-7305,2984
2025-06-09,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-06-09-agenda-7257.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06092025-7257,1194
2025-06-09,minutes,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-06-09-minutes-7257.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06092025-7257,2634
2025-05-19,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-05-19-agenda-7230.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05192025-7230,1270
2025-05-19,minutes,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-05-19-minutes-7230.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05192025-7230,3170
2025-04-14,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-04-14-agenda-7168.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04142025-7168,1232
2025-04-14,minutes,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-04-14-minutes-7168.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04142025-7168,3602
2025-03-24,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-03-24-agenda-7120.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03242025-7120,1271
2025-03-24,minutes,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-03-24-minutes-7120.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03242025-7120,3087
2025-02-24,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-02-24-agenda-7067.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02242025-7067,1233
2025-02-24,minutes,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-02-24-minutes-7067.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02242025-7067,4456
2025-01-27,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-01-27-agenda-6989.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01272025-6989,1223
2025-01-27,minutes,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2025-01-27-minutes-6989.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01272025-6989,3132
2024-12-16,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2024-12-16-agenda-6923.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12162024-6923,1098
2024-12-16,minutes,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2024-12-16-minutes-6923.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12162024-6923,3049
2024-11-18,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2024-11-18-agenda-6881.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11182024-6881,1188
2024-11-18,minutes,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2024-11-18-minutes-6881.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11182024-6881,2068
2024-10-21,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2024-10-21-agenda-6837.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10212024-6837,1127
2024-10-21,minutes,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2024-10-21-minutes-6837.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10212024-6837,2422
2024-09-30,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2024-09-30-agenda-6793.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09302024-6793,1141
2024-09-30,minutes,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2024-09-30-minutes-6793.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09302024-6793,1996
2024-09-23,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2024-09-23-agenda-6778.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09232024-6778,1201
2024-09-23,minutes,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2024-09-23-minutes-6778.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09232024-6778,2242
2024-09-16,agenda,agricultural-commission,https://lunenburgbudgetproject.org/docs/minutes/text/agricultural-commission/2024-09-16-agenda-6761.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09162024-6761,1096
