date,kind,board,our_copy,town_pdf,bytes
2026-08-11,agenda,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2026-08-11-agenda-7956.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08112026-7956,1053
2026-08-05,agenda,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2026-08-05-agenda-7942.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08052026-7942,4313
2026-07-01,agenda,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2026-07-01-agenda-7885.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07012026-7885,3226
2026-06-03,agenda,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2026-06-03-agenda-7834.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06032026-7834,3387
2026-06-03,minutes,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2026-06-03-minutes-7834.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06032026-7834,4179
2026-05-13,agenda,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2026-05-13-agenda-7802.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05132026-7802,4177
2026-05-13,minutes,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2026-05-13-minutes-7802.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05132026-7802,69
2026-04-22,agenda,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2026-04-22-agenda-7773.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04222026-7773,3136
2026-04-22,minutes,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2026-04-22-minutes-7773.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04222026-7773,41
2026-04-08,agenda,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2026-04-08-agenda-7722.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04082026-7722,3614
2026-04-08,minutes,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2026-04-08-minutes-7722.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04082026-7722,55
2026-03-11,agenda,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2026-03-11-agenda-7703.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03112026-7703,1280
2026-02-25,agenda,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2026-02-25-agenda-7665.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02252026-7665,3764
2026-02-25,minutes,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2026-02-25-minutes-7665.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02252026-7665,55
2026-02-04,agenda,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2026-02-04-agenda-7628.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02042026-7628,4042
2026-02-04,minutes,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2026-02-04-minutes-7628.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02042026-7628,69
2026-01-07,agenda,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2026-01-07-agenda-7580.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01072026-7580,3911
2026-01-07,minutes,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2026-01-07-minutes-7580.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01072026-7580,83
2025-12-03,agenda,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2025-12-03-agenda-7538.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12032025-7538,3737
2025-12-03,minutes,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2025-12-03-minutes-7538.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12032025-7538,55
2025-11-19,agenda,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2025-11-19-agenda-7512.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11192025-7512,3935
2025-11-19,minutes,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2025-11-19-minutes-7512.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11192025-7512,69
2025-11-03,agenda,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2025-11-03-agenda-7487.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11032025-7487,2881
2025-11-03,minutes,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2025-11-03-minutes-7487.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11032025-7487,55
2025-10-22,agenda,board-of-assessors,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-assessors/2025-10-22-agenda-7470.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10222025-7470,3661
