date,kind,board,our_copy,town_pdf,bytes
2026-08-17,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2026-08-17-agenda-7964.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08172026-7964,4145
2026-08-05,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2026-08-05-agenda-7943.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08052026-7943,4313
2026-07-20,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2026-07-20-agenda-7915.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07202026-7915,787
2026-07-20,minutes,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2026-07-20-minutes-7915.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07202026-7915,4285
2026-06-15,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2026-06-15-agenda-7856.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06152026-7856,795
2026-06-15,minutes,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2026-06-15-minutes-7856.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06152026-7856,3862
2026-06-01,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2026-06-01-agenda-7833.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06012026-7833,630
2026-06-01,minutes,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2026-06-01-minutes-7833.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06012026-7833,1860
2026-05-18,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2026-05-18-agenda-7811.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05182026-7811,685
2026-05-18,minutes,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2026-05-18-minutes-7811.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05182026-7811,1934
2026-05-04,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2026-05-04-agenda-7792.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05042026-7792,622
2026-05-04,minutes,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2026-05-04-minutes-7792.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05042026-7792,1681
2026-04-06,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2026-04-06-agenda-7749.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04062026-7749,851
2026-04-06,minutes,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2026-04-06-minutes-7749.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04062026-7749,3058
2026-03-16,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2026-03-16-agenda-7711.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03162026-7711,781
2026-03-16,minutes,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2026-03-16-minutes-7711.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03162026-7711,1540
2026-03-10,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2026-03-10-agenda-7699.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03102026-7699,3064
2026-02-02,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2026-02-02-agenda-7629.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02022026-7629,1307
2026-02-02,minutes,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2026-02-02-minutes-7629.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02022026-7629,2838
2025-12-01,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-12-01-agenda-7537.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12012025-7537,721
2025-12-01,minutes,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-12-01-minutes-7537.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12012025-7537,1479
2025-11-17,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-11-17-agenda-7516.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11172025-7516,768
2025-11-17,minutes,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-11-17-minutes-7516.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11172025-7516,1548
2025-10-20,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-10-20-agenda-7463.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10202025-7463,799
2025-10-06,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-10-06-agenda-7440.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10062025-7440,804
2025-10-06,minutes,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-10-06-minutes-7440.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10062025-7440,1562
2025-09-15,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-09-15-agenda-7402.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09152025-7402,801
2025-09-15,minutes,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-09-15-minutes-7402.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09152025-7402,1891
2025-08-18,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-08-18-agenda-7353.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08182025-7353,789
2025-08-18,minutes,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-08-18-minutes-7353.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08182025-7353,1574
2025-07-21,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-07-21-agenda-7320.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07212025-7320,768
2025-07-21,minutes,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-07-21-minutes-7320.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07212025-7320,3087
2025-06-16,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-06-16-agenda-7276.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06162025-7276,671
2025-06-16,minutes,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-06-16-minutes-7276.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06162025-7276,968
2025-06-02,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-06-02-agenda-7244.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06022025-7244,688
2025-06-02,minutes,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-06-02-minutes-7244.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06022025-7244,1444
2025-05-19,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-05-19-agenda-7229.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05192025-7229,594
2025-05-19,minutes,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-05-19-minutes-7229.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05192025-7229,1487
2025-05-05,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-05-05-agenda-7201.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05052025-7201,698
2025-05-05,minutes,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-05-05-minutes-7201.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05052025-7201,3041
2025-04-07,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-04-07-agenda-7130.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04072025-7130,742
2025-04-07,minutes,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-04-07-minutes-7130.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04072025-7130,1333
2025-03-17,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-03-17-agenda-7100.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03172025-7100,758
2025-03-17,minutes,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-03-17-minutes-7100.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03172025-7100,2003
2025-03-03,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-03-03-agenda-7077.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03032025-7077,851
2025-03-03,minutes,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-03-03-minutes-7077.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03032025-7077,7712
2025-01-06,agenda,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-01-06-agenda-6936.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01062025-6936,891
2025-01-06,minutes,board-of-health,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-health/2025-01-06-minutes-6936.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01062025-6936,4232
