date,kind,board,our_copy,town_pdf,bytes
2026-09-04,agenda,board-of-registrars,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-registrars/2026-09-04-agenda-8001.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09042026-8001,254
2026-09-01,agenda,board-of-registrars,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-registrars/2026-09-01-agenda-7996.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09012026-7996,27
2026-09-01,agenda,board-of-registrars,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-registrars/2026-09-01-agenda-7997.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09012026-7997,41
2026-08-08,agenda,board-of-registrars,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-registrars/2026-08-08-agenda-7958.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08082026-7958,638
2026-06-25,agenda,board-of-registrars,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-registrars/2026-06-25-agenda-7875.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06252026-7875,13
2026-06-24,agenda,board-of-registrars,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-registrars/2026-06-24-agenda-7867.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06242026-7867,13
2026-05-21,agenda,board-of-registrars,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-registrars/2026-05-21-agenda-7822.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05212026-7822,13
2026-02-24,agenda,board-of-registrars,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-registrars/2026-02-24-agenda-7668.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02242026-7668,419
2026-02-19,agenda,board-of-registrars,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-registrars/2026-02-19-agenda-7653.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02192026-7653,420
2025-02-20,agenda,board-of-registrars,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-registrars/2025-02-20-agenda-7064.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02202025-7064,397
2025-02-13,agenda,board-of-registrars,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-registrars/2025-02-13-agenda-7033.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02132025-7033,389
2024-11-14,agenda,board-of-registrars,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-registrars/2024-11-14-agenda-6874.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11142024-6874,13
2024-11-12,agenda,board-of-registrars,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-registrars/2024-11-12-agenda-6870.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11122024-6870,312
2024-11-07,agenda,board-of-registrars,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-registrars/2024-11-07-agenda-6867.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11072024-6867,13
2024-11-01,agenda,board-of-registrars,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-registrars/2024-11-01-agenda-6856.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11012024-6856,13
2024-08-30,agenda,board-of-registrars,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-registrars/2024-08-30-agenda-6731.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08302024-6731,218
2024-08-16,agenda,board-of-registrars,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-registrars/2024-08-16-agenda-6708.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08162024-6708,508
2024-03-13,agenda,board-of-registrars,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-registrars/2024-03-13-agenda-6464.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03132024-6464,13
2023-07-25,agenda,board-of-registrars,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-registrars/2023-07-25-agenda-403.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07252023-403,329
2023-04-04,agenda,board-of-registrars,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-registrars/2023-04-04-agenda-1146.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04042023-1146,376
2022-12-10,agenda,board-of-registrars,https://lunenburgbudgetproject.org/docs/minutes/text/board-of-registrars/2022-12-10-agenda-1142.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12102022-1142,487
