date,kind,board,our_copy,town_pdf,bytes
2024-12-19,agenda,budget-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/budget-task-force/2024-12-19-agenda-6932.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12192024-6932,1489
2024-12-17,agenda,budget-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/budget-task-force/2024-12-17-agenda-6926.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12172024-6926,1532
2024-12-16,agenda,budget-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/budget-task-force/2024-12-16-agenda-6912.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12162024-6912,1584
2024-12-02,agenda,budget-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/budget-task-force/2024-12-02-agenda-6891.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12022024-6891,1628
2024-11-18,agenda,budget-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/budget-task-force/2024-11-18-agenda-6869.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11182024-6869,1608
2024-11-04,agenda,budget-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/budget-task-force/2024-11-04-agenda-6853.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11042024-6853,1602
2024-10-21,agenda,budget-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/budget-task-force/2024-10-21-agenda-6821.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10212024-6821,1631
2024-10-07,agenda,budget-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/budget-task-force/2024-10-07-agenda-6817.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10072024-6817,1624
2024-09-30,agenda,budget-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/budget-task-force/2024-09-30-agenda-6791.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09302024-6791,1558
2024-09-23,agenda,budget-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/budget-task-force/2024-09-23-agenda-6782.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09232024-6782,1546
2024-09-16,agenda,budget-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/budget-task-force/2024-09-16-agenda-6720.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09162024-6720,1710
2024-08-19,agenda,budget-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/budget-task-force/2024-08-19-agenda-6701.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08192024-6701,1368
2024-08-05,agenda,budget-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/budget-task-force/2024-08-05-agenda-6678.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08052024-6678,956
2024-07-22,agenda,budget-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/budget-task-force/2024-07-22-agenda-6668.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07222024-6668,1395
2024-07-11,agenda,budget-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/budget-task-force/2024-07-11-agenda-6651.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07112024-6651,2445
