date,kind,board,our_copy,town_pdf,bytes
2019-10-06,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2019-10-06-agenda-1488.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10062019-1488,47
2019-10-06,minutes,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2019-10-06-minutes-1488.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10062019-1488,1817
2017-04-20,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2017-04-20-agenda-1487.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04202017-1487,13
2017-03-27,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2017-03-27-agenda-1485.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03272017-1485,728
2017-03-01,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2017-03-01-agenda-1486.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03012017-1486,726
2017-01-30,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2017-01-30-agenda-1484.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01302017-1484,723
2015-12-21,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-12-21-agenda-1483.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12212015-1483,1156
2015-12-21,minutes,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-12-21-minutes-1483.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12212015-1483,13
2015-11-24,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-11-24-agenda-1482.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11242015-1482,900
2015-11-24,minutes,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-11-24-minutes-1482.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11242015-1482,27
2015-10-28,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-10-28-agenda-1481.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10282015-1481,851
2015-10-28,minutes,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-10-28-minutes-1481.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10282015-1481,41
2015-10-05,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-10-05-agenda-1480.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10052015-1480,13
2015-09-21,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-09-21-agenda-1479.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09212015-1479,768
2015-09-21,minutes,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-09-21-minutes-1479.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09212015-1479,13
2015-08-17,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-08-17-agenda-1478.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08172015-1478,793
2015-08-17,minutes,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-08-17-minutes-1478.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08172015-1478,13
2015-08-07,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-08-07-agenda-1477.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08072015-1477,888
2015-08-07,minutes,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-08-07-minutes-1477.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08072015-1477,13
2015-07-06,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-07-06-agenda-1476.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07062015-1476,833
2015-07-06,minutes,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-07-06-minutes-1476.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07062015-1476,13
2015-06-15,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-06-15-agenda-1475.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06152015-1475,996
2015-06-15,minutes,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-06-15-minutes-1475.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06152015-1475,27
2015-05-18,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-05-18-agenda-1474.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05182015-1474,1152
2015-05-04,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-05-04-agenda-1473.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05042015-1473,1264
2015-04-30,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-04-30-agenda-1472.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04302015-1472,828
2015-04-30,minutes,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-04-30-minutes-1472.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04302015-1472,27
2015-04-06,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-04-06-agenda-1471.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04062015-1471,1309
2015-04-06,minutes,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-04-06-minutes-1471.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04062015-1471,13
2015-03-18,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-03-18-agenda-1470.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03182015-1470,1302
2015-01-05,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-01-05-agenda-1469.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01052015-1469,13
2015-01-05,minutes,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2015-01-05-minutes-1469.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01052015-1469,13
2014-12-01,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2014-12-01-agenda-1468.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12012014-1468,1471
2014-11-03,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2014-11-03-agenda-1467.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11032014-1467,1179
2014-11-03,minutes,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2014-11-03-minutes-1467.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11032014-1467,27
2014-10-06,agenda,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2014-10-06-agenda-1466.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10062014-1466,1167
2014-10-06,minutes,building-reuse-committee,https://lunenburgbudgetproject.org/docs/minutes/text/building-reuse-committee/2014-10-06-minutes-1466.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10062014-1466,27
