date,kind,board,our_copy,town_pdf,bytes
2026-08-13,agenda,by-law-committee,https://lunenburgbudgetproject.org/docs/minutes/text/by-law-committee/2026-08-13-agenda-7961.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08132026-7961,575
2026-06-11,agenda,by-law-committee,https://lunenburgbudgetproject.org/docs/minutes/text/by-law-committee/2026-06-11-agenda-7850.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06112026-7850,595
2026-05-14,agenda,by-law-committee,https://lunenburgbudgetproject.org/docs/minutes/text/by-law-committee/2026-05-14-agenda-7808.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05142026-7808,539
2026-04-09,agenda,by-law-committee,https://lunenburgbudgetproject.org/docs/minutes/text/by-law-committee/2026-04-09-agenda-7760.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04092026-7760,515
2026-03-12,agenda,by-law-committee,https://lunenburgbudgetproject.org/docs/minutes/text/by-law-committee/2026-03-12-agenda-7710.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03122026-7710,492
2025-12-04,agenda,by-law-committee,https://lunenburgbudgetproject.org/docs/minutes/text/by-law-committee/2025-12-04-agenda-7546.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12042025-7546,538
2025-11-06,agenda,by-law-committee,https://lunenburgbudgetproject.org/docs/minutes/text/by-law-committee/2025-11-06-agenda-7491.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11062025-7491,631
2025-10-02,agenda,by-law-committee,https://lunenburgbudgetproject.org/docs/minutes/text/by-law-committee/2025-10-02-agenda-7434.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10022025-7434,13
2025-10-02,minutes,by-law-committee,https://lunenburgbudgetproject.org/docs/minutes/text/by-law-committee/2025-10-02-minutes-7434.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10022025-7434,4494
2025-09-04,agenda,by-law-committee,https://lunenburgbudgetproject.org/docs/minutes/text/by-law-committee/2025-09-04-agenda-7380.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09042025-7380,413
2025-09-04,minutes,by-law-committee,https://lunenburgbudgetproject.org/docs/minutes/text/by-law-committee/2025-09-04-minutes-7380.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09042025-7380,2600
2025-09-03,agenda,by-law-committee,https://lunenburgbudgetproject.org/docs/minutes/text/by-law-committee/2025-09-03-agenda-7379.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09032025-7379,340
