date,kind,board,our_copy,town_pdf,bytes
2026-08-13,agenda,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2026-08-13-agenda-7954.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08132026-7954,1551
2026-08-13,minutes,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2026-08-13-minutes-7954.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08132026-7954,2056
2026-07-23,agenda,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2026-07-23-agenda-7914.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07232026-7914,1235
2018-03-26,agenda,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2018-03-26-agenda-1545.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03262018-1545,47
2018-03-26,minutes,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2018-03-26-minutes-1545.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03262018-1545,13
2018-01-24,agenda,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2018-01-24-agenda-1544.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01242018-1544,511
2018-01-24,minutes,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2018-01-24-minutes-1544.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01242018-1544,27
2017-12-18,agenda,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2017-12-18-agenda-1543.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12182017-1543,509
2017-12-18,minutes,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2017-12-18-minutes-1543.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12182017-1543,27
2017-10-05,agenda,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2017-10-05-agenda-1542.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10052017-1542,13
2017-10-05,minutes,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2017-10-05-minutes-1542.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10052017-1542,27
2017-09-07,agenda,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2017-09-07-agenda-1541.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09072017-1541,525
2017-09-07,minutes,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2017-09-07-minutes-1541.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09072017-1541,41
2017-08-22,agenda,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2017-08-22-agenda-1540.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08222017-1540,522
2017-08-22,minutes,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2017-08-22-minutes-1540.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08222017-1540,55
2017-07-24,agenda,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2017-07-24-agenda-1539.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07242017-1539,519
2017-07-24,minutes,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2017-07-24-minutes-1539.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07242017-1539,55
2017-06-19,agenda,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2017-06-19-agenda-1538.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06192017-1538,13
2017-06-19,minutes,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2017-06-19-minutes-1538.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06192017-1538,27
2017-06-12,agenda,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2017-06-12-agenda-1537.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06122017-1537,13
2017-05-15,agenda,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2017-05-15-agenda-1536.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05152017-1536,13
2017-04-12,agenda,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2017-04-12-agenda-1535.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04122017-1535,13
2017-04-12,minutes,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2017-04-12-minutes-1535.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04122017-1535,27
2017-03-13,agenda,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2017-03-13-agenda-1534.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03132017-1534,615
2017-03-13,minutes,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2017-03-13-minutes-1534.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03132017-1534,13
2017-01-23,agenda,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2017-01-23-agenda-1533.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01232017-1533,620
2016-10-17,agenda,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2016-10-17-agenda-1532.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10172016-1532,658
2016-08-29,agenda,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2016-08-29-agenda-1531.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08292016-1531,731
2015-11-30,agenda,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2015-11-30-agenda-1529.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11302015-1529,607
2015-11-30,minutes,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2015-11-30-minutes-1529.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11302015-1529,170
2015-10-26,agenda,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2015-10-26-agenda-1528.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10262015-1528,680
2015-10-05,agenda,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2015-10-05-agenda-1527.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10052015-1527,431
2015-09-21,agenda,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2015-09-21-agenda-1526.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09212015-1526,661
2015-08-17,agenda,cable-advisory-committee,https://lunenburgbudgetproject.org/docs/minutes/text/cable-advisory-committee/2015-08-17-agenda-1525.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08172015-1525,640
