date,kind,board,our_copy,town_pdf,bytes
2026-04-30,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2026-04-30-agenda-7791.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04302026-7791,1216
2026-02-11,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2026-02-11-agenda-7646.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02112026-7646,1463
2025-12-17,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2025-12-17-agenda-7573.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12172025-7573,1240
2025-12-10,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2025-12-10-agenda-7560.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12102025-7560,1227
2025-12-03,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2025-12-03-agenda-7542.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12032025-7542,1222
2025-11-19,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2025-11-19-agenda-7524.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11192025-7524,1244
2025-11-05,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2025-11-05-agenda-7498.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11052025-7498,1223
2025-10-29,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2025-10-29-agenda-7485.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10292025-7485,1189
2025-09-03,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2025-09-03-agenda-7375.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09032025-7375,467
2025-09-03,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2025-09-03-agenda-7384.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09032025-7384,1157
2025-03-20,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2025-03-20-agenda-7114.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03202025-7114,2444
2025-01-29,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2025-01-29-agenda-6993.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01292025-6993,1374
2024-12-16,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2024-12-16-agenda-6927.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12162024-6927,1255
2024-12-02,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2024-12-02-agenda-6903.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12022024-6903,1425
2024-11-04,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2024-11-04-agenda-6857.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11042024-6857,1485
2024-11-04,minutes,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2024-11-04-minutes-6857.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11042024-6857,9596
2024-10-23,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2024-10-23-agenda-6844.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10232024-6844,1579
2024-10-23,minutes,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2024-10-23-minutes-6844.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10232024-6844,8705
2024-10-21,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2024-10-21-agenda-6846.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10212024-6846,1525
2024-10-21,minutes,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2024-10-21-minutes-6846.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10212024-6846,9005
2024-10-09,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2024-10-09-agenda-6819.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10092024-6819,1533
2024-10-09,minutes,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2024-10-09-minutes-6819.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10092024-6819,6676
2024-07-31,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2024-07-31-agenda-6686.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07312024-6686,1211
2024-07-31,minutes,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2024-07-31-minutes-6686.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07312024-6686,4062
2024-07-10,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2024-07-10-agenda-6649.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07102024-6649,1779
2024-07-10,minutes,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2024-07-10-minutes-6649.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07102024-6649,4608
2024-06-10,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2024-06-10-agenda-6602.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06102024-6602,1703
2023-12-21,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2023-12-21-agenda-6141.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12212023-6141,1831
2023-12-21,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2023-12-21-agenda-6142.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12212023-6142,1831
2023-12-18,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2023-12-18-agenda-6122.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12182023-6122,1787
2023-12-04,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2023-12-04-agenda-6103.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12042023-6103,1735
2023-12-04,minutes,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2023-12-04-minutes-6103.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12042023-6103,5337
2023-11-29,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2023-11-29-agenda-6090.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11292023-6090,1787
2023-11-29,minutes,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2023-11-29-minutes-6090.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11292023-6090,3486
2023-11-20,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2023-11-20-agenda-4086.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11202023-4086,1831
2023-11-20,minutes,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2023-11-20-minutes-4086.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11202023-4086,4787
2023-11-08,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2023-11-08-agenda-2902.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11082023-2902,1819
2023-11-06,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2023-11-06-agenda-2110.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11062023-2110,1773
2023-10-23,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2023-10-23-agenda-538.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10232023-538,1822
2023-08-30,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2023-08-30-agenda-687.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08302023-687,13
2023-02-13,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2023-02-13-agenda-47.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02132023-47,1761
2022-12-28,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2022-12-28-agenda-1312.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12282022-1312,1740
2022-12-05,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2022-12-05-agenda-1306.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12052022-1306,5191
2022-12-05,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2022-12-05-agenda-1311.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12052022-1311,1779
2022-11-30,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2022-11-30-agenda-1315.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11302022-1315,1783
2022-11-21,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2022-11-21-agenda-1304.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11212022-1304,3208
2022-11-21,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2022-11-21-agenda-1314.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11212022-1314,1877
2022-11-09,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2022-11-09-agenda-1303.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11092022-1303,3774
2022-11-07,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2022-11-07-agenda-1313.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11072022-1313,1825
2022-10-26,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2022-10-26-agenda-1302.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10262022-1302,9476
2022-10-17,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2022-10-17-agenda-1318.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10172022-1318,1818
2022-09-26,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2022-09-26-agenda-1310.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09262022-1310,2985
2022-09-26,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2022-09-26-agenda-1317.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09262022-1317,13
2022-08-16,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2022-08-16-agenda-1309.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08162022-1309,1654
2022-08-03,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2022-08-03-agenda-1308.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08032022-1308,1571
2022-01-04,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2022-01-04-agenda-1307.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01042022-1307,1344
2021-12-21,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2021-12-21-agenda-1297.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12212021-1297,1346
2021-12-21,minutes,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2021-12-21-minutes-1297.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12212021-1297,4943
2021-12-14,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2021-12-14-agenda-1296.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12142021-1296,1347
2021-12-14,minutes,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2021-12-14-minutes-1296.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12142021-1296,2607
2021-12-06,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2021-12-06-agenda-1295.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12062021-1295,1336
2021-11-30,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2021-11-30-agenda-1285.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11302021-1285,1129
2021-11-23,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2021-11-23-agenda-1284.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11232021-1284,1251
2021-11-09,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2021-11-09-agenda-1294.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11092021-1294,1246
2021-11-02,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2021-11-02-agenda-1293.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11022021-1293,1156
2021-11-02,minutes,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2021-11-02-minutes-1293.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11022021-1293,11941
2021-10-26,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2021-10-26-agenda-1292.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10262021-1292,1140
2021-10-26,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2021-10-26-agenda-1299.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10262021-1299,1169
2021-10-26,minutes,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2021-10-26-minutes-1299.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10262021-1299,11594
2021-10-19,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2021-10-19-agenda-1298.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10192021-1298,1249
2021-10-19,minutes,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2021-10-19-minutes-1298.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10192021-1298,5749
2021-09-21,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2021-09-21-agenda-1283.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09212021-1283,1039
2021-09-14,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2021-09-14-agenda-1282.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09142021-1282,1927
2021-04-06,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2021-04-06-agenda-1291.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04062021-1291,2220
2021-03-30,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2021-03-30-agenda-1290.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03302021-1290,2357
2021-03-04,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2021-03-04-agenda-1289.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03042021-1289,2322
2021-02-02,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2021-02-02-agenda-1288.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02022021-1288,2403
2021-01-05,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2021-01-05-agenda-1286.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01052021-1286,2209
2020-12-29,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2020-12-29-agenda-1279.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12292020-1279,2229
2020-12-15,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2020-12-15-agenda-1278.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12152020-1278,2274
2020-12-08,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2020-12-08-agenda-1277.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12082020-1277,2273
2020-11-24,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2020-11-24-agenda-1276.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11242020-1276,2297
2020-11-10,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2020-11-10-agenda-1275.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11102020-1275,2266
2020-10-20,agenda,capital-planning-committee,https://lunenburgbudgetproject.org/docs/minutes/text/capital-planning-committee/2020-10-20-agenda-1280.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10202020-1280,2425
