date,kind,board,our_copy,town_pdf,bytes
2026-08-19,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2026-08-19-agenda-7971.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08192026-7971,1844
2026-07-30,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2026-07-30-agenda-7928.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07302026-7928,1933
2026-06-25,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2026-06-25-agenda-7863.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06252026-7863,1958
2026-06-05,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2026-06-05-agenda-7806.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06052026-7806,763
2026-06-05,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2026-06-05-minutes-7806.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06052026-7806,1799
2026-05-15,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2026-05-15-agenda-7807.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05152026-7807,1062
2026-05-15,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2026-05-15-minutes-7807.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05152026-7807,883
2026-04-23,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2026-04-23-agenda-7777.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04232026-7777,1705
2026-04-23,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2026-04-23-minutes-7777.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04232026-7777,2638
2026-03-26,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2026-03-26-agenda-7741.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03262026-7741,1895
2026-03-26,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2026-03-26-minutes-7741.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03262026-7741,2375
2026-02-26,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2026-02-26-agenda-7666.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02262026-7666,1729
2026-02-26,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2026-02-26-minutes-7666.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02262026-7666,2956
2025-12-19,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-12-19-agenda-7568.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12192025-7568,857
2025-12-19,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-12-19-minutes-7568.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12192025-7568,1822
2025-12-11,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-12-11-agenda-7556.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12112025-7556,1886
2025-12-11,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-12-11-minutes-7556.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12112025-7556,8039
2025-11-19,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-11-19-agenda-7519.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11192025-7519,1395
2025-11-19,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-11-19-minutes-7519.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11192025-7519,4410
2025-11-14,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-11-14-agenda-7504.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11142025-7504,1040
2025-11-14,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-11-14-minutes-7504.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11142025-7504,1858
2025-10-30,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-10-30-agenda-7483.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10302025-7483,2009
2025-10-30,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-10-30-minutes-7483.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10302025-7483,4617
2025-09-25,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-09-25-agenda-7418.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09252025-7418,1898
2025-09-25,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-09-25-minutes-7418.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09252025-7418,3265
2025-09-18,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-09-18-agenda-7406.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09182025-7406,800
2025-09-18,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-09-18-minutes-7406.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09182025-7406,2205
2025-09-09,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-09-09-agenda-7389.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09092025-7389,1128
2025-09-09,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-09-09-minutes-7389.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09092025-7389,2436
2025-08-14,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-08-14-agenda-7345.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08142025-7345,1117
2025-07-30,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-07-30-agenda-7330.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07302025-7330,2009
2025-07-30,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-07-30-minutes-7330.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07302025-7330,3042
2025-07-03,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-07-03-agenda-7294.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07032025-7294,582
2025-07-03,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-07-03-minutes-7294.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07032025-7294,1793
2025-06-26,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-06-26-agenda-7285.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06262025-7285,1991
2025-06-26,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-06-26-minutes-7285.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06262025-7285,5526
2025-05-22,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-05-22-agenda-7205.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05222025-7205,3498
2025-05-22,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-05-22-minutes-7205.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05222025-7205,2016
2025-04-24,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-04-24-agenda-7169.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04242025-7169,3749
2025-04-24,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-04-24-minutes-7169.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04242025-7169,3773
2025-03-27,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-03-27-agenda-7124.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03272025-7124,3562
2025-03-27,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-03-27-minutes-7124.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03272025-7124,8477
2025-02-27,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-02-27-agenda-7068.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02272025-7068,3290
2025-02-27,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-02-27-minutes-7068.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02272025-7068,4161
2025-01-09,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-01-09-agenda-6945.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01092025-6945,3610
2025-01-09,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2025-01-09-minutes-6945.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01092025-6945,173
2024-11-21,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2024-11-21-agenda-6851.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11212024-6851,3377
2024-07-25,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2024-07-25-agenda-6673.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07252024-6673,3936
2024-07-25,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2024-07-25-minutes-6673.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07252024-6673,6980
2024-06-20,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2024-06-20-agenda-6616.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06202024-6616,3952
2024-06-20,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2024-06-20-minutes-6616.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06202024-6616,5084
2024-05-16,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2024-05-16-agenda-6574.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05162024-6574,4072
2024-05-16,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2024-05-16-minutes-6574.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05162024-6574,8233
2024-04-25,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2024-04-25-agenda-6536.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04252024-6536,3657
2024-04-25,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2024-04-25-minutes-6536.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04252024-6536,6123
2024-03-19,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2024-03-19-agenda-6470.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03192024-6470,3648
2024-03-19,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2024-03-19-minutes-6470.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03192024-6470,4109
2024-03-14,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2024-03-14-agenda-6463.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03142024-6463,3409
2024-03-14,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2024-03-14-minutes-6463.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03142024-6463,7939
2024-02-22,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2024-02-22-agenda-6428.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02222024-6428,3645
2024-02-22,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2024-02-22-minutes-6428.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02222024-6428,27563
2024-02-05,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2024-02-05-agenda-6390.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02052024-6390,1562
2024-02-05,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2024-02-05-minutes-6390.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02052024-6390,21137
2023-11-30,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2023-11-30-agenda-6095.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11302023-6095,1567
2023-11-30,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2023-11-30-minutes-6095.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11302023-6095,4767
2023-10-31,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2023-10-31-agenda-1323.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10312023-1323,1205
2023-10-31,minutes,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2023-10-31-minutes-1323.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10312023-1323,3745
2023-10-19,agenda,cemetery-commission,https://lunenburgbudgetproject.org/docs/minutes/text/cemetery-commission/2023-10-19-agenda-537.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10192023-537,1399
