date,kind,board,our_copy,town_pdf,bytes
2019-03-18,agenda,charter-review-committee,https://lunenburgbudgetproject.org/docs/minutes/text/charter-review-committee/2019-03-18-agenda-1566.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03182019-1566,774
2019-03-13,agenda,charter-review-committee,https://lunenburgbudgetproject.org/docs/minutes/text/charter-review-committee/2019-03-13-agenda-1569.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03132019-1569,1294
2019-03-06,agenda,charter-review-committee,https://lunenburgbudgetproject.org/docs/minutes/text/charter-review-committee/2019-03-06-agenda-1570.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03062019-1570,1235
2019-02-13,agenda,charter-review-committee,https://lunenburgbudgetproject.org/docs/minutes/text/charter-review-committee/2019-02-13-agenda-1565.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02132019-1565,1812
2019-01-23,agenda,charter-review-committee,https://lunenburgbudgetproject.org/docs/minutes/text/charter-review-committee/2019-01-23-agenda-1568.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01232019-1568,1960
2019-01-23,minutes,charter-review-committee,https://lunenburgbudgetproject.org/docs/minutes/text/charter-review-committee/2019-01-23-minutes-1568.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01232019-1568,9081
2019-01-19,agenda,charter-review-committee,https://lunenburgbudgetproject.org/docs/minutes/text/charter-review-committee/2019-01-19-agenda-1571.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01192019-1571,47
2019-01-19,minutes,charter-review-committee,https://lunenburgbudgetproject.org/docs/minutes/text/charter-review-committee/2019-01-19-minutes-1571.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01192019-1571,10764
2018-12-12,agenda,charter-review-committee,https://lunenburgbudgetproject.org/docs/minutes/text/charter-review-committee/2018-12-12-agenda-1572.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12122018-1572,47
2018-12-12,minutes,charter-review-committee,https://lunenburgbudgetproject.org/docs/minutes/text/charter-review-committee/2018-12-12-minutes-1572.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12122018-1572,6527
2018-11-28,agenda,charter-review-committee,https://lunenburgbudgetproject.org/docs/minutes/text/charter-review-committee/2018-11-28-agenda-1554.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11282018-1554,776
2018-11-28,minutes,charter-review-committee,https://lunenburgbudgetproject.org/docs/minutes/text/charter-review-committee/2018-11-28-minutes-1554.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11282018-1554,6768
2018-10-24,agenda,charter-review-committee,https://lunenburgbudgetproject.org/docs/minutes/text/charter-review-committee/2018-10-24-agenda-1553.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10242018-1553,932
2018-09-12,agenda,charter-review-committee,https://lunenburgbudgetproject.org/docs/minutes/text/charter-review-committee/2018-09-12-agenda-1552.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09122018-1552,694
2018-09-12,minutes,charter-review-committee,https://lunenburgbudgetproject.org/docs/minutes/text/charter-review-committee/2018-09-12-minutes-1552.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09122018-1552,5626
