date,kind,board,our_copy,town_pdf,bytes
2025-07-16,agenda,conservation-commission-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission-public-hearing/2025-07-16-agenda-7281.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07162025-7281,1792
2025-06-18,agenda,conservation-commission-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission-public-hearing/2025-06-18-agenda-7253.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06182025-7253,1763
2025-06-04,agenda,conservation-commission-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission-public-hearing/2025-06-04-agenda-7236.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06042025-7236,1720
2025-06-04,agenda,conservation-commission-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission-public-hearing/2025-06-04-agenda-7237.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06042025-7237,1835
2025-06-04,agenda,conservation-commission-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission-public-hearing/2025-06-04-agenda-7238.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06042025-7238,1897
2025-05-21,agenda,conservation-commission-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission-public-hearing/2025-05-21-agenda-7211.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05212025-7211,1766
2025-05-21,agenda,conservation-commission-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission-public-hearing/2025-05-21-agenda-7224.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05212025-7224,1921
2025-05-07,agenda,conservation-commission-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission-public-hearing/2025-05-07-agenda-7184.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05072025-7184,2008
2025-05-07,agenda,conservation-commission-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission-public-hearing/2025-05-07-agenda-7188.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05072025-7188,1821
2025-05-07,agenda,conservation-commission-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission-public-hearing/2025-05-07-agenda-7198.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05072025-7198,1908
2025-04-16,agenda,conservation-commission-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission-public-hearing/2025-04-16-agenda-7139.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04162025-7139,1842
2025-04-16,agenda,conservation-commission-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission-public-hearing/2025-04-16-agenda-7140.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04162025-7140,1856
2025-04-16,agenda,conservation-commission-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission-public-hearing/2025-04-16-agenda-7141.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04162025-7141,1815
2025-04-16,agenda,conservation-commission-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/conservation-commission-public-hearing/2025-04-16-agenda-7142.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04162025-7142,1847
