date,kind,board,our_copy,town_pdf,bytes
2026-08-12,agenda,cultural-council,https://lunenburgbudgetproject.org/docs/minutes/text/cultural-council/2026-08-12-agenda-7950.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08122026-7950,1032
2026-04-08,agenda,cultural-council,https://lunenburgbudgetproject.org/docs/minutes/text/cultural-council/2026-04-08-agenda-7754.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04082026-7754,609
2025-11-19,agenda,cultural-council,https://lunenburgbudgetproject.org/docs/minutes/text/cultural-council/2025-11-19-agenda-7514.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11192025-7514,744
2025-09-10,agenda,cultural-council,https://lunenburgbudgetproject.org/docs/minutes/text/cultural-council/2025-09-10-agenda-7397.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09102025-7397,409
2025-08-13,agenda,cultural-council,https://lunenburgbudgetproject.org/docs/minutes/text/cultural-council/2025-08-13-agenda-7349.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08132025-7349,663
2025-07-09,agenda,cultural-council,https://lunenburgbudgetproject.org/docs/minutes/text/cultural-council/2025-07-09-agenda-7308.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07092025-7308,469
2025-06-11,agenda,cultural-council,https://lunenburgbudgetproject.org/docs/minutes/text/cultural-council/2025-06-11-agenda-7272.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06112025-7272,470
2025-05-14,agenda,cultural-council,https://lunenburgbudgetproject.org/docs/minutes/text/cultural-council/2025-05-14-agenda-7222.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05142025-7222,609
2025-01-08,agenda,cultural-council,https://lunenburgbudgetproject.org/docs/minutes/text/cultural-council/2025-01-08-agenda-6943.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01082025-6943,309
2024-11-13,agenda,cultural-council,https://lunenburgbudgetproject.org/docs/minutes/text/cultural-council/2024-11-13-agenda-6872.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11132024-6872,270
