date,kind,board,our_copy,town_pdf,bytes
2013-07-17,agenda,devens-regional-oversight-committee,https://lunenburgbudgetproject.org/docs/minutes/text/devens-regional-oversight-committee/2013-07-17-agenda-2023.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07172013-2023,13
2013-01-31,agenda,devens-regional-oversight-committee,https://lunenburgbudgetproject.org/docs/minutes/text/devens-regional-oversight-committee/2013-01-31-agenda-2024.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01312013-2024,13
2012-10-25,agenda,devens-regional-oversight-committee,https://lunenburgbudgetproject.org/docs/minutes/text/devens-regional-oversight-committee/2012-10-25-agenda-2022.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10252012-2022,13
2012-07-12,agenda,devens-regional-oversight-committee,https://lunenburgbudgetproject.org/docs/minutes/text/devens-regional-oversight-committee/2012-07-12-agenda-2020.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07122012-2020,13
2012-07-12,agenda,devens-regional-oversight-committee,https://lunenburgbudgetproject.org/docs/minutes/text/devens-regional-oversight-committee/2012-07-12-agenda-2021.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07122012-2021,13
2012-05-24,agenda,devens-regional-oversight-committee,https://lunenburgbudgetproject.org/docs/minutes/text/devens-regional-oversight-committee/2012-05-24-agenda-2019.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05242012-2019,13
2012-05-17,agenda,devens-regional-oversight-committee,https://lunenburgbudgetproject.org/docs/minutes/text/devens-regional-oversight-committee/2012-05-17-agenda-2018.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05172012-2018,13
2012-05-09,agenda,devens-regional-oversight-committee,https://lunenburgbudgetproject.org/docs/minutes/text/devens-regional-oversight-committee/2012-05-09-agenda-2017.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05092012-2017,13
2012-03-15,agenda,devens-regional-oversight-committee,https://lunenburgbudgetproject.org/docs/minutes/text/devens-regional-oversight-committee/2012-03-15-agenda-2016.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03152012-2016,13
2012-03-15,minutes,devens-regional-oversight-committee,https://lunenburgbudgetproject.org/docs/minutes/text/devens-regional-oversight-committee/2012-03-15-minutes-2016.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03152012-2016,27
