date,kind,board,our_copy,town_pdf,bytes
2026-07-14,agenda,economic-development-committee,https://lunenburgbudgetproject.org/docs/minutes/text/economic-development-committee/2026-07-14-agenda-7876.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07142026-7876,1442
2026-05-12,agenda,economic-development-committee,https://lunenburgbudgetproject.org/docs/minutes/text/economic-development-committee/2026-05-12-agenda-7795.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05122026-7795,1410
2026-04-14,agenda,economic-development-committee,https://lunenburgbudgetproject.org/docs/minutes/text/economic-development-committee/2026-04-14-agenda-7759.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04142026-7759,1453
2026-04-14,minutes,economic-development-committee,https://lunenburgbudgetproject.org/docs/minutes/text/economic-development-committee/2026-04-14-minutes-7759.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04142026-7759,4239
2026-03-10,agenda,economic-development-committee,https://lunenburgbudgetproject.org/docs/minutes/text/economic-development-committee/2026-03-10-agenda-7704.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03102026-7704,1337
2026-02-10,agenda,economic-development-committee,https://lunenburgbudgetproject.org/docs/minutes/text/economic-development-committee/2026-02-10-agenda-7613.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02102026-7613,1336
2026-02-10,minutes,economic-development-committee,https://lunenburgbudgetproject.org/docs/minutes/text/economic-development-committee/2026-02-10-minutes-7613.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02102026-7613,3618
2026-01-13,agenda,economic-development-committee,https://lunenburgbudgetproject.org/docs/minutes/text/economic-development-committee/2026-01-13-agenda-7581.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01132026-7581,1343
2025-12-09,agenda,economic-development-committee,https://lunenburgbudgetproject.org/docs/minutes/text/economic-development-committee/2025-12-09-agenda-7526.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12092025-7526,1342
2025-12-09,minutes,economic-development-committee,https://lunenburgbudgetproject.org/docs/minutes/text/economic-development-committee/2025-12-09-minutes-7526.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12092025-7526,3964
2025-11-18,agenda,economic-development-committee,https://lunenburgbudgetproject.org/docs/minutes/text/economic-development-committee/2025-11-18-agenda-7462.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11182025-7462,1325
2025-10-14,agenda,economic-development-committee,https://lunenburgbudgetproject.org/docs/minutes/text/economic-development-committee/2025-10-14-agenda-7447.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10142025-7447,1442
2025-08-18,agenda,economic-development-committee,https://lunenburgbudgetproject.org/docs/minutes/text/economic-development-committee/2025-08-18-agenda-7352.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08182025-7352,1309
2025-08-18,minutes,economic-development-committee,https://lunenburgbudgetproject.org/docs/minutes/text/economic-development-committee/2025-08-18-minutes-7352.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08182025-7352,3908
2025-05-22,agenda,economic-development-committee,https://lunenburgbudgetproject.org/docs/minutes/text/economic-development-committee/2025-05-22-agenda-7239.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05222025-7239,1625
2025-05-01,agenda,economic-development-committee,https://lunenburgbudgetproject.org/docs/minutes/text/economic-development-committee/2025-05-01-agenda-7200.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05012025-7200,1629
2025-03-27,agenda,economic-development-committee,https://lunenburgbudgetproject.org/docs/minutes/text/economic-development-committee/2025-03-27-agenda-7126.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03272025-7126,1668
2025-01-23,agenda,economic-development-committee,https://lunenburgbudgetproject.org/docs/minutes/text/economic-development-committee/2025-01-23-agenda-6952.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01232025-6952,1697
