date,kind,board,our_copy,town_pdf,bytes
2026-07-06,agenda,finance-committee-appointing-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee-appointing-committee/2026-07-06-agenda-7886.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07062026-7886,3241
2026-07-06,minutes,finance-committee-appointing-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee-appointing-committee/2026-07-06-minutes-7886.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07062026-7886,13
2026-06-23,agenda,finance-committee-appointing-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee-appointing-committee/2026-06-23-agenda-7851.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06232026-7851,13
2025-07-08,agenda,finance-committee-appointing-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee-appointing-committee/2025-07-08-agenda-7300.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07082025-7300,728
2025-07-08,minutes,finance-committee-appointing-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee-appointing-committee/2025-07-08-minutes-7300.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07082025-7300,1026
2025-02-18,agenda,finance-committee-appointing-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee-appointing-committee/2025-02-18-agenda-7051.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02182025-7051,1245
2025-02-18,agenda,finance-committee-appointing-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee-appointing-committee/2025-02-18-agenda-7056.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02182025-7056,1254
2024-10-22,agenda,finance-committee-appointing-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee-appointing-committee/2024-10-22-agenda-6836.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10222024-6836,1136
2024-10-22,minutes,finance-committee-appointing-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee-appointing-committee/2024-10-22-minutes-6836.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10222024-6836,13
2024-09-10,agenda,finance-committee-appointing-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee-appointing-committee/2024-09-10-agenda-6757.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09102024-6757,462
2024-09-10,minutes,finance-committee-appointing-committee,https://lunenburgbudgetproject.org/docs/minutes/text/finance-committee-appointing-committee/2024-09-10-minutes-6757.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09102024-6757,13
