date,kind,board,our_copy,town_pdf,bytes
2026-07-07,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2026-07-07-agenda-7890.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07072026-7890,1929
2026-04-27,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2026-04-27-agenda-7781.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04272026-7781,1868
2025-12-15,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2025-12-15-agenda-7562.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12152025-7562,1901
2025-12-15,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2025-12-15-minutes-7562.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12152025-7562,2857
2025-09-08,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2025-09-08-agenda-7383.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09082025-7383,3219
2025-09-08,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2025-09-08-minutes-7383.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09082025-7383,343
2025-07-07,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2025-07-07-agenda-7298.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07072025-7298,3251
2025-07-07,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2025-07-07-minutes-7298.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07072025-7298,2684
2025-06-02,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2025-06-02-agenda-7245.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06022025-7245,1834
2025-06-02,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2025-06-02-minutes-7245.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06022025-7245,2202
2025-05-05,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2025-05-05-agenda-7203.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05052025-7203,1792
2025-04-07,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2025-04-07-agenda-7138.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04072025-7138,2017
2025-04-07,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2025-04-07-minutes-7138.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04072025-7138,4707
2025-03-03,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2025-03-03-agenda-7078.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03032025-7078,13
2025-03-03,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2025-03-03-minutes-7078.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03032025-7078,2903
2025-02-03,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2025-02-03-agenda-6997.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02032025-6997,13
2025-02-03,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2025-02-03-minutes-6997.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02032025-6997,3469
2024-12-09,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2024-12-09-agenda-6911.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12092024-6911,496
2024-12-09,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2024-12-09-minutes-6911.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12092024-6911,1837
2024-10-08,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2024-10-08-agenda-6806.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10082024-6806,13
2024-09-26,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2024-09-26-agenda-6789.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09262024-6789,1120
2024-09-12,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2024-09-12-agenda-6764.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09122024-6764,1529
2024-09-12,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2024-09-12-minutes-6764.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09122024-6764,2029
2024-08-19,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2024-08-19-agenda-6707.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08192024-6707,1474
2024-08-19,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2024-08-19-minutes-6707.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08192024-6707,3706
2024-07-15,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2024-07-15-agenda-6657.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07152024-6657,1453
2024-07-15,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2024-07-15-minutes-6657.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07152024-6657,1840
2024-06-03,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2024-06-03-agenda-6590.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06032024-6590,1546
2024-06-03,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2024-06-03-minutes-6590.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06032024-6590,2639
2024-05-06,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2024-05-06-agenda-6549.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05062024-6549,1609
2024-05-06,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2024-05-06-minutes-6549.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05062024-6549,3590
2024-04-01,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2024-04-01-agenda-6500.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04012024-6500,1709
2024-04-01,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2024-04-01-minutes-6500.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04012024-6500,2220
2024-03-06,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2024-03-06-agenda-6445.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03062024-6445,1722
2024-03-06,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2024-03-06-minutes-6445.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03062024-6445,3811
2024-01-29,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2024-01-29-agenda-6374.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01292024-6374,1677
2024-01-29,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2024-01-29-minutes-6374.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01292024-6374,7120
2023-12-18,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2023-12-18-agenda-6129.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12182023-6129,888
2023-12-18,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2023-12-18-minutes-6129.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12182023-6129,3701
2023-10-17,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2023-10-17-agenda-445.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10172023-445,1657
2023-07-20,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2023-07-20-agenda-399.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07202023-399,908
2023-06-15,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2023-06-15-agenda-101.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06152023-101,1124
2023-05-03,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2023-05-03-agenda-100.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05032023-100,1018
2023-03-06,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2023-03-06-agenda-2409.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03062023-2409,1116
2023-03-06,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2023-03-06-minutes-2409.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03062023-2409,4602
2023-01-05,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2023-01-05-agenda-102.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01052023-102,980
2022-12-08,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2022-12-08-agenda-2414.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12082022-2414,1620
2022-12-08,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2022-12-08-minutes-2414.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12082022-2414,5193
2022-10-19,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2022-10-19-agenda-2418.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10192022-2418,1604
2022-09-26,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2022-09-26-agenda-2417.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09262022-2417,1751
2022-09-12,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2022-09-12-agenda-2416.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09122022-2416,1415
2022-08-11,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2022-08-11-agenda-2415.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08112022-2415,1932
2022-04-12,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2022-04-12-agenda-2413.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04122022-2413,515
2022-03-30,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2022-03-30-agenda-2419.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03302022-2419,2846
2022-02-16,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2022-02-16-agenda-2420.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02162022-2420,3084
2021-12-15,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2021-12-15-agenda-2425.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12152021-2425,3080
2021-12-15,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2021-12-15-minutes-2425.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12152021-2425,2780
2021-09-09,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2021-09-09-agenda-2422.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09092021-2422,763
2021-08-24,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2021-08-24-agenda-2421.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08242021-2421,13
2021-05-19,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2021-05-19-agenda-2424.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05192021-2424,3106
2021-03-31,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2021-03-31-agenda-2423.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03312021-2423,3387
2021-03-31,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2021-03-31-minutes-2423.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03312021-2423,4684
2021-01-14,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2021-01-14-agenda-2426.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01142021-2426,3386
2021-01-14,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2021-01-14-minutes-2426.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01142021-2426,4557
2020-11-05,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2020-11-05-agenda-2429.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11052020-2429,1111
2020-11-05,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2020-11-05-minutes-2429.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11052020-2429,3413
2020-03-12,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2020-03-12-agenda-2428.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03122020-2428,537
2020-03-12,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2020-03-12-minutes-2428.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03122020-2428,41
2020-02-27,agenda,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2020-02-27-agenda-2427.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02272020-2427,572
2020-02-27,minutes,green-communities-committee,https://lunenburgbudgetproject.org/docs/minutes/text/green-communities-committee/2020-02-27-minutes-2427.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02272020-2427,41
