date,kind,board,our_copy,town_pdf,bytes
2026-06-02,agenda,historical-commission,https://lunenburgbudgetproject.org/docs/minutes/text/historical-commission/2026-06-02-agenda-7836.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06022026-7836,988
2026-05-05,agenda,historical-commission,https://lunenburgbudgetproject.org/docs/minutes/text/historical-commission/2026-05-05-agenda-7793.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05052026-7793,1020
2026-04-07,agenda,historical-commission,https://lunenburgbudgetproject.org/docs/minutes/text/historical-commission/2026-04-07-agenda-7753.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04072026-7753,1132
2026-04-07,minutes,historical-commission,https://lunenburgbudgetproject.org/docs/minutes/text/historical-commission/2026-04-07-minutes-7753.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04072026-7753,1717
2026-03-10,agenda,historical-commission,https://lunenburgbudgetproject.org/docs/minutes/text/historical-commission/2026-03-10-agenda-7688.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03102026-7688,1071
2026-03-10,minutes,historical-commission,https://lunenburgbudgetproject.org/docs/minutes/text/historical-commission/2026-03-10-minutes-7688.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03102026-7688,1373
2026-03-03,agenda,historical-commission,https://lunenburgbudgetproject.org/docs/minutes/text/historical-commission/2026-03-03-agenda-7677.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03032026-7677,1070
2026-02-05,agenda,historical-commission,https://lunenburgbudgetproject.org/docs/minutes/text/historical-commission/2026-02-05-agenda-7636.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02052026-7636,1013
2026-02-05,minutes,historical-commission,https://lunenburgbudgetproject.org/docs/minutes/text/historical-commission/2026-02-05-minutes-7636.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02052026-7636,1013
2026-01-06,agenda,historical-commission,https://lunenburgbudgetproject.org/docs/minutes/text/historical-commission/2026-01-06-agenda-7582.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01062026-7582,1035
2026-01-06,minutes,historical-commission,https://lunenburgbudgetproject.org/docs/minutes/text/historical-commission/2026-01-06-minutes-7582.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01062026-7582,1106
