date,kind,board,our_copy,town_pdf,bytes
2020-03-19,agenda,land-acquisition-committee,https://lunenburgbudgetproject.org/docs/minutes/text/land-acquisition-committee/2020-03-19-agenda-2703.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03192020-2703,13
2019-10-10,agenda,land-acquisition-committee,https://lunenburgbudgetproject.org/docs/minutes/text/land-acquisition-committee/2019-10-10-agenda-2700.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10102019-2700,13
2019-10-02,agenda,land-acquisition-committee,https://lunenburgbudgetproject.org/docs/minutes/text/land-acquisition-committee/2019-10-02-agenda-2711.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10022019-2711,13
2019-09-11,agenda,land-acquisition-committee,https://lunenburgbudgetproject.org/docs/minutes/text/land-acquisition-committee/2019-09-11-agenda-2710.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09112019-2710,13
2019-06-24,agenda,land-acquisition-committee,https://lunenburgbudgetproject.org/docs/minutes/text/land-acquisition-committee/2019-06-24-agenda-2709.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06242019-2709,13
2019-06-11,agenda,land-acquisition-committee,https://lunenburgbudgetproject.org/docs/minutes/text/land-acquisition-committee/2019-06-11-agenda-2708.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06112019-2708,13
2019-06-11,minutes,land-acquisition-committee,https://lunenburgbudgetproject.org/docs/minutes/text/land-acquisition-committee/2019-06-11-minutes-2708.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06112019-2708,13
2019-05-20,agenda,land-acquisition-committee,https://lunenburgbudgetproject.org/docs/minutes/text/land-acquisition-committee/2019-05-20-agenda-2701.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05202019-2701,665
2019-05-15,agenda,land-acquisition-committee,https://lunenburgbudgetproject.org/docs/minutes/text/land-acquisition-committee/2019-05-15-agenda-2707.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05152019-2707,13
2019-05-14,agenda,land-acquisition-committee,https://lunenburgbudgetproject.org/docs/minutes/text/land-acquisition-committee/2019-05-14-agenda-2706.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05142019-2706,13
2019-05-14,minutes,land-acquisition-committee,https://lunenburgbudgetproject.org/docs/minutes/text/land-acquisition-committee/2019-05-14-minutes-2706.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05142019-2706,13
2019-05-08,agenda,land-acquisition-committee,https://lunenburgbudgetproject.org/docs/minutes/text/land-acquisition-committee/2019-05-08-agenda-2705.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05082019-2705,13
2019-05-08,minutes,land-acquisition-committee,https://lunenburgbudgetproject.org/docs/minutes/text/land-acquisition-committee/2019-05-08-minutes-2705.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05082019-2705,13
2019-05-01,agenda,land-acquisition-committee,https://lunenburgbudgetproject.org/docs/minutes/text/land-acquisition-committee/2019-05-01-agenda-2704.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05012019-2704,696
2019-05-01,minutes,land-acquisition-committee,https://lunenburgbudgetproject.org/docs/minutes/text/land-acquisition-committee/2019-05-01-minutes-2704.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05012019-2704,13
2019-04-24,agenda,land-acquisition-committee,https://lunenburgbudgetproject.org/docs/minutes/text/land-acquisition-committee/2019-04-24-agenda-2702.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04242019-2702,814
2019-04-24,minutes,land-acquisition-committee,https://lunenburgbudgetproject.org/docs/minutes/text/land-acquisition-committee/2019-04-24-minutes-2702.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04242019-2702,13
