date,kind,board,our_copy,town_pdf,bytes
2026-07-10,agenda,library-board-of-trustees,https://lunenburgbudgetproject.org/docs/minutes/text/library-board-of-trustees/2026-07-10-agenda-7893.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07102026-7893,683
2026-06-18,agenda,library-board-of-trustees,https://lunenburgbudgetproject.org/docs/minutes/text/library-board-of-trustees/2026-06-18-agenda-7852.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06182026-7852,1078
2026-06-18,minutes,library-board-of-trustees,https://lunenburgbudgetproject.org/docs/minutes/text/library-board-of-trustees/2026-06-18-minutes-7852.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06182026-7852,22432
2026-05-21,agenda,library-board-of-trustees,https://lunenburgbudgetproject.org/docs/minutes/text/library-board-of-trustees/2026-05-21-agenda-7809.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05212026-7809,1056
2026-05-21,minutes,library-board-of-trustees,https://lunenburgbudgetproject.org/docs/minutes/text/library-board-of-trustees/2026-05-21-minutes-7809.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05212026-7809,31142
2026-04-16,agenda,library-board-of-trustees,https://lunenburgbudgetproject.org/docs/minutes/text/library-board-of-trustees/2026-04-16-agenda-7764.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04162026-7764,861
2026-04-16,minutes,library-board-of-trustees,https://lunenburgbudgetproject.org/docs/minutes/text/library-board-of-trustees/2026-04-16-minutes-7764.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04162026-7764,21665
2026-03-19,agenda,library-board-of-trustees,https://lunenburgbudgetproject.org/docs/minutes/text/library-board-of-trustees/2026-03-19-agenda-7714.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03192026-7714,902
2026-03-19,minutes,library-board-of-trustees,https://lunenburgbudgetproject.org/docs/minutes/text/library-board-of-trustees/2026-03-19-minutes-7714.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03192026-7714,22848
2026-02-19,agenda,library-board-of-trustees,https://lunenburgbudgetproject.org/docs/minutes/text/library-board-of-trustees/2026-02-19-agenda-7650.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02192026-7650,846
2026-02-19,minutes,library-board-of-trustees,https://lunenburgbudgetproject.org/docs/minutes/text/library-board-of-trustees/2026-02-19-minutes-7650.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02192026-7650,21443
2026-01-15,agenda,library-board-of-trustees,https://lunenburgbudgetproject.org/docs/minutes/text/library-board-of-trustees/2026-01-15-agenda-7594.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01152026-7594,1020
