date,kind,board,our_copy,town_pdf,bytes
2026-07-27,agenda,lunenburg-300th-anniversary-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-300th-anniversary-committee/2026-07-27-agenda-7920.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07272026-7920,861
2026-06-29,agenda,lunenburg-300th-anniversary-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-300th-anniversary-committee/2026-06-29-agenda-7866.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06292026-7866,872
2026-06-01,agenda,lunenburg-300th-anniversary-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-300th-anniversary-committee/2026-06-01-agenda-7832.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06012026-7832,915
2026-04-27,agenda,lunenburg-300th-anniversary-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-300th-anniversary-committee/2026-04-27-agenda-7786.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04272026-7786,921
2026-04-27,minutes,lunenburg-300th-anniversary-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-300th-anniversary-committee/2026-04-27-minutes-7786.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04272026-7786,2438
2026-03-30,agenda,lunenburg-300th-anniversary-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-300th-anniversary-committee/2026-03-30-agenda-7738.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03302026-7738,911
2026-03-30,minutes,lunenburg-300th-anniversary-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-300th-anniversary-committee/2026-03-30-minutes-7738.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03302026-7738,1302
2026-02-23,agenda,lunenburg-300th-anniversary-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-300th-anniversary-committee/2026-02-23-agenda-7658.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02232026-7658,913
2026-01-12,agenda,lunenburg-300th-anniversary-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-300th-anniversary-committee/2026-01-12-agenda-7591.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01122026-7591,860
2026-01-12,minutes,lunenburg-300th-anniversary-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-300th-anniversary-committee/2026-01-12-minutes-7591.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01122026-7591,1545
2025-11-17,agenda,lunenburg-300th-anniversary-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-300th-anniversary-committee/2025-11-17-agenda-7502.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11172025-7502,1426
2025-11-17,minutes,lunenburg-300th-anniversary-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-300th-anniversary-committee/2025-11-17-minutes-7502.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11172025-7502,1920
2025-08-25,agenda,lunenburg-300th-anniversary-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-300th-anniversary-committee/2025-08-25-agenda-7347.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08252025-7347,961
2025-08-25,minutes,lunenburg-300th-anniversary-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-300th-anniversary-committee/2025-08-25-minutes-7347.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08252025-7347,2742
2025-04-28,agenda,lunenburg-300th-anniversary-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-300th-anniversary-committee/2025-04-28-agenda-7186.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04282025-7186,819
2025-04-28,minutes,lunenburg-300th-anniversary-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-300th-anniversary-committee/2025-04-28-minutes-7186.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04282025-7186,2055
