date,kind,board,our_copy,town_pdf,bytes
2026-08-20,agenda,lunenburg-housing-authority,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-housing-authority/2026-08-20-agenda-7951.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08202026-7951,1882
2026-06-25,agenda,lunenburg-housing-authority,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-housing-authority/2026-06-25-agenda-7860.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06252026-7860,1412
2026-05-21,agenda,lunenburg-housing-authority,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-housing-authority/2026-05-21-agenda-7810.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05212026-7810,1454
2026-02-26,agenda,lunenburg-housing-authority,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-housing-authority/2026-02-26-agenda-7663.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02262026-7663,1954
2026-01-15,agenda,lunenburg-housing-authority,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-housing-authority/2026-01-15-agenda-7601.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01152026-7601,1836
2025-11-20,agenda,lunenburg-housing-authority,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-housing-authority/2025-11-20-agenda-7508.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11202025-7508,1433
2025-11-20,minutes,lunenburg-housing-authority,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-housing-authority/2025-11-20-minutes-7508.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11202025-7508,4313
2025-10-16,agenda,lunenburg-housing-authority,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-housing-authority/2025-10-16-agenda-7431.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10162025-7431,1074
2025-10-16,agenda,lunenburg-housing-authority,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-housing-authority/2025-10-16-agenda-7445.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10162025-7445,1876
2025-10-16,minutes,lunenburg-housing-authority,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-housing-authority/2025-10-16-minutes-7431.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10162025-7431,2064
2025-08-21,agenda,lunenburg-housing-authority,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-housing-authority/2025-08-21-agenda-7351.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08212025-7351,1598
2025-06-26,agenda,lunenburg-housing-authority,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-housing-authority/2025-06-26-agenda-7287.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06262025-7287,1910
2025-06-26,minutes,lunenburg-housing-authority,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-housing-authority/2025-06-26-minutes-7287.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06262025-7287,4659
2025-04-17,agenda,lunenburg-housing-authority,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-housing-authority/2025-04-17-agenda-7159.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04172025-7159,1610
2025-04-17,minutes,lunenburg-housing-authority,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-housing-authority/2025-04-17-minutes-7159.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04172025-7159,4296
2025-02-20,agenda,lunenburg-housing-authority,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-housing-authority/2025-02-20-agenda-7032.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02202025-7032,13
2025-02-20,minutes,lunenburg-housing-authority,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-housing-authority/2025-02-20-minutes-7032.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02202025-7032,4607
2025-01-23,agenda,lunenburg-housing-authority,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-housing-authority/2025-01-23-agenda-6963.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01232025-6963,2471
2025-01-23,minutes,lunenburg-housing-authority,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-housing-authority/2025-01-23-minutes-6963.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01232025-6963,4674
