date,kind,board,our_copy,town_pdf,bytes
2026-08-31,agenda,lunenburg-municipal-building-design-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-municipal-building-design-committee/2026-08-31-agenda-7983.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08312026-7983,3041
2026-08-17,agenda,lunenburg-municipal-building-design-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-municipal-building-design-committee/2026-08-17-agenda-7962.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08172026-7962,3032
2026-08-17,minutes,lunenburg-municipal-building-design-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-municipal-building-design-committee/2026-08-17-minutes-7962.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08172026-7962,6036
2026-08-03,agenda,lunenburg-municipal-building-design-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-municipal-building-design-committee/2026-08-03-agenda-7933.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08032026-7933,3103
2026-07-28,agenda,lunenburg-municipal-building-design-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-municipal-building-design-committee/2026-07-28-agenda-7924.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07282026-7924,2647
2026-07-28,minutes,lunenburg-municipal-building-design-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-municipal-building-design-committee/2026-07-28-minutes-7924.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07282026-7924,11640
2026-06-29,agenda,lunenburg-municipal-building-design-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-municipal-building-design-committee/2026-06-29-agenda-7877.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06292026-7877,2894
2026-06-29,minutes,lunenburg-municipal-building-design-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-municipal-building-design-committee/2026-06-29-minutes-7877.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06292026-7877,5599
2026-06-15,agenda,lunenburg-municipal-building-design-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-municipal-building-design-committee/2026-06-15-agenda-7855.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06152026-7855,2894
2026-06-15,minutes,lunenburg-municipal-building-design-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-municipal-building-design-committee/2026-06-15-minutes-7855.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06152026-7855,7684
2026-06-01,agenda,lunenburg-municipal-building-design-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-municipal-building-design-committee/2026-06-01-agenda-7829.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06012026-7829,2892
2026-06-01,minutes,lunenburg-municipal-building-design-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-municipal-building-design-committee/2026-06-01-minutes-7829.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06012026-7829,4204
2026-04-27,agenda,lunenburg-municipal-building-design-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-municipal-building-design-committee/2026-04-27-agenda-7779.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04272026-7779,2896
2026-04-27,minutes,lunenburg-municipal-building-design-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-municipal-building-design-committee/2026-04-27-minutes-7779.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04272026-7779,4815
2026-03-09,agenda,lunenburg-municipal-building-design-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-municipal-building-design-committee/2026-03-09-agenda-7684.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03092026-7684,2895
2026-03-09,minutes,lunenburg-municipal-building-design-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-municipal-building-design-committee/2026-03-09-minutes-7684.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03092026-7684,3267
2026-02-02,agenda,lunenburg-municipal-building-design-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-municipal-building-design-committee/2026-02-02-agenda-7625.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02022026-7625,2896
2026-02-02,minutes,lunenburg-municipal-building-design-committee,https://lunenburgbudgetproject.org/docs/minutes/text/lunenburg-municipal-building-design-committee/2026-02-02-minutes-7625.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02022026-7625,8512
