date,kind,board,our_copy,town_pdf,bytes
2026-09-03,agenda,personnel-committee,https://lunenburgbudgetproject.org/docs/minutes/text/personnel-committee/2026-09-03-agenda-7993.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09032026-7993,1588
2026-08-31,agenda,personnel-committee,https://lunenburgbudgetproject.org/docs/minutes/text/personnel-committee/2026-08-31-agenda-7985.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08312026-7985,1623
2026-08-24,agenda,personnel-committee,https://lunenburgbudgetproject.org/docs/minutes/text/personnel-committee/2026-08-24-agenda-7973.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08242026-7973,1675
2026-08-03,agenda,personnel-committee,https://lunenburgbudgetproject.org/docs/minutes/text/personnel-committee/2026-08-03-agenda-7934.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08032026-7934,1706
2026-07-06,agenda,personnel-committee,https://lunenburgbudgetproject.org/docs/minutes/text/personnel-committee/2026-07-06-agenda-7889.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07062026-7889,2357
2024-05-29,agenda,personnel-committee,https://lunenburgbudgetproject.org/docs/minutes/text/personnel-committee/2024-05-29-agenda-6578.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05292024-6578,1655
2024-05-29,agenda,personnel-committee,https://lunenburgbudgetproject.org/docs/minutes/text/personnel-committee/2024-05-29-agenda-6584.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05292024-6584,1827
2024-04-30,agenda,personnel-committee,https://lunenburgbudgetproject.org/docs/minutes/text/personnel-committee/2024-04-30-agenda-6552.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04302024-6552,896
2024-03-28,agenda,personnel-committee,https://lunenburgbudgetproject.org/docs/minutes/text/personnel-committee/2024-03-28-agenda-6495.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03282024-6495,1622
2024-03-13,agenda,personnel-committee,https://lunenburgbudgetproject.org/docs/minutes/text/personnel-committee/2024-03-13-agenda-6460.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03132024-6460,1698
2024-03-13,minutes,personnel-committee,https://lunenburgbudgetproject.org/docs/minutes/text/personnel-committee/2024-03-13-minutes-6460.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03132024-6460,7429
