date,kind,board,our_copy,town_pdf,bytes
2026-08-24,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2026-08-24-agenda-7938.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08242026-7938,3040
2026-08-24,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2026-08-24-agenda-7939.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08242026-7939,3017
2026-08-24,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2026-08-24-agenda-7940.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08242026-7940,3006
2026-07-27,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2026-07-27-agenda-7892.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07272026-7892,3238
2026-07-13,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2026-07-13-agenda-7871.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07132026-7871,3124
2026-07-13,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2026-07-13-agenda-7872.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07132026-7872,3394
2026-06-22,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2026-06-22-agenda-7840.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06222026-7840,3081
2026-06-08,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2026-06-08-agenda-7819.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06082026-7819,3059
2026-06-08,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2026-06-08-agenda-7820.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06082026-7820,13
2026-05-11,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2026-05-11-agenda-7775.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05112026-7775,3336
2026-05-11,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2026-05-11-agenda-7776.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05112026-7776,2964
2026-04-27,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2026-04-27-agenda-7758.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04272026-7758,3192
2026-04-13,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2026-04-13-agenda-7734.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04132026-7734,3047
2026-03-23,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2026-03-23-agenda-7690.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03232026-7690,2920
2026-03-16,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2026-03-16-agenda-7674.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03162026-7674,2978
2026-02-23,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2026-02-23-agenda-7635.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02232026-7635,2802
2026-02-09,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2026-02-09-agenda-7606.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02092026-7606,2999
2026-02-09,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2026-02-09-agenda-7607.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02092026-7607,2888
2026-02-09,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2026-02-09-agenda-7608.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02092026-7608,3543
2026-01-26,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2026-01-26-agenda-7588.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01262026-7588,3000
2026-01-26,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2026-01-26-agenda-7589.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01262026-7589,3029
2026-01-12,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2026-01-12-agenda-7577.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01122026-7577,2686
2025-12-15,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2025-12-15-agenda-7529.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12152025-7529,2852
2025-11-24,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2025-11-24-agenda-7499.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11242025-7499,3101
2025-11-10,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2025-11-10-agenda-7479.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11102025-7479,2789
2025-10-27,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2025-10-27-agenda-7436.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10272025-7436,2552
2025-10-27,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2025-10-27-agenda-7444.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10272025-7444,2760
2025-09-22,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2025-09-22-agenda-7381.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09222025-7381,2390
2025-09-22,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2025-09-22-agenda-7391.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09222025-7391,2671
2025-09-08,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2025-09-08-agenda-7373.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09082025-7373,2713
2025-06-09,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2025-06-09-agenda-7227.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06092025-7227,2777
2025-05-12,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2025-05-12-agenda-7176.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05122025-7176,2777
2025-05-12,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2025-05-12-agenda-7178.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05122025-7178,2744
2025-05-12,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2025-05-12-agenda-7179.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05122025-7179,2735
2025-05-12,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2025-05-12-agenda-7180.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05122025-7180,2777
2025-04-28,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2025-04-28-agenda-7143.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04282025-7143,1727
2025-03-24,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2025-03-24-agenda-7082.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03242025-7082,2873
2025-03-24,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2025-03-24-agenda-7083.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03242025-7083,2758
2025-02-24,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2025-02-24-agenda-7035.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02242025-7035,2708
2025-02-24,agenda,planning-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board-public-hearing/2025-02-24-agenda-7037.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02242025-7037,2679
