date,kind,board,our_copy,town_pdf,bytes
2026-08-24,agenda,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-08-24-agenda-7977.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08242026-7977,2853
2026-08-10,agenda,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-08-10-agenda-7937.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08102026-7937,1412
2026-07-27,agenda,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-07-27-agenda-7922.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07272026-7922,2720
2026-07-20,agenda,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-07-20-agenda-7910.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07202026-7910,1414
2026-07-13,agenda,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-07-13-agenda-7906.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07132026-7906,2876
2026-07-13,minutes,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-07-13-minutes-7906.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07132026-7906,13125
2026-06-22,agenda,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-06-22-agenda-7865.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06222026-7865,2932
2026-06-22,minutes,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-06-22-minutes-7865.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06222026-7865,16784
2026-06-08,agenda,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-06-08-agenda-7841.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06082026-7841,3153
2026-06-08,minutes,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-06-08-minutes-7841.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06082026-7841,13318
2026-05-11,agenda,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-05-11-agenda-7804.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05112026-7804,3085
2026-05-11,minutes,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-05-11-minutes-7804.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05112026-7804,9100
2026-04-27,agenda,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-04-27-agenda-7784.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04272026-7784,2871
2026-04-27,minutes,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-04-27-minutes-7784.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04272026-7784,13033
2026-04-13,agenda,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-04-13-agenda-7765.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04132026-7765,2907
2026-04-13,minutes,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-04-13-minutes-7765.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04132026-7765,8294
2026-03-23,agenda,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-03-23-agenda-7724.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03232026-7724,2510
2026-03-23,minutes,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-03-23-minutes-7724.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03232026-7724,5569
2026-03-16,agenda,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-03-16-agenda-7712.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03162026-7712,3201
2026-03-16,minutes,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-03-16-minutes-7712.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03162026-7712,9146
2026-02-23,agenda,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-02-23-agenda-7660.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02232026-7660,2783
2026-02-09,agenda,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-02-09-agenda-7637.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02092026-7637,3273
2026-02-09,agenda,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-02-09-agenda-7644.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02092026-7644,3293
2026-02-09,minutes,planning-board,https://lunenburgbudgetproject.org/docs/minutes/text/planning-board/2026-02-09-minutes-7644.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02092026-7644,8074
