date,kind,board,our_copy,town_pdf,bytes
2019-12-18,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2019-12-18-agenda-4569.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12182019-4569,1484
2019-12-04,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2019-12-04-agenda-4571.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12042019-4571,1400
2019-12-04,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2019-12-04-agenda-4573.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12042019-4573,1446
2019-11-13,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2019-11-13-agenda-4568.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11132019-4568,1471
2019-10-23,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2019-10-23-agenda-4567.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10232019-4567,1931
2019-10-16,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2019-10-16-agenda-4572.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10162019-4572,13
2018-01-10,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2018-01-10-agenda-4566.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01102018-4566,13
2018-01-03,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2018-01-03-agenda-4574.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01032018-4574,48
2018-01-03,minutes,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2018-01-03-minutes-4574.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01032018-4574,41
2017-05-10,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2017-05-10-agenda-4564.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05102017-4564,13
2017-02-08,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2017-02-08-agenda-4563.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02082017-4563,1532
2017-01-11,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2017-01-11-agenda-4565.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01112017-4565,1435
2016-12-14,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2016-12-14-agenda-4552.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12142016-4552,1481
2016-11-06,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2016-11-06-agenda-4551.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11062016-4551,1646
2016-10-12,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2016-10-12-agenda-4550.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10122016-4550,13
2016-09-14,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2016-09-14-agenda-4562.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09142016-4562,1827
2016-08-10,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2016-08-10-agenda-4561.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08102016-4561,1822
2016-07-13,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2016-07-13-agenda-4560.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07132016-4560,1724
2016-06-08,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2016-06-08-agenda-4559.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06082016-4559,1560
2016-05-11,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2016-05-11-agenda-4558.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05112016-4558,1810
2016-04-13,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2016-04-13-agenda-4557.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04132016-4557,1816
2016-04-13,minutes,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2016-04-13-minutes-4557.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04132016-4557,55
2016-03-23,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2016-03-23-agenda-4556.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03232016-4556,1603
2016-03-23,minutes,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2016-03-23-minutes-4556.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_03232016-4556,83
2016-02-10,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2016-02-10-agenda-4555.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02102016-4555,2186
2016-02-10,minutes,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2016-02-10-minutes-4555.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02102016-4555,83
2016-01-19,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2016-01-19-agenda-4554.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01192016-4554,1585
2016-01-13,agenda,school-building-committee-meeting,https://lunenburgbudgetproject.org/docs/minutes/text/school-building-committee-meeting/2016-01-13-agenda-4553.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01132016-4553,2092
