date,kind,board,our_copy,town_pdf,bytes
2026-07-29,agenda,school-committee,https://lunenburgbudgetproject.org/docs/minutes/text/school-committee/2026-07-29-agenda-7930.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07292026-7930,4338
2026-07-15,agenda,school-committee,https://lunenburgbudgetproject.org/docs/minutes/text/school-committee/2026-07-15-agenda-7901.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07152026-7901,3599
2026-06-24,agenda,school-committee,https://lunenburgbudgetproject.org/docs/minutes/text/school-committee/2026-06-24-agenda-7869.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06242026-7869,4206
2026-06-24,minutes,school-committee,https://lunenburgbudgetproject.org/docs/minutes/text/school-committee/2026-06-24-minutes-7869.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06242026-7869,29087
2026-06-03,agenda,school-committee,https://lunenburgbudgetproject.org/docs/minutes/text/school-committee/2026-06-03-agenda-7838.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06032026-7838,4102
2026-06-03,minutes,school-committee,https://lunenburgbudgetproject.org/docs/minutes/text/school-committee/2026-06-03-minutes-7838.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06032026-7838,20280
2026-05-20,agenda,school-committee,https://lunenburgbudgetproject.org/docs/minutes/text/school-committee/2026-05-20-agenda-7821.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05202026-7821,4270
2026-05-20,minutes,school-committee,https://lunenburgbudgetproject.org/docs/minutes/text/school-committee/2026-05-20-minutes-7821.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05202026-7821,15005
2026-05-06,agenda,school-committee,https://lunenburgbudgetproject.org/docs/minutes/text/school-committee/2026-05-06-agenda-7798.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05062026-7798,4364
2026-05-06,minutes,school-committee,https://lunenburgbudgetproject.org/docs/minutes/text/school-committee/2026-05-06-minutes-7798.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05062026-7798,2937
