date,kind,board,our_copy,town_pdf,bytes
2026-08-18,agenda,select-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/select-board-public-hearing/2026-08-18-agenda-7949.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08182026-7949,1450
2026-08-18,agenda,select-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/select-board-public-hearing/2026-08-18-agenda-7966.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08182026-7966,1001
2026-04-21,agenda,select-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/select-board-public-hearing/2026-04-21-agenda-7757.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04212026-7757,993
2026-04-14,agenda,select-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/select-board-public-hearing/2026-04-14-agenda-7755.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04142026-7755,968
2026-04-14,agenda,select-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/select-board-public-hearing/2026-04-14-agenda-7756.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04142026-7756,974
2026-03-17,agenda,select-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/select-board-public-hearing/2026-03-17-agenda-7700.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03172026-7700,766
2026-03-03,agenda,select-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/select-board-public-hearing/2026-03-03-agenda-7659.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03032026-7659,972
2025-10-21,agenda,select-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/select-board-public-hearing/2025-10-21-agenda-7454.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10212025-7454,1412
2025-10-21,agenda,select-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/select-board-public-hearing/2025-10-21-agenda-7455.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10212025-7455,1443
2025-05-06,agenda,select-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/select-board-public-hearing/2025-05-06-agenda-7183.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05062025-7183,1376
2025-04-15,agenda,select-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/select-board-public-hearing/2025-04-15-agenda-7144.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04152025-7144,1365
2025-04-08,agenda,select-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/select-board-public-hearing/2025-04-08-agenda-7154.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04082025-7154,1172
2025-03-18,agenda,select-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/select-board-public-hearing/2025-03-18-agenda-7087.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03182025-7087,1100
2025-02-11,agenda,select-board-public-hearing,https://lunenburgbudgetproject.org/docs/minutes/text/select-board-public-hearing/2025-02-11-agenda-7013.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02112025-7013,1874
