date,kind,board,our_copy,town_pdf,bytes
2018-10-15,agenda,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2018-10-15-agenda-5363.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10152018-5363,572
2018-02-07,agenda,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2018-02-07-agenda-5362.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02072018-5362,569
2018-01-17,agenda,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2018-01-17-agenda-5361.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01172018-5361,613
2017-12-27,agenda,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2017-12-27-agenda-5364.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12272017-5364,61
2017-12-27,minutes,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2017-12-27-minutes-5364.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_12272017-5364,13
2017-10-03,agenda,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2017-10-03-agenda-5359.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10032017-5359,13
2017-10-03,minutes,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2017-10-03-minutes-5359.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10032017-5359,13
2017-09-18,agenda,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2017-09-18-agenda-5358.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09182017-5358,646
2017-01-30,agenda,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2017-01-30-agenda-5357.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01302017-5357,637
2017-01-30,minutes,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2017-01-30-minutes-5357.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01302017-5357,13
2017-01-10,agenda,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2017-01-10-agenda-5360.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01102017-5360,637
2017-01-10,minutes,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2017-01-10-minutes-5360.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01102017-5360,13
2016-11-15,agenda,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2016-11-15-agenda-5351.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11152016-5351,726
2016-11-15,minutes,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2016-11-15-minutes-5351.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11152016-5351,2259
2016-10-18,agenda,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2016-10-18-agenda-5350.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10182016-5350,13
2016-06-23,agenda,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2016-06-23-agenda-5356.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06232016-5356,645
2016-06-23,minutes,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2016-06-23-minutes-5356.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06232016-5356,13
2016-02-10,agenda,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2016-02-10-agenda-5355.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02102016-5355,678
2016-02-10,minutes,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2016-02-10-minutes-5355.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_02102016-5355,27
2016-01-28,agenda,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2016-01-28-agenda-5354.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01282016-5354,734
2016-01-28,minutes,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2016-01-28-minutes-5354.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01282016-5354,13
2016-01-21,agenda,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2016-01-21-agenda-5353.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01212016-5353,621
2016-01-21,minutes,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2016-01-21-minutes-5353.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01212016-5353,13
2016-01-12,agenda,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2016-01-12-agenda-5352.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01122016-5352,661
2016-01-12,minutes,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2016-01-12-minutes-5352.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01122016-5352,13
2015-11-17,agenda,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2015-11-17-agenda-5347.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11172015-5347,623
2015-11-17,minutes,senior-citizens-tax-work-off-committee,https://lunenburgbudgetproject.org/docs/minutes/text/senior-citizens-tax-work-off-committee/2015-11-17-minutes-5347.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11172015-5347,13
