date,kind,board,our_copy,town_pdf,bytes
2026-09-08,agenda,sewer-commission,https://lunenburgbudgetproject.org/docs/minutes/text/sewer-commission/2026-09-08-agenda-8000.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09082026-8000,2268
2026-08-25,agenda,sewer-commission,https://lunenburgbudgetproject.org/docs/minutes/text/sewer-commission/2026-08-25-agenda-7974.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08252026-7974,2192
2026-08-11,agenda,sewer-commission,https://lunenburgbudgetproject.org/docs/minutes/text/sewer-commission/2026-08-11-agenda-7953.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08112026-7953,2208
2026-08-11,minutes,sewer-commission,https://lunenburgbudgetproject.org/docs/minutes/text/sewer-commission/2026-08-11-minutes-7953.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08112026-7953,5903
2026-07-28,agenda,sewer-commission,https://lunenburgbudgetproject.org/docs/minutes/text/sewer-commission/2026-07-28-agenda-7927.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07282026-7927,2196
2026-07-28,minutes,sewer-commission,https://lunenburgbudgetproject.org/docs/minutes/text/sewer-commission/2026-07-28-minutes-7927.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07282026-7927,7587
2026-07-14,agenda,sewer-commission,https://lunenburgbudgetproject.org/docs/minutes/text/sewer-commission/2026-07-14-agenda-7900.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07142026-7900,2157
2026-07-14,minutes,sewer-commission,https://lunenburgbudgetproject.org/docs/minutes/text/sewer-commission/2026-07-14-minutes-7900.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07142026-7900,5365
2026-06-30,agenda,sewer-commission,https://lunenburgbudgetproject.org/docs/minutes/text/sewer-commission/2026-06-30-agenda-7878.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06302026-7878,2311
2026-06-30,minutes,sewer-commission,https://lunenburgbudgetproject.org/docs/minutes/text/sewer-commission/2026-06-30-minutes-7878.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06302026-7878,6607
2026-06-09,agenda,sewer-commission,https://lunenburgbudgetproject.org/docs/minutes/text/sewer-commission/2026-06-09-agenda-7842.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06092026-7842,2223
2026-06-09,minutes,sewer-commission,https://lunenburgbudgetproject.org/docs/minutes/text/sewer-commission/2026-06-09-minutes-7842.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06092026-7842,5066
2026-05-26,agenda,sewer-commission,https://lunenburgbudgetproject.org/docs/minutes/text/sewer-commission/2026-05-26-agenda-7827.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05262026-7827,2310
2026-05-26,minutes,sewer-commission,https://lunenburgbudgetproject.org/docs/minutes/text/sewer-commission/2026-05-26-minutes-7827.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05262026-7827,8426
2026-05-12,agenda,sewer-commission,https://lunenburgbudgetproject.org/docs/minutes/text/sewer-commission/2026-05-12-agenda-7803.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05122026-7803,2273
2026-05-12,minutes,sewer-commission,https://lunenburgbudgetproject.org/docs/minutes/text/sewer-commission/2026-05-12-minutes-7803.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_05122026-7803,4742
2026-04-28,agenda,sewer-commission,https://lunenburgbudgetproject.org/docs/minutes/text/sewer-commission/2026-04-28-agenda-7783.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04282026-7783,2217
2026-04-28,minutes,sewer-commission,https://lunenburgbudgetproject.org/docs/minutes/text/sewer-commission/2026-04-28-minutes-7783.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_04282026-7783,3580
