date,kind,board,our_copy,town_pdf,bytes
2026-08-12,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2026-08-12-agenda-7959.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08122026-7959,1986
2026-07-23,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2026-07-23-agenda-7918.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07232026-7918,1978
2026-06-24,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2026-06-24-agenda-7870.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06242026-7870,1971
2026-05-18,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2026-05-18-agenda-7813.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05182026-7813,2563
2026-04-16,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2026-04-16-agenda-7769.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04162026-7769,1991
2026-03-25,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2026-03-25-agenda-7735.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03252026-7735,2007
2026-03-05,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2026-03-05-agenda-7676.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03052026-7676,1847
2026-03-05,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2026-03-05-agenda-7705.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03052026-7705,1822
2026-03-03,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2026-03-03-agenda-7675.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03032026-7675,1938
2026-02-24,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2026-02-24-agenda-7669.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02242026-7669,2689
2026-02-19,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2026-02-19-agenda-7655.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02192026-7655,2697
2026-02-05,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2026-02-05-agenda-7632.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02052026-7632,1955
2026-01-29,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2026-01-29-agenda-7626.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01292026-7626,2593
2026-01-08,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2026-01-08-agenda-7587.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01082026-7587,2018
2025-12-04,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2025-12-04-agenda-7540.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12042025-7540,1937
2025-12-04,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2025-12-04-agenda-7543.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12042025-7543,1937
2025-12-04,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2025-12-04-agenda-7544.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12042025-7544,1937
2025-10-23,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2025-10-23-agenda-7471.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10232025-7471,1957
2025-09-25,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2025-09-25-agenda-7422.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09252025-7422,1979
2025-09-18,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2025-09-18-agenda-7409.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09182025-7409,1980
2025-08-07,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2025-08-07-agenda-7335.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08072025-7335,1960
2025-07-24,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2025-07-24-agenda-7322.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07242025-7322,2039
2025-06-26,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2025-06-26-agenda-7286.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06262025-7286,1942
2025-05-29,agenda,stormwater-task-force,https://lunenburgbudgetproject.org/docs/minutes/text/stormwater-task-force/2025-05-29-agenda-7243.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05292025-7243,2021
