date,kind,board,our_copy,town_pdf,bytes
2024-12-12,agenda,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2024-12-12-agenda-6900.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12122024-6900,989
2024-12-11,agenda,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2024-12-11-agenda-6899.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12112024-6899,972
2024-11-18,agenda,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2024-11-18-agenda-6878.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11182024-6878,870
2024-10-07,agenda,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2024-10-07-agenda-6804.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10072024-6804,1641
2024-10-07,minutes,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2024-10-07-minutes-6804.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10072024-6804,13
2024-09-11,agenda,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2024-09-11-agenda-6746.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09112024-6746,1754
2024-09-11,minutes,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2024-09-11-minutes-6746.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09112024-6746,13
2024-08-27,agenda,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2024-08-27-agenda-6691.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08272024-6691,686
2024-08-19,agenda,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2024-08-19-agenda-6692.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08192024-6692,1608
2024-08-19,minutes,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2024-08-19-minutes-6692.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08192024-6692,83
2024-07-31,agenda,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2024-07-31-agenda-6674.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07312024-6674,1819
2024-07-31,minutes,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2024-07-31-minutes-6674.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07312024-6674,27
2024-07-17,agenda,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2024-07-17-agenda-6664.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07172024-6664,1813
2024-07-17,minutes,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2024-07-17-minutes-6664.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07172024-6664,13
2024-07-10,agenda,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2024-07-10-agenda-6639.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07102024-6639,1746
2024-07-10,minutes,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2024-07-10-minutes-6639.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07102024-6639,13
2024-06-24,agenda,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2024-06-24-agenda-6629.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06242024-6629,1124
2016-10-03,agenda,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2016-10-03-agenda-5820.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10032016-5820,972
2016-09-29,agenda,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2016-09-29-agenda-5819.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09292016-5819,978
2016-09-28,agenda,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2016-09-28-agenda-5818.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09282016-5818,999
2016-09-27,agenda,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2016-09-27-agenda-5817.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09272016-5817,991
2016-09-15,agenda,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2016-09-15-agenda-5816.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09152016-5816,565
2016-09-01,agenda,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2016-09-01-agenda-5815.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09012016-5815,681
2016-09-01,minutes,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2016-09-01-minutes-5815.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09012016-5815,2645
2016-08-18,agenda,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2016-08-18-agenda-5814.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08182016-5814,567
2016-08-18,minutes,town-manager-screening-committee,https://lunenburgbudgetproject.org/docs/minutes/text/town-manager-screening-committee/2016-08-18-minutes-5814.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08182016-5814,1947
