date,kind,board,our_copy,town_pdf,bytes
2026-07-24,agenda,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2026-07-24-agenda-7923.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07242026-7923,4399
2026-07-21,agenda,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2026-07-21-agenda-7916.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07212026-7916,3014
2026-05-07,agenda,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2026-05-07-agenda-7801.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_05072026-7801,4124
2026-04-23,agenda,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2026-04-23-agenda-7780.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04232026-7780,4333
2026-04-09,agenda,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2026-04-09-agenda-7761.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_04092026-7761,4315
2026-03-26,agenda,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2026-03-26-agenda-7740.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03262026-7740,4017
2026-03-12,agenda,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2026-03-12-agenda-7707.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_03122026-7707,4020
2026-02-12,agenda,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2026-02-12-agenda-7649.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_02122026-7649,3914
2026-01-29,agenda,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2026-01-29-agenda-7627.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01292026-7627,4010
2026-01-29,minutes,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2026-01-29-minutes-7627.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01292026-7627,30307
2026-01-08,agenda,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2026-01-08-agenda-7596.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_01082026-7596,3840
2026-01-08,minutes,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2026-01-08-minutes-7596.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_01082026-7596,5813
2025-12-18,agenda,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2025-12-18-agenda-7574.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_12182025-7574,3846
2025-11-25,agenda,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2025-11-25-agenda-7535.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11252025-7535,3660
2025-11-25,minutes,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2025-11-25-minutes-7535.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_11252025-7535,5017
2025-11-13,agenda,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2025-11-13-agenda-7505.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_11132025-7505,3712
2025-10-23,agenda,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2025-10-23-agenda-7475.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10232025-7475,3744
2025-10-09,agenda,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2025-10-09-agenda-7446.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_10092025-7446,3773
2025-10-09,minutes,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2025-10-09-minutes-7446.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_10092025-7446,27313
2025-09-11,agenda,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2025-09-11-agenda-7399.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_09112025-7399,3490
2025-09-11,minutes,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2025-09-11-minutes-7399.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_09112025-7399,12802
2025-08-28,agenda,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2025-08-28-agenda-7371.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08282025-7371,3874
2025-08-28,minutes,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2025-08-28-minutes-7371.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08282025-7371,4250
2025-08-14,agenda,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2025-08-14-agenda-7350.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_08142025-7350,3894
2025-08-14,minutes,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2025-08-14-minutes-7350.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_08142025-7350,3999
2025-07-24,agenda,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2025-07-24-agenda-7323.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07242025-7323,4622
2025-07-24,minutes,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2025-07-24-minutes-7323.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07242025-7323,5720
2025-07-10,agenda,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2025-07-10-agenda-7309.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_07102025-7309,6484
2025-07-10,minutes,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2025-07-10-minutes-7309.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_07102025-7309,5475
2025-06-26,agenda,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2025-06-26-agenda-7289.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Agenda/_06262025-7289,512
2025-06-26,minutes,trust-fund-commission,https://lunenburgbudgetproject.org/docs/minutes/text/trust-fund-commission/2025-06-26-minutes-7289.txt,https://www.lunenburgma.gov/AgendaCenter/ViewFile/Minutes/_06262025-7289,4292
