fy,amount,stage,definition,document,reference,restated_by
2005,5233166.00,town manager recommended,Subtotal State Aid,sources/town-budget/docs/a53-fy19-budget-handout-for-annual-town-meeting-xlsx.xlsx,"FY19 Rev Exp 4.25.18 Bond!D19 (heading D2 = 'FY05 BUDGETED'; A19 = ""Subtotal State Aid"")",
2006,5370530.00,town manager recommended,Subtotal State Aid,sources/town-budget/docs/a53-fy19-budget-handout-for-annual-town-meeting-xlsx.xlsx,"FY19 Rev Exp 4.25.18 Bond!E19 (heading E3 = 'FY06 BUDGETED'; A19 = ""Subtotal State Aid"")",
2007,5913294.00,town manager recommended,Subtotal State Aid,sources/town-budget/docs/a53-fy19-budget-handout-for-annual-town-meeting-xlsx.xlsx,"FY19 Rev Exp 4.25.18 Bond!H19 (heading H3 = 'FY07 BUDGETED'; A19 = ""Subtotal State Aid"")",
2008,6296172.00,town manager recommended,Subtotal State Aid,sources/town-budget/docs/a53-fy19-budget-handout-for-annual-town-meeting-xlsx.xlsx,"FY19 Rev Exp 4.25.18 Bond!I19 (heading I3 = 'FY08 BUDGETED'; A19 = ""Subtotal State Aid"")",
2009,6638386.00,town manager recommended,Subtotal State Aid,sources/town-budget/docs/a53-fy19-budget-handout-for-annual-town-meeting-xlsx.xlsx,"FY19 Rev Exp 4.25.18 Bond!J19 (heading J3 = 'FY09 BUDGETED'; A19 = ""Subtotal State Aid"")",
2010,6015508.00,town manager recommended,Subtotal State Aid,sources/town-budget/docs/a53-fy19-budget-handout-for-annual-town-meeting-xlsx.xlsx,"FY19 Rev Exp 4.25.18 Bond!K19 (heading K3 = 'FY10 BUDGETED'; A19 = ""Subtotal State Aid"")",
2011,5982319.00,town manager recommended,Subtotal State Aid,sources/town-budget/docs/a53-fy19-budget-handout-for-annual-town-meeting-xlsx.xlsx,"FY19 Rev Exp 4.25.18 Bond!L19 (heading L3 = 'FY11 BUDGETED'; A19 = ""Subtotal State Aid"")",
2012,6001062.00,town manager recommended,Subtotal State Aid,sources/town-budget/docs/a53-fy19-budget-handout-for-annual-town-meeting-xlsx.xlsx,"FY19 Rev Exp 4.25.18 Bond!M19 (heading M3 = 'FY12 BUDGETED'; A19 = ""Subtotal State Aid"")",
2013,6718759.00,town manager recommended,Subtotal State Aid,sources/town-budget/docs/a53-fy19-budget-handout-for-annual-town-meeting-xlsx.xlsx,"FY19 Rev Exp 4.25.18 Bond!N19 (heading N3 = 'FY13 BUDGETED'; A19 = ""Subtotal State Aid"")",
2014,6855401.00,town manager recommended,Subtotal State Aid,sources/town-budget/docs/a53-fy19-budget-handout-for-annual-town-meeting-xlsx.xlsx,"FY19 Rev Exp 4.25.18 Bond!P19 (heading P3 = 'FY14 BUDGETED'; A19 = ""Subtotal State Aid"")",
