route,title,kind,breadcrumb,h1,words,minutes,short_words,short_minutes,short_over_budget,sections,words_before_first_section,table_rows,details_blocks
/boards/conservation-commission,Conservation Commission,reference,"Home > How the money moves > Reports and analyses > The boards — each one, in one place",Conservation Commission,36005,156.5,,,,5,345,597,1
/boards/select-board,Select Board,reference,"Home > How the money moves > Reports and analyses > The boards — each one, in one place",Select Board,34569,150.3,,,,5,433,557,1
/what-we-cannot-answer,What we cannot answer,reference,Home > How the money moves > What we cannot answer,What we cannot answer,28482,123.8,,,,6,43,23,0
/boards/school-committee,School Committee,reference,"Home > How the money moves > Reports and analyses > The boards — each one, in one place",School Committee,22272,96.8,,,,5,1617,452,0
/meeting-minutes,"Meeting minutes, written from the recordings",reference,Home > How the money moves > Reports and analyses > Meeting minutes — written from the recordings,"Meeting minutes, written from the recordings",16786,73.0,,,,3,325,0,17
/analysis/show-your-work,Show your work,page,Home > How the money moves > Reports and analyses > An analysis,Show your work,16412,71.4,,,,20,494,334,0
/cut-register,"The cut register — what was announced, and what shows",page,"Home > How the money moves > The cut register — what was announced, and what shows",158 cuts announced in writing — and what the record can and cannot say about them,15754,68.5,845,3.7,,16,481,238,1
/what-courses-actually-ran,"What courses actually ran, subject by subject",page,"Home > How the money moves > Reports and analyses > What courses actually ran, subject by subject",What courses actually ran,14386,62.5,696,3.0,,20,260,248,1
/boards/finance-committee,Finance Committee,reference,"Home > How the money moves > Reports and analyses > The boards — each one, in one place",Finance Committee,14237,61.9,,,,5,476,224,1
/what-sports-cost,"What sports cost, and who pays",page,"Home > How the money moves > What sports cost, and who pays",What a sport costs depends on which document you read.,14142,61.5,986,4.3,,20,270,162,2
/boards/planning-board,Planning Board,reference,"Home > How the money moves > Reports and analyses > The boards — each one, in one place",Planning Board,13974,60.8,,,,4,436,225,1
/state-aid,State aid — the part nobody here votes on,page,Home > How the money moves > State aid — the part nobody here votes on,35.1% of the school budget arrives from the State House. Lunenburg votes on the rest.,11814,51.4,594,2.6,,13,203,84,1
/if-students-leave,If students leave — what school choice would cost,page,Home > How the money moves > If students leave — what school choice would cost,The money leaves in one year. The cost does not.,10902,47.4,925,4.0,,11,225,147,1
/the-situation,The situation,page,Home > Go deeper > The situation,What happens to Lunenburg’s schools next year?,10815,47.0,589,2.6,,9,131,80,2
/monty-tech,"Monty Tech — the assessment, and what sets it",page,"Home > Monty Tech — the assessment, and what sets it",Monty Tech — the school bill nobody here votes on,10122,44.0,870,3.8,,13,172,90,1
/what-stopped-being-funded,What stopped being funded,page,Home > How the money moves > What stopped being funded,132 times a school line went to zero — and 93 of them came back,10015,43.5,753,3.3,,15,236,364,1
/analysis/fy26-closeout,"FY26, as the books stood in June",page,Home > How the money moves > Reports and analyses > An analysis,"FY26, as the books stood in June",9806,42.6,,,,16,239,148,0
/boards/parks-commission,Parks Commission,reference,"Home > How the money moves > Reports and analyses > The boards — each one, in one place",Parks Commission,9793,42.6,,,,5,354,134,1
/what-other-districts-spend,"What other districts spend, for each pupil",page,"Home > How the money moves > Reports and analyses > What other districts spend, for each pupil",What other districts spend,9660,42.0,948,4.1,,18,174,113,1
/who-works-in-each-school,Who works in each school,page,Home > How the money moves > Who works in each school,"Who works in each of the four schools, FY11 to FY25.",9524,41.4,329,1.4,,14,239,197,1
/special-education-class-size,How many students one special education group may have,page,Home > How many students one special education group may have,How many students one special education group may have,9379,40.8,671,2.9,,14,239,31,1
/analysis/athletics,"Athletics: what it costs, who pays, and what the budget line does not say",page,Home > How the money moves > Reports and analyses > An analysis,"Athletics: what it costs, who pays, and what the budget line does not say",9193,40.0,1018,4.4,,16,1270,113,0
