step,lane,fy25,fy26,fy27
1,Bach,50790,52822,54670
1,B+15,53398,55534,57478
1,B+30,56004,58244,60283
1,Masters,58613,60958,63091
1,M+15,61219,63668,65896
1,M+30,63825,66378,68701
1,M+45,66431,69088,71506
1,M+60,69037,71798,74311
1,M+75,71644,74510,77118
1,Doctorate,74253,77223,79926
2,Bach,52962,55080,57008
2,B+15,55570,57793,59816
2,B+30,58175,60502,62620
2,Masters,60783,63214,65427
2,M+15,63389,65925,68232
2,M+30,65997,68637,71039
2,M+45,68602,71346,73843
2,M+60,71210,74058,76650
2,M+75,73668,76615,79296
2,Doctorate,76423,79480,82262
3,Bach,55135,57340,59347
3,B+15,57740,60050,62151
3,B+30,60349,62763,64960
3,Masters,62956,65474,67766
3,M+15,65562,68184,70571
3,M+30,68168,70895,73376
3,M+45,70775,73606,76182
3,M+60,73381,76316,78987
3,M+75,75988,79028,81793
3,Doctorate,78596,81740,84601
4,Bach,57310,59602,61688
4,B+15,59917,62314,64495
4,B+30,62521,65022,67298
4,Masters,65126,67731,70102
4,M+15,67733,70442,72908
4,M+30,70339,73153,75713
4,M+45,72946,75864,78519
4,M+60,75554,78576,81326
4,M+75,78160,81286,84131
4,Doctorate,80767,83998,86938
5,Bach,59479,61858,64023
5,B+15,62087,64570,66830
5,B+30,64692,67280,69634
5,Masters,67299,69991,72441
5,M+15,69906,72702,75247
5,M+30,72512,75412,78052
5,M+45,75120,78125,80859
5,M+60,77726,80835,83664
5,M+75,80331,83544,86468
5,Doctorate,82942,86260,89279
6,Bach,61653,64119,66363
6,B+15,64259,66829,69168
6,B+30,66867,69542,71976
6,Masters,69473,72252,74781
6,M+15,72077,74960,77584
6,M+30,74684,77671,80390
6,M+45,77294,80386,83199
6,M+60,79899,83095,86003
6,M+75,82503,85803,88806
6,Doctorate,85111,88515,91613
7,Bach,63825,66378,68701
7,B+15,66431,69088,71506
7,B+30,69037,71798,74311
7,Masters,71644,74510,77118
7,M+15,74253,77223,79926
7,M+30,76855,79929,82727
7,M+45,79463,82642,85534
7,M+60,82071,85354,88341
7,M+75,84675,88062,91144
7,Doctorate,87282,90773,93950
8,Bach,65997,68637,71039
8,B+15,68602,71346,73843
8,B+30,71210,74058,76650
8,Masters,73814,76767,79453
8,M+15,76423,79480,82262
8,M+30,79030,82191,85068
8,M+45,81634,84899,87871
8,M+60,84243,87613,90679
8,M+75,86850,90324,93485
8,Doctorate,89454,93032,96288
9,Bach,68168,70895,73376
9,B+15,70775,73606,76182
9,B+30,73381,76316,78987
9,Masters,75988,79028,81793
9,M+15,78596,81740,84601
9,M+30,81204,84452,87408
9,M+45,83808,87160,90211
9,M+60,86415,89872,93017
9,M+75,89022,92583,95823
9,Doctorate,91628,95293,98628
10,Bach,70339,73153,75713
10,B+15,72946,75864,78519
10,B+30,75554,78576,81326
10,Masters,78160,81286,84131
10,M+15,80767,83998,86938
10,M+30,83374,86709,89744
10,M+45,85980,89419,92549
10,M+60,88587,92130,95355
10,M+75,91192,94840,98159
10,Doctorate,93800,97552,100966
11,Bach,72512,75412,78052
11,B+15,75120,78125,80859
11,B+30,77726,80835,83664
11,Masters,80331,83544,86468
11,M+15,82942,86260,89279
11,M+30,85545,88967,92081
11,M+45,88151,91677,94886
11,M+60,90760,94390,97694
11,M+75,93366,97101,100499
11,Doctorate,95971,99810,103303
12,Bach,77079,80162,82968
12,B+15,79700,82888,85789
12,B+30,82318,85611,88607
12,Masters,84938,88336,91427
12,M+15,87560,91062,94250
12,M+30,90176,93783,97065
12,M+45,92796,96508,99886
12,M+60,95417,99234,102707
12,M+75,98036,101957,105526
12,Doctorate,100655,104681,108345
13,Bach,78883,82038,84910
13,B+15,81504,84764,87731
13,B+30,84122,87487,90549
13,Masters,86742,90212,93369
13,M+15,89364,92939,96191
13,M+30,91980,95659,99007
13,M+45,94600,98384,101827
13,M+60,97221,101110,104649
13,M+75,99840,103834,107468
13,Doctorate,102459,106557,110287
