fy,page,subject,state,figures,figures_reversed,read_by,heading,document
2025,25,unknown,unread,60,0,,BALANCE SHEET,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,26,special-revenue,unread,50,0,,SPECIAL REVENUE FUND BALANCE DETAIL,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,27,unknown,unread,63,0,,1526 CONS FUND,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,28,unknown,unread,52,0,,2413 FFSAFETYEQ,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,29,unknown,unread,50,0,,2728 FY24#140,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,30,capital,read,31,0,"capital_projects, trust_funds",CAPITAL PROJECT FUND BALANCE DETAIL,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,31,unknown,read,61,0,trust_funds,School Prize Fund,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,35,trust-and-stabilization,unread,40,0,,TREASURER & TAX COLLECTOR,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,36,trust-and-stabilization,unread,450,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,37,trust-and-stabilization,read,42,16,debt,TRUST & STABILIZATION FUNDS HELD BY OTHER BANKS,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,41,tax-collection,unread,30,0,,OTHER EXCISE TAXES,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,177,payroll,read,98,0,gross_wages,2025 GROSS WAGES,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,178,unknown,read,100,0,gross_wages,MCCARTHY-,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,179,unknown,read,104,0,gross_wages,NORMANDIN,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,180,unknown,read,104,0,gross_wages,DICONZA,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,181,unknown,read,104,0,gross_wages,GAMBERDELLA,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2025,182,unknown,read,102,0,gross_wages,LECLAIR,sources/town-budget/ocr/4130-fy-2025-annual-town-report.tsv
2024,21,receivables,unread,96,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,22,receivables,unread,42,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,23,special-revenue,unread,61,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,24,special-revenue,unread,61,0,,Special Revenue Fund Balance Detail,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,25,special-revenue,unread,21,0,,Special Revenue Fund Balance Detail,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,27,capital,read,47,0,capital_projects,TOWN OF LUNENBURG,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,28,unknown,unread,105,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,29,trust-and-stabilization,read,60,0,trust_funds,Total Expendable Trust Fund Balance,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,33,trust-and-stabilization,unread,42,0,,TREASURER & TAX COLLECTOR,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,34,unknown,unread,368,0,,ACCOUNTING METHOD: BOOK VALUE,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,35,trust-and-stabilization,unread,27,0,,Page 1 of 1,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,36,unknown,reversed,0,25,,T83D GNIDNAT$TUO $RA3Y 3VIF,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,38,receivables,unread,136,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,39,receivables,unread,91,0,,TOWN OF LUNENBURG,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,141,payroll,unread,30,0,,"Free Cash, and transfer $56,337.50 from Water Betterment Rev",sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,142,elections,unread,29,0,,| Town Clerk's Administration,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,143,unknown,unread,28,0,,Health & Sanitation,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,187,payroll,read,68,0,gross_wages,2024 GROSS WAGES,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
2024,192,payroll,read,23,0,gross_wages,2024 GROSS WAGES,sources/town-budget/ocr/4132-fy-2024-annual-town-report.tsv
