fy,document,page,mode,gutters,money,chars,rows,sections,totals,note
2011,4117-fy-2011-annual-town-report.pdf,1,ocr,0,0,70,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,2,ocr,0,0,1283,0,school_report,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,3,ocr,0,0,1015,0,special_revenue|capital_project|trust_funds|debt|payroll,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,4,ocr,0,2,1674,2,valuation|tax_rate|school_report,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,5,ocr,0,0,1139,0,school_report,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,6,ocr,0,0,1203,0,trust_funds|school_report,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,7,ocr,0,0,2167,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,8,ocr,0,0,2022,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,9,ocr,0,0,848,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,10,ocr,0,0,2344,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,11,ocr,0,0,3487,0,town_meeting,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,12,ocr,1,55,1934,8,valuation|tax_rate,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,13,ocr,0,3,1687,2,town_meeting,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,14,ocr,0,2,3179,1,school_report,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,15,ocr,0,0,3439,0,town_meeting,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,16,ocr,0,1,4700,1,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,17,ocr,0,0,3984,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,18,ocr,0,2,2772,1,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,19,ocr,0,0,1980,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,20,ocr,0,0,2595,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,21,ocr,0,0,4199,0,town_meeting,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,22,ocr,0,0,1666,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,23,ocr,0,0,4621,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,24,ocr,0,1,3455,1,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,25,ocr,0,0,3771,0,school_report,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,26,ocr,0,0,3480,0,town_meeting,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,27,ocr,0,0,3132,0,town_meeting,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,28,ocr,0,0,4643,0,town_meeting|school_report,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,29,ocr,0,0,3255,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,30,ocr,0,0,3505,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,31,ocr,0,0,2,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,32,ocr,0,0,1712,0,school_report,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,33,ocr,0,0,4260,0,school_report,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,34,ocr,0,0,3886,0,school_report,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,35,ocr,0,0,4042,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,36,ocr,0,0,4602,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,37,ocr,0,0,3287,0,staff_roster|school_report,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,38,ocr,0,0,3675,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,39,ocr,0,2,5162,1,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,40,ocr,0,0,1683,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,41,ocr,0,0,3853,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,42,ocr,0,0,2564,0,staff_roster,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,43,ocr,0,0,3287,0,school_report,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,44,ocr,0,0,3633,0,staff_roster|school_report,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,45,ocr,0,0,895,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,46,ocr,0,0,3515,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,47,ocr,0,1,3864,1,school_report,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,48,ocr,0,0,1060,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,49,ocr,0,0,4946,0,school_report,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,50,ocr,0,0,4954,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,51,ocr,0,0,5077,0,school_report,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,52,ocr,0,0,4440,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,53,ocr,0,0,3521,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,54,ocr,0,0,3455,0,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,55,ocr,0,0,3648,0,school_report,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,56,ocr,2,83,2068,5,trust_funds|enterprise|debt,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,57,ocr,2,3,86,3,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,58,ocr,6,79,2791,49,receipts,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,59,ocr,4,6,170,4,appropriations|debt,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,60,ocr,2,130,1876,5,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,61,ocr,2,145,1970,6,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,62,ocr,2,106,1551,5,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,63,ocr,2,113,1600,5,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,64,ocr,2,96,1582,5,school_report,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,65,ocr,2,101,1817,7,special_revenue|capital_project,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,66,ocr,2,93,1331,4,school_report,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,67,ocr,2,117,1653,4,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,68,ocr,2,97,1538,4,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,69,ocr,2,83,1277,4,,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,70,ocr,2,95,1487,4,enterprise,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,71,ocr,5,96,2328,36,capital_project|town_meeting|school_report,,0 low-confidence money line(s)
2011,4117-fy-2011-annual-town-report.pdf,72,ocr,0,23,789,1,trust_funds,,0 low-confidence money line(s)
