fy,school_year,level,item,amount,unit,set_on,source,source_file,source_ref,verified
2024,2023-24,HS,full_pay,250.00,per student per sport per season,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!E3,Spring!E3
2025,2024-25,HS,full_pay,250.00,per student per sport per season,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!F3,Spring!F3
2024,2023-24,HS,second_child,140.00,per student per sport per season,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!H3,Spring!H3
2025,2024-25,HS,second_child,140.00,per student per sport per season,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!I3,Spring!I3
2024,2023-24,HS,third_child,85.00,per student per sport per season,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!K3,Spring!K3
2025,2024-25,HS,third_child,85.00,per student per sport per season,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!L3,Spring!L3
2024,2023-24,HS,reduced_fee,32.50,per student per sport per season,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!Q3,Spring!Q3
2025,2024-25,HS,reduced_fee,32.50,per student per sport per season,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!R3,Spring!R3
2024,2023-24,MS,reduced_fee,26.00,per student per sport per season,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!T3,Spring!T3
2025,2024-25,MS,reduced_fee,26.00,per student per sport per season,,"District athletics workbook, by sport (Town filename: Copy of Athletics 24.25 (1).xlsx)",records-request-2026-06/athletics-by-sport-fy24-fy26.xlsx,Spring!U3,Spring!U3
2024,2023-24,HS,family_cap,475.00,per student per sport per season,,LHS Athletics FAQ (rschoolteams.com),txt/lhs-athletics-faq.txt,Total Cap per season=$475.00,quoted in source
2025,2024-25,HS,family_cap,475.00,per student per sport per season,,LHS Athletics FAQ (rschoolteams.com),txt/lhs-athletics-faq.txt,Total Cap per season=$475.00,quoted in source
2024,2023-24,MS,full_pay,200.00,per student per sport per season,,LHS Athletics FAQ (rschoolteams.com),txt/lhs-athletics-faq.txt,1st student=$200.00,quoted in source
