fy,edition,page_printed,page_pdf,total_row,fund,amount,quote
2011,FY2011,53,56,TOTAL ASSETS,general,5702559.41,"TOTAL ASSETS row, printed page 53"
2011,FY2011,53,56,TOTAL ASSETS,special_revenue,1494488.29,"TOTAL ASSETS row, printed page 53"
2011,FY2011,53,56,TOTAL ASSETS,enterprise,8593343.92,"TOTAL ASSETS row, printed page 53"
2011,FY2011,53,56,TOTAL ASSETS,capital_project,818223.39,"TOTAL ASSETS row, printed page 53"
2011,FY2011,53,56,TOTAL ASSETS,trust_agency,2336941.54,"TOTAL ASSETS row, printed page 53"
2011,FY2011,53,56,TOTAL ASSETS,long_term_debt,27097991,"TOTAL ASSETS row, printed page 53"
2011,FY2011,53,56,TOTAL LIABILITIES,general,4539472.64,"TOTAL LIABILITIES row, printed page 53"
2011,FY2011,53,56,TOTAL LIABILITIES,special_revenue,224964.27,"TOTAL LIABILITIES row, printed page 53"
2011,FY2011,53,56,TOTAL LIABILITIES,enterprise,7095913.27,"TOTAL LIABILITIES row, printed page 53"
2011,FY2011,53,56,TOTAL LIABILITIES,capital_project,637566.67,"TOTAL LIABILITIES row, printed page 53"
2011,FY2011,53,56,TOTAL LIABILITIES,trust_agency,232135.93,"TOTAL LIABILITIES row, printed page 53"
2011,FY2011,53,56,TOTAL LIABILITIES,long_term_debt,27097991,"TOTAL LIABILITIES row, printed page 53"
2011,FY2011,53,56,TOTAL FUND EQUITY,general,1163086.77,"TOTAL FUND EQUITY row, printed page 53"
2011,FY2011,53,56,TOTAL FUND EQUITY,special_revenue,1269524.02,"TOTAL FUND EQUITY row, printed page 53"
2011,FY2011,53,56,TOTAL FUND EQUITY,enterprise,1497430.65,"TOTAL FUND EQUITY row, printed page 53"
2011,FY2011,53,56,TOTAL FUND EQUITY,capital_project,180656.72,"TOTAL FUND EQUITY row, printed page 53"
2011,FY2011,53,56,TOTAL FUND EQUITY,trust_agency,2104805.61,"TOTAL FUND EQUITY row, printed page 53"
2011,FY2011,53,56,TOTAL FUND EQUITY,long_term_debt,,"TOTAL FUND EQUITY row, printed page 53 — the column is BLANK, not zero"
2011,FY2011,53,56,TOTAL LIABILITIES/FUND EQUITY,general,5702559.41,"TOTAL LIABILITIES/FUND EQUITY row, printed page 53"
2011,FY2011,53,56,TOTAL LIABILITIES/FUND EQUITY,special_revenue,1494488.29,"TOTAL LIABILITIES/FUND EQUITY row, printed page 53"
2011,FY2011,53,56,TOTAL LIABILITIES/FUND EQUITY,enterprise,8593343.92,"TOTAL LIABILITIES/FUND EQUITY row, printed page 53"
2011,FY2011,53,56,TOTAL LIABILITIES/FUND EQUITY,capital_project,818223.39,"TOTAL LIABILITIES/FUND EQUITY row, printed page 53"
