board_slug,owner,fy,goal_no,goal,summary,objective_no,objective,thread,basis,source,source_url,adopted_on,adopted_at,adopted_url,current
select-board,the Select Board,2026,1,FY27 Budget,"Build the FY27 budget with the other two boards, then decide what to recommend to Town Meeting.",1,"Collaborate with staff, Finance Committee, School Committee, and other stakeholders, to formalize a comprehensive budget plan through regularly scheduled Tri - Board meetings through July 2025 to Jan uary 2026 (including Select Board, Finance Committee, and School Committee).",,published document,2862-fy26-select-board-and-town-manager-goals-pdf.txt,/docs/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,,,,superseded
select-board,the Select Board,2026,1,FY27 Budget,"Build the FY27 budget with the other two boards, then decide what to recommend to Town Meeting.",2,"Evaluate the data and information presented at the Tri -Board meetings in order to develop a Select Board recommendation to Annual Town Meeting in 2026 on the FY27 budget , including but not limited to potential budget cuts, level funding, or Proposition 2 ½ override(s) by February 2026.",,published document,2862-fy26-select-board-and-town-manager-goals-pdf.txt,/docs/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,,,,superseded
select-board,the Select Board,2026,1,FY27 Budget,"Build the FY27 budget with the other two boards, then decide what to recommend to Town Meeting.",3,Engage with the Public Employee Committee (PEC) and School Committee on potential modifications to the PEC Agreement (Health Insurance).,,published document,2862-fy26-select-board-and-town-manager-goals-pdf.txt,/docs/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,,,,superseded
select-board,the Select Board,2026,1,FY27 Budget,"Build the FY27 budget with the other two boards, then decide what to recommend to Town Meeting.",4,Evaluate the feasibility and cost efficiencies of digitizing the Annual Town Report and alternative notifications for the Town Meeting warrant in advance of the Special Town Meeting and submit warrant article if appropriate.,,published document,2862-fy26-select-board-and-town-manager-goals-pdf.txt,/docs/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,,,,superseded
select-board,the Select Board,2026,2,Disposition of Municipal Properties,"Work out what to do with the town’s buildings, alongside the Building Design Committee.",1,"Work collaboratively with the Municipal Building Design Committee to determine how best to address the needs of our municipal buildings post 2025 Annual Town Meeting, including potential warrant articles or presentations at the 2025 Special Town Meeting and organized tour(s) of municipal buildings.",,published document,2862-fy26-select-board-and-town-manager-goals-pdf.txt,/docs/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,,,,superseded
select-board,the Select Board,2026,2,Disposition of Municipal Properties,"Work out what to do with the town’s buildings, alongside the Building Design Committee.",2,Evaluate the Charge and composition of the Municipal Building Design Committee.,,published document,2862-fy26-select-board-and-town-manager-goals-pdf.txt,/docs/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,,,,superseded
select-board,the Select Board,2026,3,Review Select Board Policies and Procedures,"Rewrite six board policies, from the financial rules to open meeting law training.",1,Review and assist in the finalizing of the draft Financial Policies.,,published document,2862-fy26-select-board-and-town-manager-goals-pdf.txt,/docs/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,,,,superseded
select-board,the Select Board,2026,3,Review Select Board Policies and Procedures,"Rewrite six board policies, from the financial rules to open meeting law training.",2,Review and revise the Town’s Special Event Policy to make planning and holding community events easier.,,published document,2862-fy26-select-board-and-town-manager-goals-pdf.txt,/docs/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,,,,superseded
select-board,the Select Board,2026,3,Review Select Board Policies and Procedures,"Rewrite six board policies, from the financial rules to open meeting law training.",3,Review and revise the Town’s Appointment/Reappointment Policy.,,published document,2862-fy26-select-board-and-town-manager-goals-pdf.txt,/docs/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,,,,superseded
select-board,the Select Board,2026,3,Review Select Board Policies and Procedures,"Rewrite six board policies, from the financial rules to open meeting law training.",4,Create a Policy for the Select Board and Town Manager Goal Setting and Evaluation Process (carry over from FY24).,,published document,2862-fy26-select-board-and-town-manager-goals-pdf.txt,/docs/town-budget/docs/2862-fy26-select-board-and-town-manager-goals-pdf.pdf,,,,superseded
