unit,unit_kind,first_fy,last_fy,years,people_last_fy,chart_url,money_slug,money_url,money_kind,board_slug,board_url,basis,why
Accounting Department,department,2027,2027,1,2,/org-charts?unit=Accounting%20Department,accounting,/departments/accounting,department,,,"ours: the chart names the office, the registry names the officer",
Ad Hoc Open Space Advisory Committee,board,2018,2024,7,1,/org-charts?unit=Ad%20Hoc%20Open%20Space%20Advisory%20Committee,,,,,,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
Agricultural Commission,board,2015,2025,10,4,/org-charts?unit=Agricultural%20Commission,,,,agricultural-commission,/boards/agricultural-commission,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
Americans With Disabilities Committee,board,2019,2027,7,1,/org-charts?unit=Americans%20With%20Disabilities%20Committee,,,,,,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
Architectural Preservation District Commission,board,2016,2025,9,8,/org-charts?unit=Architectural%20Preservation%20District%20Commission,architectural-preservation-district-commission,/boards/architectural-preservation-district-commission/finance,board,architectural-preservation-district-commission,/boards/architectural-preservation-district-commission,the same name on both sides,
Board Of Assessors (board),board,2014,2027,11,2,/org-charts?unit=Board%20Of%20Assessors%20(board),board-of-assessors,/boards/board-of-assessors/finance,board,board-of-assessors,/boards/board-of-assessors,"the same name, normalised",
Board Of Assessors (staff),department,,,0,0,/org-charts?unit=Board%20Of%20Assessors%20(staff),board-of-assessors,/boards/board-of-assessors/finance,board,board-of-assessors,/boards/board-of-assessors,"the same name, normalised",
Board Of Health,board,2015,2027,12,2,/org-charts?unit=Board%20Of%20Health,board-of-health,/boards/board-of-health/finance,board,board-of-health,/boards/board-of-health,the same name on both sides,
Building Department,department,2016,2027,11,7,/org-charts?unit=Building%20Department,building-inspection,/departments/building-inspection,department,,,"ours: the chart names the office, the registry names the officer",
Building Reuse Committee,board,2016,2016,1,7,/org-charts?unit=Building%20Reuse%20Committee,,,,building-reuse-committee,/boards/building-reuse-committee,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
Bylaw Review Committee,board,2016,2016,1,5,/org-charts?unit=Bylaw%20Review%20Committee,,,,,,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
Cable Advisory Committee,board,2016,2018,3,3,/org-charts?unit=Cable%20Advisory%20Committee,,,,cable-advisory-committee,/boards/cable-advisory-committee,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
Capital Planning Committee,board,2014,2025,12,3,/org-charts?unit=Capital%20Planning%20Committee,capital-planning-committee,/boards/capital-planning-committee/finance,board,capital-planning-committee,/boards/capital-planning-committee,the same name on both sides,
Cemetery Commission,board,2016,2027,11,3,/org-charts?unit=Cemetery%20Commission,cemetery-commission,/boards/cemetery-commission/finance,board,cemetery-commission,/boards/cemetery-commission,the same name on both sides,
Charter Review Committee,board,2017,2018,2,9,/org-charts?unit=Charter%20Review%20Committee,,,,charter-review-committee,/boards/charter-review-committee,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
Conservation Commission,board,2015,2027,12,1,/org-charts?unit=Conservation%20Commission,conservation-commission,/boards/conservation-commission/finance,board,conservation-commission,/boards/conservation-commission,the same name on both sides,
Council on Aging (board),board,2011,2027,12,7,/org-charts?unit=Council%20on%20Aging%20(board),council-on-aging,/boards/council-on-aging/finance,board,council-on-aging,/boards/council-on-aging,"the same name, normalised",
Council on Aging (staff),department,2011,2025,13,11,/org-charts?unit=Council%20on%20Aging%20(staff),council-on-aging,/boards/council-on-aging/finance,board,council-on-aging,/boards/council-on-aging,"the same name, normalised",
Cultural Council,board,2016,2025,9,7,/org-charts?unit=Cultural%20Council,cultural-council,/boards/cultural-council/finance,board,cultural-council,/boards/cultural-council,the same name on both sides,
Department of Public Works,department,2016,2027,11,13,/org-charts?unit=Department%20of%20Public%20Works,dpw,/departments/dpw,department,,,the same name on both sides,
Economic Development Committee,board,2021,2025,5,5,/org-charts?unit=Economic%20Development%20Committee,,,,economic-development-committee,/boards/economic-development-committee,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
"Facilities, Grounds & Recreation",department,2023,2027,3,4,"/org-charts?unit=Facilities,%20Grounds%20&%20Recreation",facilities,/departments/facilities,department,,,"ours: the chart names the office, the registry names the officer",
Finance Committee,board,2016,2025,9,7,/org-charts?unit=Finance%20Committee,finance-committee,/boards/finance-committee/finance,board,finance-committee,/boards/finance-committee,the same name on both sides,
Fire Department,department,2011,2027,16,44,/org-charts?unit=Fire%20Department,fire,/departments/fire,department,,,the same name on both sides,
Green Communities Committee,board,2022,2025,4,4,/org-charts?unit=Green%20Communities%20Committee,,,,green-communities-committee,/boards/green-communities-committee,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
Green Community Task Force,board,2013,2021,8,3,/org-charts?unit=Green%20Community%20Task%20Force,,,,green-community-task-force,/boards/green-community-task-force,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
Green Community Task Force Advisors,board,2016,2021,5,3,/org-charts?unit=Green%20Community%20Task%20Force%20Advisors,,,,,,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
Historical Commission,board,2016,2025,10,4,/org-charts?unit=Historical%20Commission,historical-commission,/boards/historical-commission/finance,board,historical-commission,/boards/historical-commission,the same name on both sides,
Housing Authority,board,2016,2025,10,5,/org-charts?unit=Housing%20Authority,,,,lunenburg-housing-authority,/boards/lunenburg-housing-authority,,"a separate public authority with its own budget, not a town department."
Human Resources Department,department,2027,2027,1,2,/org-charts?unit=Human%20Resources%20Department,,,,,,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
Information Technology,department,2016,2027,5,1,/org-charts?unit=Information%20Technology,information-technology,/departments/information-technology,department,,,the same name on both sides,
Land Acquisition Committee,board,2019,2019,1,5,/org-charts?unit=Land%20Acquisition%20Committee,,,,land-acquisition-committee,/boards/land-acquisition-committee,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
Library Trustees,board,2016,2025,10,7,/org-charts?unit=Library%20Trustees,library-board-of-trustees,/boards/library-board-of-trustees/finance,board,,,"ours: the chart names the office, the registry names the officer",
Lunenburg Municipal Building Design Committee,board,2022,2025,4,7,/org-charts?unit=Lunenburg%20Municipal%20Building%20Design%20Committee,,,,lunenburg-municipal-building-design-committee,/boards/lunenburg-municipal-building-design-committee,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
Lunenburg Public Schools,school,2011,2027,16,280,/org-charts?unit=Lunenburg%20Public%20Schools,school-committee,/boards/school-committee/finance,board,,,"ours: the chart names the office, the registry names the officer",
Mart Advisory Board,board,2016,2025,10,1,/org-charts?unit=Mart%20Advisory%20Board,,,,,,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
Montachusett Joint Transportation Committee,board,2016,2024,9,1,/org-charts?unit=Montachusett%20Joint%20Transportation%20Committee,,,,,,,another district’s body. Lunenburg votes it an assessment and does not run it — /analysis/monty-tech is where that money is.
Montachusett Metropolitan Planning Organization,board,2020,2025,6,1,/org-charts?unit=Montachusett%20Metropolitan%20Planning%20Organization,,,,,,,another district’s body. Lunenburg votes it an assessment and does not run it — /analysis/monty-tech is where that money is.
Montachusett Regional Planning Commission,board,2016,2023,8,1,/org-charts?unit=Montachusett%20Regional%20Planning%20Commission,montachusett-regional-planning,/boards/montachusett-regional-planning/finance,external,,,the same name on both sides,
Montachusett Regional Vocational Technical School,school,2013,2025,10,1,/org-charts?unit=Montachusett%20Regional%20Vocational%20Technical%20School,,,,,,,another district’s body. Lunenburg votes it an assessment and does not run it — /analysis/monty-tech is where that money is.
Montachusett Regional Vocational Technical School Representative,board,2016,2023,8,6,/org-charts?unit=Montachusett%20Regional%20Vocational%20Technical%20School%20Representative,,,,,,,another district’s body. Lunenburg votes it an assessment and does not run it — /analysis/monty-tech is where that money is.
Officers in no department,officer,2016,2025,10,6,/org-charts?unit=Officers%20in%20no%20department,,,,,,,"not a body. A holding unit for appointed posts that sit under no department, so the chart can draw them at all."
Parks Commission,board,2016,2027,10,8,/org-charts?unit=Parks%20Commission,parks-commission,/boards/parks-commission/finance,board,parks-commission,/boards/parks-commission,the same name on both sides,
Personnel Committee,board,2016,2027,9,1,/org-charts?unit=Personnel%20Committee,,,,personnel-committee,/boards/personnel-committee,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
Planning Board,board,2014,2027,12,2,/org-charts?unit=Planning%20Board,planning-board,/boards/planning-board/finance,board,planning-board,/boards/planning-board,the same name on both sides,
Police Department,department,2012,2027,15,27,/org-charts?unit=Police%20Department,police,/departments/police,department,,,the same name on both sides,
Public Access Cable Committee,board,2016,2027,11,6,/org-charts?unit=Public%20Access%20Cable%20Committee,,,,,,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
Public Library,department,2014,2025,8,1,/org-charts?unit=Public%20Library,library-board-of-trustees,/boards/library-board-of-trustees/finance,board,,,"ours: the chart names the office, the registry names the officer",
School Building Committee,board,2016,2016,1,9,/org-charts?unit=School%20Building%20Committee,,,,school-building-committee,/boards/school-building-committee,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
School Committee,board,2011,2025,14,4,/org-charts?unit=School%20Committee,school-committee,/boards/school-committee/finance,board,school-committee,/boards/school-committee,the same name on both sides,
Select Board,board,2016,2025,10,5,/org-charts?unit=Select%20Board,select-board,/boards/select-board/finance,board,select-board,/boards/select-board,the same name on both sides,
Sewer Commission,board,2014,2025,12,5,/org-charts?unit=Sewer%20Commission,sewer-commission,/boards/sewer-commission/finance,board,sewer-commission,/boards/sewer-commission,the same name on both sides,
Storm Water Task Force,board,2016,2025,9,5,/org-charts?unit=Storm%20Water%20Task%20Force,,,,,,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
Tax Collector/Treasurer/Tax Custodian,department,2018,2027,9,3,/org-charts?unit=Tax%20Collector/Treasurer/Tax%20Custodian,treasurer-collector,/departments/treasurer-collector,department,,,"ours: the chart names the office, the registry names the officer",
Taxation Aid Committee,board,2016,2020,5,5,/org-charts?unit=Taxation%20Aid%20Committee,,,,,,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
Tc Passios Building Design Committee,board,2020,2021,2,8,/org-charts?unit=Tc%20Passios%20Building%20Design%20Committee,,,,,,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
Town Clerk,department,2016,2027,11,2,/org-charts?unit=Town%20Clerk,town-clerk,/departments/town-clerk,department,,,the same name on both sides,
Town Forest Committee,board,2016,2020,5,1,/org-charts?unit=Town%20Forest%20Committee,,,,,,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
Town Manager,department,2016,2027,11,4,/org-charts?unit=Town%20Manager,town-manager,/departments/town-manager,department,,,the same name on both sides,
Town Manager Screening Committee,board,2016,2016,1,5,/org-charts?unit=Town%20Manager%20Screening%20Committee,,,,town-manager-screening-committee,/boards/town-manager-screening-committee,,"no account in the finance registry names this body, so there is no money page to reach. It may be a body the town votes nothing to, or a name the two sides spell differently — unresolved."
Trust Fund Commission,board,2016,2025,10,2,/org-charts?unit=Trust%20Fund%20Commission,trust-fund-commission,/boards/trust-fund-commission/finance,board,trust-fund-commission,/boards/trust-fund-commission,the same name on both sides,
Veterans' Services,department,2016,2027,11,1,/org-charts?unit=Veterans'%20Services,veterans-services,/departments/veterans-services,department,,,the same name on both sides,
Zoning Board Of Appeals,board,2014,2027,13,2,/org-charts?unit=Zoning%20Board%20Of%20Appeals,zoning-board-of-appeals,/boards/zoning-board-of-appeals/finance,board,zoning-board-of-appeals,/boards/zoning-board-of-appeals,the same name on both sides,
