side,document,category,line,level_service,balanced,tier1_core,tier2_restoration,cut,tier1_restores,tier2_restores
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,1450 - Info Management & Tech Expense,Admin Tech Contracted Services,154981,154981,154981,157256,0,0,2275
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,1450 - Info Management & Tech Expense,Admin Tech General Supplies,0,0,0,3000,0,0,3000
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,2110 - System Curriculum Adop,Curriculum Adoption/System,40408,0,40408,40408,40408,40408,40408
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,2440 - Other Instr.Services,M.S. Band/Music Transportation,2000,0,2000,2000,2000,2000,2000
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,2440 - Other Instr.Services,H.S. Band/Music Transportation,3000,0,3000,3000,3000,3000,3000
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,3510 - Athletic Expenses,Athletic Transportation,127550,0,127550,127550,127550,127550,127550
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,4110 - Cust. Supplies - System,Custodial Supplies/System,75000,60000,75000,75000,15000,15000,15000
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,4230 - Maintenance Repairs,Computer MTC / Repair System,0,0,0,4500,0,0,4500
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,5200 - Insurance Programs,Health Insurance,4043166,3994071,4256871,4461576,49095,262800,467505
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,7400 - Replace Equipment,COMPUTERS - Purchase & Lease,185065,185065,185065,227768,0,0,42703
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,1410 - Business Office Salaries,Business Office/Clerical,100270,110270,141270,180013,0,31000,69743
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,2210 - H.S. Principal Office Salaries,P.S. Kindergarten Teachers,502668,398019,502668,502668,104649,104649,104649
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,2210 - H.S. Principal Office Salaries,P.S. Teachers/Regular (1-2),1146953,961344,1251602,1251602,185609,290258,290258
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,2210 - H.S. Principal Office Salaries,E.S. Teachers/Regular (3-5),1711983,1488068,1721845,1711983,223915,233777,223915
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,2210 - H.S. Principal Office Salaries,Middle School Teachers/Regular,2134818,2134818,2242193,2242193,0,107375,107375
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,2210 - H.S. Principal Office Salaries,H.S. Teachers/Regular,2908567,2908567,2858920,3019984,0,0,111417
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,2210 - H.S. Principal Office Salaries,ES Special Ed Teachers,335035,335035,407476,407476,0,72441,72441
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,2210 - H.S. Principal Office Salaries,H.S. Specl Ed Resourse Rm Teacher,382549,382549,454990,454990,0,72441,72441
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,2320 - Therapeutic Services,P.S. Special Ed Speech Pathologists,154255,154255,155864,155864,0,1609,1609
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,2315 - H.S. Department Heads Stipends,P.S. Special Ed Paraprofessionals*,628537,579914,650742,650742,48623,70828,70828
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,2315 - H.S. Department Heads Stipends,H.S. Special Ed Paraprofessionals,320534,320534,342739,342739,0,22205,22205
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,3510 - Athletics Salaries,Athletic Trainer,68517,34259,68517,68517,34258,34258,34258
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,3510 - Athletics Salaries,Athletic Coaches,159444,87331,159444,159444,72113,72113,72113
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,3510 - Athletics Salaries,Freshman & MS Coaches,0,0,0,14415,0,0,14415
school,sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,4110 - Custodial Services,M.S. Custodians,142317,132656,142317,142317,9661,9661,9661
town,sources/town-budget/docs/3769-fy-2027-operating-budgets-balanced-tier-1-tier2.pdf,,Group Health Insurance,,3689862.61,3714862.61,3839862.61,0,25000,150000
town,sources/town-budget/docs/3769-fy-2027-operating-budgets-balanced-tier-1-tier2.pdf,,Administration,,194395.33,201895.33,207895.33,0,7500,13500
town,sources/town-budget/docs/3769-fy-2027-operating-budgets-balanced-tier-1-tier2.pdf,,Town Manager Expense,,145000,149000,149000,0,4000,4000
town,sources/town-budget/docs/3769-fy-2027-operating-budgets-balanced-tier-1-tier2.pdf,,Information Technology Dept,,476000,511192.56,535459.33,0,35192.56,59459.33
town,sources/town-budget/docs/3769-fy-2027-operating-budgets-balanced-tier-1-tier2.pdf,,APDC Expenses,,0,500,500,0,500,500
town,sources/town-budget/docs/3769-fy-2027-operating-budgets-balanced-tier-1-tier2.pdf,,Economic Dev. Expenses New in FY27,,0,3100,3100,0,3100,3100
town,sources/town-budget/docs/3769-fy-2027-operating-budgets-balanced-tier-1-tier2.pdf,,Land Use New Sub-Category,,434500.05,436050.05,436050.05,0,1550,1550
town,sources/town-budget/docs/3769-fy-2027-operating-budgets-balanced-tier-1-tier2.pdf,,Central Purchasing Moved from Central Purchasing,,87500,91500,91500,0,4000,4000
town,sources/town-budget/docs/3769-fy-2027-operating-budgets-balanced-tier-1-tier2.pdf,,Police Department,,2442838.46,2459388.46,2767908.38,0,16550,325069.92
town,sources/town-budget/docs/3769-fy-2027-operating-budgets-balanced-tier-1-tier2.pdf,,Fire Department,,1958435.95,2070694.42,2070694.42,0,112258.47,112258.47
town,sources/town-budget/docs/3769-fy-2027-operating-budgets-balanced-tier-1-tier2.pdf,,Radio Equipment Mtc.,,10000,15000,15000,0,5000,5000
town,sources/town-budget/docs/3769-fy-2027-operating-budgets-balanced-tier-1-tier2.pdf,,Radio Watch,,287841.92,312763.92,312763.92,0,24922,24922
town,sources/town-budget/docs/3769-fy-2027-operating-budgets-balanced-tier-1-tier2.pdf,,Animal Control,,45500,45500,80000,0,0,34500
town,sources/town-budget/docs/3769-fy-2027-operating-budgets-balanced-tier-1-tier2.pdf,,Highway Administration Renamed from Highway Labor,,687846.28,784996.61,784996.61,0,97150.33,97150.33
town,sources/town-budget/docs/3769-fy-2027-operating-budgets-balanced-tier-1-tier2.pdf,,Maintenance,,399850,668850,668850,0,269000,269000
town,sources/town-budget/docs/3769-fy-2027-operating-budgets-balanced-tier-1-tier2.pdf,,Park Department,,81000,147319.54,191400,0,66319.54,110400
town,sources/town-budget/docs/3769-fy-2027-operating-budgets-balanced-tier-1-tier2.pdf,,General Health Expense,,33957.19,34032.19,34032.19,0,75,75
town,sources/town-budget/docs/3769-fy-2027-operating-budgets-balanced-tier-1-tier2.pdf,,Council on Aging,,237207.96,260533.7,260533.7,0,23325.74,23325.74
town,sources/town-budget/docs/3769-fy-2027-operating-budgets-balanced-tier-1-tier2.pdf,,School Department,,26613678.27,28213678.27,28562205.27,0,1600000,1948527
town,sources/town-budget/docs/3769-fy-2027-operating-budgets-balanced-tier-1-tier2.pdf,,Unclassified,,0,6000,6000,0,6000,6000
town,sources/town-budget/docs/3769-fy-2027-operating-budgets-balanced-tier-1-tier2.pdf,,Library Moved from Library,,598960.2,654168.24,654168.24,0,55208.04,55208.04
