block,item,scope,status,figure,fte,date,who,why,evidence,note
meta,summary,,,,,,,"Summer 2026: the state budget signed 9 July carried $471,121 more aid than the town had budgeted; the schools asked for $350,000, then $418,056; the Select Board would back $350,000, then $397,189 net; a Special Town Meeting on 3 September approved $418,000 for the schools and, by citizens’ petition, brought back middle school sports and athletic transportation.",,
meta,cuts.cut,,,,,,,Stayed cut,,
meta,cuts.off,,,,,,,Came back,,
meta,closed,,,,,,,How it ended,,
meta,deficit,,,,,,,The new money,,How much more the state sent than the town had budgeted — and how much of it the schools asked for.
meta,cuts,,,,,,,"The June cuts, and what came back",,"What the balanced budget took in June once both override questions failed, what the September money restored, and what stayed cut."
meta,proposals,,,,,,,The plans for the money,,"Two plans, and both happened: the July plan — reading specialists, the assistant principal, tutoring, music — was paid from health-insurance savings and aid already in hand; the $418,000 Town Meeting voted went to Scenario 2."
meta,override,,,,,,,"The warrant, step by step",,"How the articles for the 3 September Special Town Meeting were written, sized and recommended."
meta,late,,,,,,,Where the rest came from,,"Free cash, the revolving fund, a special revenue fund — what paid for what the state money did not."
meta,final,,,,,,,"Final — what the Special Town Meeting did, and what came back",,
deficit,"The Senate’s budget: almost $400,000 more for Lunenburg",school,path,"almost $400,000",,2026-05-20,a member,in the Senate’s version of the state budget — not yet the town’s to count,school-committee/2026-05-20@1866,
deficit,What the state sent,both,started,"$471,121",,2026-07-07,the town manager,"net new FY27 state revenue from the conference committee budget — Chapter 70, charter reimbursement, smart-growth reimbursement and general aid, less higher charter assessments",select-board/2026-07-07@3664,the budget was signed 9 July
deficit,The education share,school,path,"$418,056",,2026-07-15,the chair,"education-specific receipts above the Governor’s proposal, per the signed state budget",school-committee/2026-07-15@270,
deficit,What the schools asked for,school,corrected,"$350,000",,2026-07-21,the superintendent,"for the district’s most immediate needs: reading specialists, the high school assistant principal to full time, tutoring seats, music",select-board/2026-07-21@2646,
deficit,What the schools asked for,school,to_cut,"$418,056",,2026-07-29,School Committee vote,the committee amended its article to the whole education share,school-committee/2026-07-29@5788,
deficit,What the town would back,town,now,"$397,189",,2026-09-01,Select Board vote,"the net education figure after school-choice and charter charges are netted out — recommended over the article’s written $418,056",select-board/2026-09-01@3482,
deficit,What Town Meeting appropriated,school,now,"$418,000",,2026-09-03,Special Town Meeting,"articles 1 and 3 passed; the chair on 9 September: the $418,000 “does not erase the deficit”",school-committee/2026-09-09@70,
cuts,Middle school sports,school,came_off,,,2026-09-03,Special Town Meeting,"restored by Article 3, a citizens’ petition; a $36,000 special revenue fund seeded with RAP money pays for it",select-board/2026-09-01@5796,cut in June when both override questions failed
cuts,Athletic transportation,school,came_off,"$50,000 from the athletic revolving fund, $10,000 via Article 1",,2026-09-03,Special Town Meeting,"restored — the superintendent’s split, 27 Aug",finance-committee/2026-08-27@987,cut in June
cuts,Second-grade section at the primary school,school,came_off,,1.0,2026-08-27,the chair,restored — five sections instead of four — in the plan the School Committee sent 26 Aug,finance-committee/2026-08-27@3709,cut in June: five sections reduced to four
cuts,Reading specialist — primary school,school,came_off,"$103,722",1.0,2026-07-15,the superintendent,"funded from FY27 health-insurance savings, not the new money",school-committee/2026-07-15@1399,
cuts,Reading specialist — Turkey Hill,school,came_off,"$103,722",1.0,2026-07-15,the superintendent,funded from the additional state aid,school-committee/2026-07-15@1399,
cuts,High school assistant principal — to full time,school,came_off,"$90,450",0.5,2026-07-21,the chair,part-time to full-time,select-board/2026-07-21@2791,
cuts,High school music teacher — to full time,school,came_off,"$26,370",0.4,2026-07-21,the chair,0.6 to 1.0 FTE,select-board/2026-07-21@2854,
cuts,Ignite one-on-one tutoring seats,school,came_off,"$129,458 for 52 seats, scaled back to 36",,2026-08-26,the superintendent,,school-committee/2026-08-26@2204,
cuts,Elementary interventionists,school,decided,,,2026-05-20,the superintendent,cut in June; not in the September plan,school-committee/2026-05-20@1279,
cuts,AP world language classes,school,decided,,,2026-05-20,the superintendent,the high school world language programme reconfigured; not in the September plan,school-committee/2026-05-20@1279,
cuts,"Varsity sports reduced — girls’ lacrosse, golf, ski",school,decided,,,2026-06-03,a principal,residents petitioned to reinstate them with middle school sports; the petition that passed funded middle school sports and transportation,school-committee/2026-06-03@1986,
cuts,MTSS supports and the I-Ready assessment tool,school,decided,,,2026-06-03,a principal,,school-committee/2026-06-03@4182,
cuts,School Resource Officer,school,decided,,0.5,2026-06-03,a member,,school-committee/2026-06-03@5212,
cuts,Athletic director and athletic trainer — to half time,school,decided,,,2026-06-24,the superintendent,,school-committee/2026-06-24@2761,
cuts,Fifth-grade band,school,decided,,,2026-06-24,a resident,a before-school stipend programme was floated to partially restore it,school-committee/2026-06-03@3740,
cuts,Four teacher positions,school,decided,,4.0,2026-07-29,a member,the per-pupil money the Governor floated would not be enough to restore them,school-committee/2026-07-29@6055,
proposals,The superintendent’s spending plan,school,tier,"$477,896 at first; $453,722 as published",,2026-07-21,the superintendent,"two reading specialists, the high school assistant principal to full time, Ignite tutoring seats, 0.4 music — $350,000 of it from the Special Town Meeting",doc:sources/analyses/fy27-and-the-override.md,the analysis carries the published table
proposals,Scenario 2 — what the School Committee sent,school,tier,"$418,000",,2026-08-26,School Committee vote,"a second-grade teacher, literacy professional development and athletic transportation — 3–1, one abstention",school-committee/2026-08-26@5019,"three scenarios were presented, each totalling $418,000"
proposals,What the town would back,town,tier,"$350,000, then $397,189 net",,2026-07-15,the town manager and Select Board,"$350,000 of the $418,056 at first, the rest staying with the town; then Article 1 at the net figure",school-committee/2026-07-15@558,
override,School Committee asks the Select Board to reopen the FY27 budget,school,step,,,2026-06-24,School Committee vote,a special town meeting to allocate the additional state aid to the schools — passed unanimously,school-committee/2026-06-24@6432,
override,"School Committee votes a $350,000 article",school,step,"$350,000",,2026-07-21,"School Committee vote, as the chair reported it to the Select Board",3–1,select-board/2026-07-21@2915,
override,Select Board calls the Special Town Meeting for 3 September,both,step,,,2026-07-28,Select Board vote,per the citizens’ petition; the warrant opens 28 July and closes 7 August,select-board/2026-07-28@869,
override,"School Committee amends its article to $418,056",school,step,"$418,056",,2026-07-29,School Committee vote,the whole education share,school-committee/2026-07-29@5788,
override,Select Board puts the article on the warrant,both,step,"$418,056",,2026-08-10,Select Board vote,unanimous,select-board/2026-08-10@332,
override,A citizens’ petition — Article 3 — for middle school sports and transportation,school,step,"$151,338.38 asked, from free cash",,2026-08-26,"residents, by petition",,school-committee/2026-08-26@5187,
override,Finance Committee recommends Article 1; defers 2 and 3 to Town Meeting,both,step,,,2026-08-27,Finance Committee votes,unanimous on each,finance-committee/2026-08-27@1009,
override,"Select Board recommends Article 1 at $397,189",both,step,"$397,189",,2026-09-01,Select Board vote,the net figure rather than the article’s written amount,select-board/2026-09-01@3482,
override,Special Town Meeting approves Articles 1 and 3,both,step,"$418,000",,2026-09-03,Special Town Meeting,,school-committee/2026-09-09@467,
late,"A special revenue fund for Article 3, seeded with RAP money",town,move,"$36,000",,2026-09-01,Select Board vote,the funding source for the sports restoration,select-board/2026-09-01@5796,
late,Athletic revolving fund pays for transportation,school,move,"$50,000",,2026-08-27,the superintendent,"with $10,000 from Article 1",finance-committee/2026-08-27@987,
late,FY27 health-insurance savings fund the primary reading specialist,school,move,"$103,722",,2026-07-15,the superintendent,,school-committee/2026-07-15@1399,
final,Article 1 — additional state aid to the FY27 school budget,school,appropriated,"$418,000",,2026-09-03,Special Town Meeting,approved,school-committee/2026-09-09@467,
final,"Article 3 — middle school sports and athletic transportation, by citizens’ petition",school,appropriated,"$36,000 fund",,2026-09-03,Special Town Meeting,approved,select-board/2026-09-01@5796,
final,What came back,school,restored_later,"a second-grade section, two reading specialists, the assistant principal and the music teacher to full time, tutoring seats, athletic transportation, middle school sports",,2026-09-09,the chair,"and, in the chair’s words, the $418,000 “does not erase the deficit”",school-committee/2026-09-09@70,
final,What stayed cut,school,took_effect,"interventionists, AP world language, varsity golf, ski and girls’ lacrosse, MTSS and I-Ready, half the SRO, athletic director and trainer to half time, fifth-grade band, four teachers",,2026-09-09,the district,,doc:sources/analyses/fy27-and-the-override.md,
