block,item,scope,status,figure,fte,date,who,why,evidence,note
deficit,Town and schools together,both,path,$615,000,,2026-01-27,the town manager,after health insurance and retirement increases and the fourth fire shift are subtracted from new revenue,tri-board/2026-01-27@3158,the running figure before every department's request was in
deficit,Town and schools together,both,path,slightly north of $3 million,,2026-01-27,the town manager,with every budget request presented so far counted,tri-board/2026-01-27@3202,
deficit,Town and schools together,both,path,"$3,357,213.88",,2026-02-19,the town manager,the preliminary FY27 budget as presented to the Finance Committee,select-board/2026-03-03@6551,stated 3 Mar about the 19 Feb presentation
deficit,Town and schools together,both,path,"$3,150,993.89",,2026-03-03,the town manager,the school department adjusted its budget,select-board/2026-03-03@6572,down about $206k
deficit,Town and schools together,both,path,"$3,123,989.30",,2026-03-12,the town manager,"about $1.24 million on the town side and $1.9 million on the schools",finance-committee/2026-03-12@7004,
deficit,Schools,school,path,about $1.7 million,,2026-01-21,the business administrator,a reduction the current revenue projections would require,school-committee/2026-01-21@4865,
deficit,Schools,school,path,$1.78 million,,2026-01-21,the chair,"at the schools' share of new revenue ($696,521.74), what the level-service budget would have to lose",school-committee/2026-01-21@6319,
deficit,Schools,school,path,$2.4 million,,2026-02-25,the superintendent,the original reported deficit against the restoration budget,school-committee/2026-03-04@2017,a member recalling the figure on 4 Mar; the 25 Feb statement is the four scenarios (doc)
deficit,Schools,school,path,"$1,978,37x (as captioned)",,2026-03-04,the chair,"corrected downward: $500,000 in free cash had been counted twice",school-committee/2026-03-04@1868,the mistake TJ remembers; the chair's own words at 1868s and 2 minutes later
deficit,Schools,school,path,"roughly $900,000",,2026-03-04,a member,what has to be cut for a no-override budget even after every restoration is dropped,school-committee/2026-03-04@6484,
deficit,Schools,school,path,"$868,918",,2026-03-18,a member,the total to cut to reach the balanced (no-override) budget on the night of the vote,school-committee/2026-03-18@7936,
deficit,Schools,school,path,"$566,435",,2026-03-18,the business administrator,still to be cut if the four classroom teachers and the interventionists are kept,school-committee/2026-03-18@8497,
deficit,Schools,school,now,"$761,001 — closed by cuts",,2026-03-23,the district,level service ($27,333,289) against the balanced budget adopted ($26,572,288); the gap was closed by the cut list below,doc:sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,the figure the ballot was about was the override to reopen it
deficit,Town,town,path,"just over $1 million ($1,028,000 as heard)",,2026-03-16,the town manager,the town-side request before reductions,select-board/2026-03-16@191,
proposals,A. Level service,school,tier,"$27,333,289",256.5,2026-03-23,the district,everything currently offered,doc:sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,+$761,001 over balanced
proposals,B. Restoration,school,tier,"$28,520,816",264,2026-03-23,the district,level service plus the ten restorations the district wanted,doc:sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,+$1,948,528 over balanced = the tier 2 school share
proposals,C. Core,school,tier,"$28,172,289",262,2026-03-23,the district,the prioritised restorations,doc:sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,+$1,600,001 over balanced = the tier 1 school share
proposals,D. Balanced,school,tier,"$26,572,288",253,2026-03-23,the district,no override; the cut list below,doc:sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,adopted
cuts,Classroom teachers — Primary,school,decided,"$205,019",2.0,2026-03-18,the superintendent,in the balanced budget voted 18 Mar; class sizes 27–30,school-committee/2026-03-18@5689,
cuts,Classroom teachers — Turkey Hill,school,decided,"$171,811",2.0,2026-03-18,the superintendent,in the balanced budget voted 18 Mar,school-committee/2026-03-18@5689,
cuts,Assistant principal — Primary and Turkey Hill share one,school,decided,"$152,829",1.0,2026-03-18,the superintendent,through attrition,doc:sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,
cuts,Interventionist — Primary,school,decided,"$135,930",1.0,2026-03-18,the superintendent,,school-committee/2026-03-18@5752,
cuts,Interventionist — Turkey Hill,school,decided,"$53,674",0.5,2026-03-18,the superintendent,,school-committee/2026-03-18@5752,
cuts,Certified occupational therapy assistant,school,decided,"$74,147",1.0,2026-03-18,the superintendent,retirement not refilled,doc:sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,
cuts,Custodian — high school,school,decided,"$48,630",1.0,2026-03-18,the superintendent,resignation not refilled,doc:sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,
cuts,Music teacher — Turkey Hill (grade 5 band),school,decided,,0.2,2026-03-26,the superintendent,reduced from .7 to .5; grade 5 band goes,finance-committee/2026-03-26@796,"a member moved to restore it 18 Mar and the superintendent listed it as restored 24 Mar, but the 3/23 document carries the cut and the district's stated consequences say grade 5 band eliminated"
cuts,Athletic transportation — all of it,school,decided,"$127,550",,2026-03-23,the superintendent,,school-committee/2026-03-23@3982,
cuts,Athletic trainer — to half-time,school,decided,"$34,258",0.5,2026-03-04,the athletic director,contracted EMT coverage at required events instead,school-committee/2026-03-04@5424,
cuts,Coaches — freshman and middle school,school,decided,"$14,415",,2026-03-23,the district,,doc:sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,
cuts,Coaches — partial,school,decided,"$72,113",,2026-03-23,the district,,doc:sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,
cuts,Middle school sports — all,school,decided,,,2026-03-23,the superintendent,the district's stated consequence of the balanced budget,school-committee/2026-03-23@3808,restored later — see final
cuts,Curriculum adoption,school,decided,"$40,408",,2026-03-23,the district,,doc:sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,
cuts,Band transportation — high school,school,decided,"$5,000",,2026-03-26,the superintendent,,finance-committee/2026-03-26@1367,
cuts,Custodial supplies,school,decided,"$15,000",,2026-03-23,the district,,doc:sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,
cuts,Athletic director — to half-time,school,came_off,,0.5,2026-03-04,the chair,traded to keep the full-time athletic trainer at half-time instead,school-committee/2026-03-04@7826,proposed 25 Feb; not on the 3/23 balanced list
cuts,Guidance counselors — Turkey Hill and Primary,school,came_off,,,2026-02-26,the superintendent,named 26 Feb; not on the 3/23 balanced list,finance-committee/2026-02-26@12147,
cuts,School psychologist — Primary,school,came_off,,0.5,2026-02-26,a principal,named 26 Feb; not on the 3/23 balanced list,finance-committee/2026-02-26@12437,
cuts,Middle school special educators,school,came_off,,2.5,2026-03-18,the superintendent,named 18 Mar; not on the 3/23 balanced list,school-committee/2026-03-18@2389,
cuts,High school interventionist,school,came_off,,1.0,2026-03-18,the superintendent,a core-tier (scenario C) item; never in the balanced list,school-committee/2026-03-18@4552,
cuts,Town — IT and communications director,town,decided,,1.0,2026-04-07,the chair,cut to fund the assistant town manager,select-board/2026-04-07@0,see the town's balanced budget
cuts,Town — TC Passios building costs,town,decided,"$121,800",,2026-03-31,the town manager,decommissioning; removed from the operating budget,select-board/2026-03-31@0,
override,Put a Proposition 2½ question on the ballot,both,step,,,2026-03-10,Tri-Board,informal show of hands; no one opposed,tri-board/2026-03-10@0,
override,School Committee sends one number: scenario C,school,step,$1.6 million,,2026-03-18,School Committee vote,the core budget as the single override ask,school-committee/2026-03-18@0,
override,Two tiers instead of one,both,step,,,2026-03-24,Tri-Board vote,the Select Board to pursue two tiers as discussed in the budget workshops,tri-board/2026-03-24@0,school tier one $1.6 million; tier two $1,948,527 (superintendent, 24 Mar)
override,Select Board places the two-tier question,both,step,"$2.4 million / $3.3 million",,2026-03-31,Select Board vote,5–0,select-board/2026-03-31@0,
override,Finance Committee recommends both tiers,both,step,"$2,400,000 and $3.3 million",,2026-04-06,Finance Committee votes,4–2 on each,finance-committee/2026-04-06@0,
override,Select Board recommends tier two,both,step,,,2026-04-07,Select Board vote,3–1,select-board/2026-04-07@0,
late,Free cash to the FY27 capital program,town,move,"$991,627",,2026-03-31,the town manager,,select-board/2026-03-31@0,
late,Free cash to the general stabilization fund,town,move,"$250,000",,2026-03-31,the town manager,article Q1,select-board/2026-03-31@0,
late,Free cash to the health insurance stabilization fund,town,move,"$250,000",,2026-03-31,the town manager,article Q2,select-board/2026-03-31@0,
final,School appropriation adopted,school,appropriated,"$26,572,288",,2026-05-02,Annual Town Meeting,the balanced scenario; tier 1 and tier 2 contingent on the ballot,ballot:2026-05-16,
final,Question 1 — tier 1 override,both,ballot,"$2,400,000",,2026-05-16,Annual Town Election,failed 867 to 1,753,ballot:2026-05-16,
final,Question 2 — tier 2 override,both,ballot,"$3,300,000",,2026-05-16,Annual Town Election,failed 760 to 1,862,ballot:2026-05-16,
final,The balanced budget's cuts stand,school,took_effect,"$761,001 below level service",11.7,2026-05-16,the district,both questions failed; the cut list marked decided above took effect,doc:sources/district-budget/docs/fy27-budget-projections-as-of-3-23-26.pdf,"K–5 class sizes 27–30; grade 5 band eliminated; one assistant principal for two schools; middle school sports gone; about $163,835 of cuts restored in no tier"
final,Restored after the ballot — reading specialists (2), HS assistant principal to full time, Ignite tutoring seats, 0.4 music,school,restored_later,"$453,722 ($350,000 from the Special Town Meeting)",,2026-09-03,Special Town Meeting,the enacted state budget carried $471,121 more aid; articles 1 and 3 approved,doc:sources/analyses/fy27-and-the-override.md,the summer episode's own page tells this part
