cert_number,business_name,owner,address,category,is_franchise,source,expires_iso,expires_year,status
2555,A C valenti Corporation,Christopher valente,305 Leominster-Shirley Road,other_uncategorized,False,master,2026-08-29,2026,active
2562,"A & D Ductless, LLC",Damon Robinson,145 South Row Road,construction_trades,False,master,2026-09-07,2026,active
2338,Accurate Appraisal Services,Angelique Wilgus,17 Whitetail Crossing,finance_accounting,False,master,2028-06-04,2028,active
2752,Advanced Delivery Service,Brian O'Connor,1442 Mass Avenue,food_beverage,False,master,2028-08-22,2028,active
2667,Aimee Liz Photography,Aimee Burrows,7 Meadow Lane,personal_services,False,master,2027-08-17,2027,active
2464,Aisa Traders,Adnan Inayat,7 Rogers Way Unit 203,retail,False,master,2025-10-12,2025,expired
2453,AJ Construction,Andrew Hudson,9 Pine Acres Road,construction_trades,False,master,2025-03-30,2025,expired
2447,Incident Clean up Solutions,Kristen Aldrich,421 Electric Avenue,technology_consulting,False,master,2028-02-25,2028,active
2250,No Limit Performance,Padric LaTour & Joshua Aresenault,315 West Street,other_uncategorized,False,master,2023-04-01,2023,expired
2763,All About Your House,William Malcomb,149 Island Road,other_uncategorized,False,master,2028-11-10,2028,active
2538,All Around Roofing & Construction,Roland Torres-Pagan,215 Whalom Rd,construction_trades,False,master,2026-02-13,2026,expired
2334,All In One Construction,Craig Suppa,536 New West Townsend Road,construction_trades,False,master,2024-05-26,2024,expired
2616,All Phase Contracting Services,Kenneth L'Ecuyer,65 Watt Street,construction_trades,False,master,2026-03-11,2026,expired
2911,Alpha Golf Academy,Frederick Sleeper,213 Sunnyhill Road,personal_services,False,master,2030-03-09,2030,active
2689,Amanda Construction Co,Nadir Santos Prado Pereira,3 Lancaster Avenue,construction_trades,False,master,2027-12-04,2027,active
2569,Amelia Cenotti LMHC,Amelia Cenotti,24 Mass Ave,health_wellness,False,master,2026-10-09,2026,active
2860,American Graffitti,Todd Jennison,113 Summer Street,other_uncategorized,False,master,2029-11-04,2029,active
2239,"Amy Wolf, MA, LMHC",Amy Wolf,24 Mass Ave,health_wellness,False,master,2027-03-07,2027,active
2484,Anderson Home Management Solutions,Linda A. Anderson,516 Lancaster Avenue,technology_consulting,False,master,2025-11-14,2025,expired
2543,3S Services,Patrick James Callahan,1 Main Street,other_uncategorized,False,master,2022-06-18,2022,expired
2401,Andidada Global Services,Anthony Laudani,88 Gilchrest Street,other_uncategorized,False,master,2024-12-31,2024,expired
2222,Angela Ryan Photography,Angela Nicole Ryan,25 Williams Drive,personal_services,False,master,2023-02-19,2023,expired
2639,Annihilation T & D Removal,C Cooper & J Therrien,43 The Clearing,construction_trades,False,master,2027-04-18,2027,active
2908,Apex Production,Christopher Caswell,847 Chase Road,arts_creative,False,master,2030-03-03,2030,active
2604,Archdeacon Law Associates,Philip Arcidiacono,1 Main Street,legal,False,master,2027-01-05,2027,active
2771,"Arachnoiden, LLC",Steven Tanabe,227 Arbor Street,other_uncategorized,False,master,2028-09-21,2028,active
2564,Ariana Eydenberg LMHC,Ariana Eydenberg,410 Lancaster Avenue,health_wellness,False,master,2026-09-13,2026,active
2534,Arrive Lunenburg,"CPS Emerald Place, LLC",1 Carousel Lane,real_estate_property,False,master,2026-06-09,2026,expiring_soon
2271,Arnold Consulting & Advocacay,Megan Arnold,105 Hemlock Drive,technology_consulting,False,master,2023-06-10,2023,expired
2648,Artisan Acres Farm,Christopher Iosua,12 Town Street,agriculture,False,master,2027-05-25,2027,active
2290,ASB,Alan Bateman,9 West Street Terrace,other_uncategorized,False,master,2023-08-13,2023,expired
