rank,dept,project,cost,cumulative,funded,funding
1,DPW,Flat Hill Rd Bridge Completion (Engineering and Construction),350000.00,350000.00,yes,free_cash_or_taxation
2,Police,Patrol Cruiser (replacement),68627.00,418627.00,yes,free_cash_or_taxation
3,Fire,Engine 2 - 4x4 Brush Truck (replacement),335000.00,753627.00,yes,stabilization
4,Schools,Primary School Entry and Driveway Expansion (Design),25000.00,778627.00,yes,free_cash_or_taxation
5,Schools,Primary School Playground (Design),30000.00,808627.00,yes,free_cash_or_taxation
6,Police,Supervisor Cruiser (replacement),68627.00,877254.00,yes,free_cash_or_taxation
7,Facilities,Public Safety Building Roof Repair,494500.00,1371754.00,yes,free_cash_or_taxation
8,Facilities,Public Safety Building Boiler Upgrades,115000.00,1486754.00,yes,free_cash_or_taxation
9,Schools,School Door Security Intercoms at Turkey Hill and Primary (replacement),29044.00,1515798.00,yes,free_cash_or_taxation
10,Facilities,Public Safety Controls Upgrade,35000.00,1550798.00,yes,free_cash_or_taxation
11,DPW,"Front End Loader with Snow Plow (replacement, retain spare)",259000.00,1809798.00,yes,stabilization
12,IT,Adult Activity Center Network Upgrade,20405.00,1830203.00,yes,free_cash_or_taxation
13,DPW,6 Wheel Dump/Spreader/Plow (replacement),401000.00,2231203.00,no,unfunded
14,Schools,Primary School Window Safety Film,29005.00,2260208.00,no,unfunded
15,Schools,Mower (replacement),49800.00,2310008.00,no,unfunded
16,DPW,One Ton Dump / Plow Truck (replacement),93000.00,2403008.00,no,unfunded
17,DPW,Fabric Salt Shed & Anti-Icing Chemicals Equipment (Design & Permit),200000.00,2603008.00,no,unfunded
18,Facilities,Fitzgerald Field Improvements,55600.00,2658608.00,no,unfunded
19,Schools,Heat for THES Maintenance Garage,60000.00,2718608.00,no,unfunded
20,Facilities,Public Safety VCT Flooring Replacement,38600.00,2757208.00,no,unfunded
21,DPW,New West Townsend Rd. Drainage Improvements (Design),125000.00,2882208.00,no,unfunded
22,Facilities,TC Passios Hazmat Abatement,385000.00,3267208.00,no,unfunded
