dataset,edition,report_fy,document,page,copy,plan_fiscal_year,line_no,project,cost,cumulative,printed_total,columns_as_printed,status,reconciliation
capital_plan,FY2014,2014,4120-fy-2014-annual-town-report.pdf,85,committee report,2015,1,School School Asbestos,138000.0,,1114152.0,"At the Annual Town Meeting May 2014, the following items, totaling $ 1,114,152, were",checked,"19 project rows sum to 1,114,152.00 = the total the page prints"
capital_plan,FY2014,2014,4120-fy-2014-annual-town-report.pdf,85,committee report,2015,2,Fire Department Engine,550000.0,,1114152.0,"At the Annual Town Meeting May 2014, the following items, totaling $ 1,114,152, were",checked,"19 project rows sum to 1,114,152.00 = the total the page prints"
capital_plan,FY2014,2014,4120-fy-2014-annual-town-report.pdf,85,committee report,2015,3,Police Department Radio Infrastructure,40000.0,,1114152.0,"At the Annual Town Meeting May 2014, the following items, totaling $ 1,114,152, were",checked,"19 project rows sum to 1,114,152.00 = the total the page prints"
capital_plan,FY2014,2014,4120-fy-2014-annual-town-report.pdf,85,committee report,2015,4,Police Department Marked Vehicle,46000.0,,1114152.0,"At the Annual Town Meeting May 2014, the following items, totaling $ 1,114,152, were",checked,"19 project rows sum to 1,114,152.00 = the total the page prints"
capital_plan,FY2014,2014,4120-fy-2014-annual-town-report.pdf,85,committee report,2015,5,Public Safety poxy Floors,12000.0,,1114152.0,"At the Annual Town Meeting May 2014, the following items, totaling $ 1,114,152, were",checked,"19 project rows sum to 1,114,152.00 = the total the page prints"
capital_plan,FY2014,2014,4120-fy-2014-annual-town-report.pdf,85,committee report,2015,6,"Police Department Rifles, Shotguns, Shields",14000.0,,1114152.0,"At the Annual Town Meeting May 2014, the following items, totaling $ 1,114,152, were",checked,"19 project rows sum to 1,114,152.00 = the total the page prints"
capital_plan,FY2014,2014,4120-fy-2014-annual-town-report.pdf,85,committee report,2015,7,School Department Upgrade Control System,14000.0,,1114152.0,"At the Annual Town Meeting May 2014, the following items, totaling $ 1,114,152, were",checked,"19 project rows sum to 1,114,152.00 = the total the page prints"
capital_plan,FY2014,2014,4120-fy-2014-annual-town-report.pdf,85,committee report,2015,8,School Department School Technology,25000.0,,1114152.0,"At the Annual Town Meeting May 2014, the following items, totaling $ 1,114,152, were",checked,"19 project rows sum to 1,114,152.00 = the total the page prints"
capital_plan,FY2014,2014,4120-fy-2014-annual-town-report.pdf,85,committee report,2015,9,"Town Technology Technology, Town-wide",40000.0,,1114152.0,"At the Annual Town Meeting May 2014, the following items, totaling $ 1,114,152, were",checked,"19 project rows sum to 1,114,152.00 = the total the page prints"
capital_plan,FY2014,2014,4120-fy-2014-annual-town-report.pdf,85,committee report,2015,10,Senior Center Carpeting,10000.0,,1114152.0,"At the Annual Town Meeting May 2014, the following items, totaling $ 1,114,152, were",checked,"19 project rows sum to 1,114,152.00 = the total the page prints"
capital_plan,FY2014,2014,4120-fy-2014-annual-town-report.pdf,85,committee report,2015,11,Fire Department Car,30000.0,,1114152.0,"At the Annual Town Meeting May 2014, the following items, totaling $ 1,114,152, were",checked,"19 project rows sum to 1,114,152.00 = the total the page prints"
capital_plan,FY2014,2014,4120-fy-2014-annual-town-report.pdf,85,committee report,2015,12,DPW Asphalt Roller,35000.0,,1114152.0,"At the Annual Town Meeting May 2014, the following items, totaling $ 1,114,152, were",checked,"19 project rows sum to 1,114,152.00 = the total the page prints"
capital_plan,FY2014,2014,4120-fy-2014-annual-town-report.pdf,85,committee report,2015,13,Marshall Park Parking Lot,37000.0,,1114152.0,"At the Annual Town Meeting May 2014, the following items, totaling $ 1,114,152, were",checked,"19 project rows sum to 1,114,152.00 = the total the page prints"
capital_plan,FY2014,2014,4120-fy-2014-annual-town-report.pdf,85,committee report,2015,14,Senior Center HVAC Repairs,15798.0,,1114152.0,"At the Annual Town Meeting May 2014, the following items, totaling $ 1,114,152, were",checked,"19 project rows sum to 1,114,152.00 = the total the page prints"
capital_plan,FY2014,2014,4120-fy-2014-annual-town-report.pdf,85,committee report,2015,15,"Town Technology Technology, Town-wide",14400.0,,1114152.0,"At the Annual Town Meeting May 2014, the following items, totaling $ 1,114,152, were",checked,"19 project rows sum to 1,114,152.00 = the total the page prints"
capital_plan,FY2014,2014,4120-fy-2014-annual-town-report.pdf,85,committee report,2015,16,School Department School Technology,25000.0,,1114152.0,"At the Annual Town Meeting May 2014, the following items, totaling $ 1,114,152, were",checked,"19 project rows sum to 1,114,152.00 = the total the page prints"
capital_plan,FY2014,2014,4120-fy-2014-annual-town-report.pdf,85,committee report,2015,17,Senior Center Sprinkler,11430.0,,1114152.0,"At the Annual Town Meeting May 2014, the following items, totaling $ 1,114,152, were",checked,"19 project rows sum to 1,114,152.00 = the total the page prints"
capital_plan,FY2014,2014,4120-fy-2014-annual-town-report.pdf,85,committee report,2015,18,Library Carpet,36524.0,,1114152.0,"At the Annual Town Meeting May 2014, the following items, totaling $ 1,114,152, were",checked,"19 project rows sum to 1,114,152.00 = the total the page prints"
capital_plan,FY2014,2014,4120-fy-2014-annual-town-report.pdf,85,committee report,2015,19,Ritter Building HVAC Repairs,20000.0,,1114152.0,"At the Annual Town Meeting May 2014, the following items, totaling $ 1,114,152, were",checked,"19 project rows sum to 1,114,152.00 = the total the page prints"
capital_plan,FY2015,2015,4121-fy-2015-annual-town-report.pdf,93,committee report,2016,1,Pavement Management Operating Budget,250000.0,,1051578.0,"At the Annual Town Meeting May 2015, the following items, totaling $ 1,051,578, were presented in the",checked,"13 project rows sum to 1,051,578.00 = the total the page prints"
capital_plan,FY2015,2015,4121-fy-2015-annual-town-report.pdf,93,committee report,2016,2,"6-Wheel Dump & Sander Capital Budget, Debt 82,282.00 $ 107,718.00",190000.0,,1051578.0,"At the Annual Town Meeting May 2015, the following items, totaling $ 1,051,578, were presented in the",checked,"13 project rows sum to 1,051,578.00 = the total the page prints"
capital_plan,FY2015,2015,4121-fy-2015-annual-town-report.pdf,93,committee report,2016,3,"Backhoe Capital Budget, Cash 120,000.00 $ -",120000.0,,1051578.0,"At the Annual Town Meeting May 2015, the following items, totaling $ 1,051,578, were presented in the",checked,"13 project rows sum to 1,051,578.00 = the total the page prints"
capital_plan,FY2015,2015,4121-fy-2015-annual-town-report.pdf,93,committee report,2016,4,"Police Vehicles, Marked Capital Budget, Cash 96,000.00 $",96000.0,,1051578.0,"At the Annual Town Meeting May 2015, the following items, totaling $ 1,051,578, were presented in the",checked,"13 project rows sum to 1,051,578.00 = the total the page prints"
capital_plan,FY2015,2015,4121-fy-2015-annual-town-report.pdf,93,committee report,2016,5,"Drainage Culvert Repair, 2-Phases Capital Budget, Cash 43,728.00",43728.0,,1051578.0,"At the Annual Town Meeting May 2015, the following items, totaling $ 1,051,578, were presented in the",checked,"13 project rows sum to 1,051,578.00 = the total the page prints"
capital_plan,FY2015,2015,4121-fy-2015-annual-town-report.pdf,93,committee report,2016,6,"Municipal Buildings, Feasibility Study Capital Budget, Cash $ 28,000.00",28000.0,,1051578.0,"At the Annual Town Meeting May 2015, the following items, totaling $ 1,051,578, were presented in the",checked,"13 project rows sum to 1,051,578.00 = the total the page prints"
capital_plan,FY2015,2015,4121-fy-2015-annual-town-report.pdf,93,committee report,2016,7,"Intersection Reconfguration, Plan & Implementation Capital Budget, Cash $ 40,850.00 $",40850.0,,1051578.0,"At the Annual Town Meeting May 2015, the following items, totaling $ 1,051,578, were presented in the",checked,"13 project rows sum to 1,051,578.00 = the total the page prints"
capital_plan,FY2015,2015,4121-fy-2015-annual-town-report.pdf,93,committee report,2016,8,"Technology, Town Departments Capital Budget, Cash $ 34,000.00 $ :",34000.0,,1051578.0,"At the Annual Town Meeting May 2015, the following items, totaling $ 1,051,578, were presented in the",checked,"13 project rows sum to 1,051,578.00 = the total the page prints"
capital_plan,FY2015,2015,4121-fy-2015-annual-town-report.pdf,93,committee report,2016,9,"DPW, Street Sweeper Capital Budget, Debt 64,950.00 $ 115,050.00",180000.0,,1051578.0,"At the Annual Town Meeting May 2015, the following items, totaling $ 1,051,578, were presented in the",checked,"13 project rows sum to 1,051,578.00 = the total the page prints"
capital_plan,FY2015,2015,4121-fy-2015-annual-town-report.pdf,93,committee report,2016,10,"Police, Speed Sign Capital Budget, Cash 12,000.00 $",12000.0,,1051578.0,"At the Annual Town Meeting May 2015, the following items, totaling $ 1,051,578, were presented in the",checked,"13 project rows sum to 1,051,578.00 = the total the page prints"
capital_plan,FY2015,2015,4121-fy-2015-annual-town-report.pdf,93,committee report,2016,11,"Technology, School Department Capital Budget, Cash $ 30,000.00 $",30000.0,,1051578.0,"At the Annual Town Meeting May 2015, the following items, totaling $ 1,051,578, were presented in the",checked,"13 project rows sum to 1,051,578.00 = the total the page prints"
capital_plan,FY2015,2015,4121-fy-2015-annual-town-report.pdf,93,committee report,2016,12,"Replace Gas Burner, Library Capital Budget, Cash 15,000.00$ -",15000.0,,1051578.0,"At the Annual Town Meeting May 2015, the following items, totaling $ 1,051,578, were presented in the",checked,"13 project rows sum to 1,051,578.00 = the total the page prints"
capital_plan,FY2015,2015,4121-fy-2015-annual-town-report.pdf,93,committee report,2016,13,"HVAC Management System Capital Budget Cash $ 12,000.00 $ -",12000.0,,1051578.0,"At the Annual Town Meeting May 2015, the following items, totaling $ 1,051,578, were presented in the",checked,"13 project rows sum to 1,051,578.00 = the total the page prints"
capital_plan,FY2016,2016,4123-fy-2016-annual-town-report.pdf,94,committee report,2017,1,"PD16-12 1 Police Vehicle, Units 207 & 210",107000.0,107000.0,780975.0,"Total $ 780,975",checked,"12 project rows sum to 780,975.00 = the total the page prints"
capital_plan,FY2016,2016,4123-fy-2016-annual-town-report.pdf,94,committee report,2017,2,"PD16-07 2 Bulletproof Vests, 29 Officers",17500.0,124500.0,780975.0,"Total $ 780,975",checked,"12 project rows sum to 780,975.00 = the total the page prints"
capital_plan,FY2016,2016,4123-fy-2016-annual-town-report.pdf,94,committee report,2017,3,"LPS16-21 3 THMS, Phone System Replacement",22000.0,146500.0,780975.0,"Total $ 780,975",checked,"12 project rows sum to 780,975.00 = the total the page prints"
capital_plan,FY2016,2016,4123-fy-2016-annual-town-report.pdf,94,committee report,2017,4,"LPS16-20 4 THMS, Intercom System Replacement",22000.0,168500.0,780975.0,"Total $ 780,975",checked,"12 project rows sum to 780,975.00 = the total the page prints"
