report_fy,document,page,as_of,issue_seq,issue,due_fy,principal,interest,admin_fee,total,cells_printed,rows_offset,column_foots
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",1,MASS WATER POOL 3*,2015,10026,1683,,11709,PIT,0,yes
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",1,MASS WATER POOL 3*,2016,10334,1116,,11450,PIT,0,interest out by -1
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",1,MASS WATER POOL 3*,2017,10651,533,,11184,PIT,0,interest out by -1
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",2,MASS WATER POOL 4*,2015,10868,2479,,13347,PIT,0,yes
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",2,MASS WATER POOL 4*,2016,10868,1922,,12790,PIT,0,interest out by -1
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",2,MASS WATER POOL 4*,2017,10868,1365,,12233,PIT,0,interest out by -1
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",2,MASS WATER POOL 4*,2018,10868,815,,11683,PIT,0,yes
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",2,MASS WATER POOL 4*,2019,10868,272,,11140,PIT,0,yes
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",3,MASS WATER POOL 5*,2015,20000,7020,,27020,PIT,0,yes
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",3,MASS WATER POOL 5*,2016,25000,5710,,30710,PIT,0,interest out by -1
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",3,MASS WATER POOL 5*,2017,25000,4406,,29406,PIT,0,interest out by -1
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",3,MASS WATER POOL 5*,2018,25000,3010,,28010,PIT,0,yes
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",3,MASS WATER POOL 5*,2019,25000,1863,,26863,PIT,0,yes
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",3,MASS WATER POOL 5*,2020,25000,688,,25688,PIT,0,interest out by +1
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",5,MASS WATER POOL 7*,2015,119764,45726,,165490,PIT,0,yes
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",5,MASS WATER POOL 7*,2016,119764,38860,,158624,PIT,0,interest out by -1
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",5,MASS WATER POOL 7*,2017,124555,32002,,156557,PIT,0,interest out by -1
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",5,MASS WATER POOL 7*,2018,129345,24068,,153413,PIT,0,yes
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",5,MASS WATER POOL 7*,2019,134136,15019,,149155,PIT,0,yes
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",5,MASS WATER POOL 7*,2020,138926,6946,,145872,PIT,0,interest out by +1
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",5,MASS WATER POOL 7*,2021,138926,3474,,142400,PIT,0,yes
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",6,MUNICIPAL PURPOSE,2015,1070000,391000,,1461000,PIT,0,yes
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",6,MUNICIPAL PURPOSE,2016,1090000,348200,,1438200,PIT,0,interest out by -1
