report_fy,document,page,as_of,due_fy,principal,interest,principal_and_interest,mwpat_admin_fee,total_debt
2011,4117-fy-2011-annual-town-report.pdf,77,"June 30, 2011",2032,75316,80629,155945,,155945
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",2015,2189028,893532,3082560,,3082560
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",2016,2220711,802637,3023348,,3023348
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",2017,2167274,710568,2877842,,2877842
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",2018,2002655,619116,2621771,,2621771
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",2019,2039070,530974,2570044,,2570044
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",2020,2069407,446905,2516312,,2516312
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",2021,2071212,365187,2436399,,2436399
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",2023,1954529,201401,2155930,,2155930
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",2024,846635,120310,966945,,966945
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",2025,310875,106231,417106,,417106
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",2027,96839,93472,190311,,190311
2014,4120-fy-2014-annual-town-report.pdf,40,"June 30, 2014",2028,100005,90306,190311,,190311
2015,4121-fy-2015-annual-town-report.pdf,43,"June 30, 2015",2033,82050,73895,155945,,155945
2015,4121-fy-2015-annual-town-report.pdf,43,"June 30, 2015",2034,85639,70306,155945,,155945
2016,4122-fy-2016-annual-town-report-addendum.pdf,7,"June 30, 2016",2023,2849557,1176539,4026096,,4026095
2016,4122-fy-2016-annual-town-report-addendum.pdf,7,"June 30, 2016",2024,1768186,1066621,2834807,,2834807
2016,4122-fy-2016-annual-town-report-addendum.pdf,7,"June 30, 2016",2028,1182980,896335,2079315,,2079315
2016,4122-fy-2016-annual-town-report-addendum.pdf,7,"June 30, 2016",2029,1213855,853830,2067685,,2067686
2016,4122-fy-2016-annual-town-report-addendum.pdf,7,"June 30, 2016",2030,1238561,809862,2048423,,2048423
2016,4122-fy-2016-annual-town-report-addendum.pdf,7,"June 30, 2016",2031,1273487,771947,2045434,,2045434
2016,4122-fy-2016-annual-town-report-addendum.pdf,8,"June 30, 2016",2038,1491639,463343,1954982,,1954983
2016,4122-fy-2016-annual-town-report-addendum.pdf,8,"June 30, 2016",2039,1541086,413434,1954520,,1954520
2016,4122-fy-2016-annual-town-report-addendum.pdf,8,"June 30, 2016",2041,1650572,306599,1957171,,1957170
2016,4122-fy-2016-annual-town-report-addendum.pdf,8,"June 30, 2016",2042,1710628,249436,1960064,,1960064
2016,4122-fy-2016-annual-town-report-addendum.pdf,8,"June 30, 2016",2044,1826414,127671,1954085,,1954085
2016,4122-fy-2016-annual-town-report-addendum.pdf,8,"June 30, 2016",2045,1412163,62997,1475160,,1475160
2017,4124-fy-2017-annual-town-report.pdf,42,"June 30, 2017",2030,1363561,820362,2183923,,2183923
2019,4126-fy-2019-annual-town-report.pdf,52,"June 30, 2019",2037,1450000,496456,1946456,,1946456
2019,4126-fy-2019-annual-town-report.pdf,52,"June 30, 2019",2046,135000,9450,144450,,144450
2021,4128-fy-2021-annual-town-report.pdf,44,"June 30, 2021",2022,3136223,1376940,4513162,3396,4516558
2021,4128-fy-2021-annual-town-report.pdf,44,"June 30, 2021",2025,1679754,1101717,2781471,1365,2782836
2021,4128-fy-2021-annual-town-report.pdf,44,"June 30, 2021",2028,1579704,926935,2506639,953,2507592
2021,4128-fy-2021-annual-town-report.pdf,44,"June 30, 2021",2031,1559996,772071,2332067,618,2332684
2021,4128-fy-2021-annual-town-report.pdf,44,"June 30, 2021",2032,1576409,726571,2302980,520,2303500
2021,4128-fy-2021-annual-town-report.pdf,44,"June 30, 2021",2036,1467373,543719,2011092,109,2011200
2022,4129-fy-2022-annual-town-report.pdf,46,"June 30, 2022",2037,1450000,496456,1946456,0,1946456
