slug,name,kind,dept_codes,board,head
town-manager,Town Manager,department,126;133;195;199;524;525;912;913;914;945,select-board,Town Manager
accounting,Town Accountant,department,135;136,,Town Accountant
treasurer-collector,Treasurer/Collector,department,145;146;158;710;751;754,,Treasurer/Collector
information-technology,Information Technology,department,155,,IT Director
town-clerk,Town Clerk,department,161;162;163,board-of-registrars,Town Clerk
land-use,Land Use,department,170,planning-board,Land Use Director
facilities,Facilities and Grounds,department,192;193,,Facilities Director
police,Police Department,department,210;213;214,,Chief of Police
fire,Fire Department,department,220;223;227,,Fire Chief
dispatch,Radio Watch (dispatch),department,228,,
building-inspection,Building Inspection,department,241;244,,Building Commissioner
emergency-management,Emergency Management,department,291,,Emergency Management Director
animal-control,Animal Control,department,292,,Animal Control Officer
dpw,Department of Public Works,department,294;400;411;421;423;425;429;433,,DPW Director
veterans-services,Veterans' Services,department,543,,Veterans' Services Officer
worcester-regional-retirement,Worcester Regional Retirement System,external,820,,
commonwealth,The Commonwealth (cherry sheet assessments),external,825,,
montachusett-regional-planning,Montachusett Regional Planning Commission,external,841,,
monty-tech,Montachusett Regional Vocational Technical School District,external,310,,
