kind,sy,org_code,org_name,org_type,stu_grp,subj_cat,subj,test_takers_cnt,tests_taken_cnt,one_test_cnt,two_test_cnt,three_test_cnt,four_test_cnt,five_plus_test_cnt,tests_taken,score_1,score_2,score_3,score_4,score_5,pct_1_2,pct_3_5
participation,2025,01620000,Lunenburg,District,All Students,All Subjects,All Subjects,89,154,47,25,12,4,1,,,,,,,,
participation,2025,01620000,Lunenburg,District,Black or African American,All Subjects,All Subjects,3,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Hispanic or Latino,All Subjects,All Subjects,6,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,"Multi-Race, Not Hispanic or Latino",All Subjects,All Subjects,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Native Hawaiian or Other Pacific Islander,All Subjects,All Subjects,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,White,All Subjects,All Subjects,77,139,37,24,11,4,1,,,,,,,,
participation,2025,01620000,Lunenburg,District,High Needs,All Subjects,All Subjects,14,19,11,2,0,1,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,Low Income,All Subjects,All Subjects,13,18,10,2,0,1,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,Students with Disabilities,All Subjects,All Subjects,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Female,All Subjects,All Subjects,51,86,27,15,7,2,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,Male,All Subjects,All Subjects,38,68,20,10,5,2,1,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,Science and Technology,Science and Technology,9,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,Science and Technology,Environmental Sci,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,History and Social Science,History: U.S.,25,25,25,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,Math and Computer Science,Statistics,13,13,13,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,Science and Technology,Physics 1,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,History and Social Science,Govt RAD: U.S.,31,31,31,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,Arts,2-D Art and Design,4,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,Arts,Studio Art: 2-D Design,4,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,History and Social Science,Psychology,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,Foreign Languages,Foreign Languages,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,History and Social Science,Govt & Pol: U.S.,31,31,31,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,Arts,Arts,5,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,Science and Technology,Biology,7,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,Math and Computer Science,Computer Sci A,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,English Language Arts,English Lit/Comp,22,22,22,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,English Language Arts,English Language Arts,58,58,58,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,English Language Arts,English Lang/Comp,36,36,36,0,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,History and Social Science,History and Social Science,56,59,53,3,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,History and Social Science,Human Geography,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,Arts,Studio Art: Drawing,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,Arts,Drawing,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,Math and Computer Science,Calculus AB,6,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,Math and Computer Science,Math and Computer Science,18,21,15,3,0,0,0,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,Science and Technology,Chemistry,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,All Students,Foreign Languages,French Lang,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Black or African American,History and Social Science,History and Social Science,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Black or African American,English Language Arts,English Lang/Comp,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Black or African American,History and Social Science,History: U.S.,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Black or African American,English Language Arts,English Language Arts,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Hispanic or Latino,Science and Technology,Science and Technology,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Hispanic or Latino,Math and Computer Science,Math and Computer Science,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Hispanic or Latino,Science and Technology,Biology,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Hispanic or Latino,History and Social Science,Govt RAD: U.S.,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Hispanic or Latino,Arts,Studio Art: 2-D Design,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Hispanic or Latino,Math and Computer Science,Statistics,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Hispanic or Latino,English Language Arts,English Lit/Comp,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Hispanic or Latino,English Language Arts,English Language Arts,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Hispanic or Latino,History and Social Science,History and Social Science,3,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Hispanic or Latino,History and Social Science,History: U.S.,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Hispanic or Latino,Arts,2-D Art and Design,2,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Hispanic or Latino,English Language Arts,English Lang/Comp,1,,,,,,,,,,,,,,
participation,2025,01620000,Lunenburg,District,Hispanic or Latino,Arts,Arts,2,,,,,,,,,,,,,,
