fy,lea,district,level,foundation_enrollment,foundation_budget,required_local_contribution,target_aid_pct,foundation_aid_increment,down_payment_aid_increment,growth_aid_increment,target_aid_phase_in,minimum_aid_increment,non_operating_reduction,ch70_aid,required_nss,ch70_aid_reduction,hold_harmless_low_income,minimum_aid_adjustment,doc_id
2007,00000000,State,state,951287,8014672861.37989,4876428772,41,149125333.49702516,24669565.8,41841254,,984767,31943.17,3505192038.927025,8381620810.927022,,,,sources/state-dese/dese-ch70-key-factors.xlsx
2007,00190000,Ayer,district,1050,8871545.03224,6363490,38.85,0,0,242858,,0,0,3883672,10247162,,,,sources/state-dese/dese-ch70-key-factors.xlsx
2007,01250000,Harvard,district,1260,9436456.443920001,8041734,17.5,187032,0,0,,0,0,1394722,9436456,,,,sources/state-dese/dese-ch70-key-factors.xlsx
2007,01620000,Lunenburg,district,1647,12276374.15,8871625,38,0,191223,21570,,0,0,3921700,12793325,,,,sources/state-dese/dese-ch70-key-factors.xlsx
2007,06100000,Ashburnham-Westminster,district,2349,17725876,8610748,47.04,209527,0,276310,,0,0,9391438,18002186,,,,sources/state-dese/dese-ch70-key-factors.xlsx
2007,06730000,Groton-Dunstable,district,2909,22069166,11478206,38.84,900915,0,0,,0,0,10590960,22069166,,,,sources/state-dese/dese-ch70-key-factors.xlsx
2007,07350000,North Middlesex,district,4475,33499786,15279377,53.94,0,0,594317,,0,0,19658038,34937415,,,,sources/state-dese/dese-ch70-key-factors.xlsx
2008,00000000,State,state,949580,8406096436,4997705374,41,150095586,32183007,36924507,,1023417,75228.90508452339,3725343326.82194,8723048701,,,,sources/state-dese/dese-ch70-key-factors.xlsx
2008,00190000,Ayer,district,1068,9386274,6352709,41.1,0,0,211553,,0,0,4095225,10447934,,,,sources/state-dese/dese-ch70-key-factors.xlsx
2008,01250000,Harvard,district,1246,9734129,8255080,17.5,84327,8298,0,,0,0,1487347,9742427,,,,sources/state-dese/dese-ch70-key-factors.xlsx
2008,01620000,Lunenburg,district,1665,13121501,8885020,39.86,314781,77778,0,,0,0,4314259,13199279,,,,sources/state-dese/dese-ch70-key-factors.xlsx
2008,06100000,Ashburnham-Westminster,district,2385,18827304,8914333,49.31,521533,0,21581,,0,0,9934552,18848885,,,,sources/state-dese/dese-ch70-key-factors.xlsx
2008,06730000,Groton-Dunstable,district,2860,22567813,12305992,33.32,0,0,166149,,0,0,10757109,23063101,,,,sources/state-dese/dese-ch70-key-factors.xlsx
2008,07350000,North Middlesex,district,4378,34412577,15653174,53.77,0,0,490808,,0,0,20148846,35802020,,,,sources/state-dese/dese-ch70-key-factors.xlsx
2009,00000000,State,state,944224,8811314229.292686,5110365426,41,167502862.39999998,20288311.200000003,34474164,,1066474,179076.17238,3948496062.2495604,9058861488.24956,-411999998,,,sources/state-dese/dese-ch70-key-factors.xlsx
2009,00190000,Ayer,district,1054,9764441.580520002,6347229,41.77,0,0,157961,,0,0,4253186,10600415,-447283,,,sources/state-dese/dese-ch70-key-factors.xlsx
2009,01250000,Harvard,district,1249,10286417.5432,8498460,17.5,300611,0,0,,0,0,1787958,10286418,-188029,,,sources/state-dese/dese-ch70-key-factors.xlsx
2009,01620000,Lunenburg,district,1641,13675383.389999999,9084809,38.34,276315,30216,0,,0,0,4620790,13705599,-485942,,,sources/state-dese/dese-ch70-key-factors.xlsx
2009,06100000,Ashburnham-Westminster,district,2359,19657064,9471071,48.1,251441,0,147674,,0,0,10333667,19804738,-1086732,,,sources/state-dese/dese-ch70-key-factors.xlsx
2009,06730000,Groton-Dunstable,district,2838,23533501,13095797,33.44,0,0,322926,,0,0,11080035,24175832,-1165224,,,sources/state-dese/dese-ch70-key-factors.xlsx
2009,07350000,North Middlesex,district,4362,36029257,16080023,54.21,0,0,876402,,0,0,21025248,37105271,-2211105,,,sources/state-dese/dese-ch70-key-factors.xlsx
