fy,lea_number,municipality,equalized_valuation,property_local_effort,income,income_local_effort,combined_effort_yield,town_foundation_enrollment,town_foundation_budget,target_local_contribution,municipal_revenue_growth_factor,preliminary_contribution,excess_effort,effort_reduction,shortfall,dollar_increment,acceleration,required_local_contribution,doc_id
2007,1,Abington,1540413700,5211132.21763887,371467000,6057186.320668981,11268319,2420,18582867.48,11268319,0.0805,11739165,470846,94169.20000000001,0,,,11644996,sources/state-dese/dese-ch70-key-factors.xlsx
2007,10,Arlington,6361931000,21522051.90105455,1403364000,22883424.971045356,44405477,4635,37078457.82971999,30589728,0.038599999999999995,32406601,1816873,363374.60000000003,0,,,32043226,sources/state-dese/dese-ch70-key-factors.xlsx
2007,100,Framingham,8228519700,27836615.65211094,1693080000,27607569.490151856,55444185,8532,76386706.73124,55444185,0.051699999999999996,70983194,15539009,3107801.8000000003,0,,,67875392,sources/state-dese/dese-ch70-key-factors.xlsx
2007,101,Franklin,3986325800,13485514.187769845,912461000,14878700.631129924,28364215,6578,50421238.32774999,28364215,0.0704,23932344,0,0,4431871,,,23932344,sources/state-dese/dese-ch70-key-factors.xlsx
2007,102,Freetown,960151200,3248137.076503943,230792000,3763322.570564372,7011460,1423,11013199.370000001,7011460,0.09050000000000001,7910498,899038,179807.6,0,,,7730690,sources/state-dese/dese-ch70-key-factors.xlsx
2007,103,Gardner,1080097100,3653907.2562054675,331923000,5412377.021688092,9066284,3101,25954964.689999998,9066284,0.083,6224811,0,0,2841473,,,6224811,sources/state-dese/dese-ch70-key-factors.xlsx
2007,104,Aquinnah,512635000,1734215.1425875414,3798000,61930.65237531407,1796146,58,469890,387659,0.039900000000000005,377913,0,0,9746,,,377913,sources/state-dese/dese-ch70-key-factors.xlsx
2007,105,Georgetown,1053506500,3563952.763885419,234016000,3815893.508757635,7379846,1528,11300521.230000002,7379846,0.0955,7156590,0,0,223256,,,7156590,sources/state-dese/dese-ch70-key-factors.xlsx
2007,106,Gill,98600500,333559.90161948145,25682000,418773.83209658135,752334,210,1798771,752334,0.0891,920967,168633,33726.6,0,,,887240,sources/state-dese/dese-ch70-key-factors.xlsx
2007,107,Gloucester,4931806400,16684021.456182564,734570000,11977988.234685218,28662010,3991,33349811.79784,27513595,0.0464,28370738,857143,171428.6,0,,,28199309,sources/state-dese/dese-ch70-key-factors.xlsx
2007,108,Goshen,93993000,317972.99032885145,11343000,184960.34489025475,502933,134,1050233.94,502933,0.07200000000000001,679247,176314,35262.8,0,,,643984,sources/state-dese/dese-ch70-key-factors.xlsx
2007,109,Gosnold,167731500,567426.1554301251,818000,13338.408015536312,580765,8,51911.4,42827,0.0434,35263,0,0,7564,,,35263,sources/state-dese/dese-ch70-key-factors.xlsx
2007,11,Ashburnham,511410000,1730071.0370355018,145842000,2378117.4838653384,4108189,1134,8807140,4108189,0.11380000000000001,4773009,664820,132964,0,,,4640045,sources/state-dese/dese-ch70-key-factors.xlsx
2007,110,Grafton,1836634800,6213231.405509261,457679000,7462969.733670713,13676201,2630,19985452.459999997,13676201,0.11019999999999999,13004951,0,0,671250,,,13004951,sources/state-dese/dese-ch70-key-factors.xlsx
2007,111,Granby,436466600,1476541.7635426754,137524000,2242483.1588369384,3719025,1084,8438602.86,3719025,0.0694,4678508,959483,191896.6,0,,,4486611,sources/state-dese/dese-ch70-key-factors.xlsx
2007,112,Granville,133677600,452223.74232106726,35180000,573649.3814016717,1025873,307,2358065.48,1025873,0.0492,1225752,199879,39975.8,0,,,1185776,sources/state-dese/dese-ch70-key-factors.xlsx
