fy,lea,org4_code,lea_number,district,level,foundation_enrollment,foundation_budget,required_local_contribution,ch70_aid,ch70_aid_after_penalties,required_nss,required_nss_published,net_school_spending,nss_stage,nss_pct_of_required,reconciles,doc_id
1993,00000000,0000,999,STATE TOTAL,state,809496,4514508999,2998407122,1288777773,1288777773,4287184895,4287184895,,,,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1993,00190000,0019,19,AYER,district,2125,11895127,5960452,3002951,3002951,8963403,8963403,,,,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1993,01250000,0125,125,HARVARD,district,823,4279892,5356736,556838,556838,5913574,5913574,,,,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1993,01620000,0162,162,LUNENBURG,district,1409,6903630,4878524,1576259,1576259,6454783,6454783,,,,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1993,06100000,0610,610,ASHBURNHAM WESTMINSTER,district,2186,11071370,4840330,4168343,4168343,9008673,9008673,,,,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1993,06160000,0616,616,AYER SHIRLEY,district,,,0,,0,,0,,,,,sources/state-dese/dese-ch70-district-profile.xlsx
1993,06730000,0673,673,GROTON DUNSTABLE,district,1617,8391127,5740133,2155398,2155398,7895531,7895531,,,,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1993,07350000,0735,735,NORTH MIDDLESEX,district,4261,22095760,8039551,8669217,8669217,16708768,16708768,,,,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1994,00000000,0000,999,STATE TOTAL,state,820455,4571643823,2993487998,1432831982,1432831982,4426319980,4426319980,4539959338,actual,1.0257,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1994,00190000,0019,19,AYER,district,1872,10376169,3296320,3665788,3665788,6962108,6962108,9748967,actual,1.4003,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1994,01250000,0125,125,HARVARD,district,842,4384818,4610280,598943,598943,5209223,5209223,5324479,actual,1.0221,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1994,01620000,0162,162,LUNENBURG,district,1466,7200730,4858219,1831283,1831283,6689502,6689502,6951622,actual,1.0392,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1994,06100000,0610,610,ASHBURNHAM WESTMINSTER,district,2253,11416402,4634206,4911204,4911204,9545410,9545410,9671012,actual,1.0132,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1994,06160000,0616,616,AYER SHIRLEY,district,,,0,,0,,0,,,,,sources/state-dese/dese-ch70-district-profile.xlsx
1994,06730000,0673,673,GROTON DUNSTABLE,district,1352,7017603,5400063,2472585,2472585,7872648,7872648,8527859,actual,1.0832,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1994,07350000,0735,735,NORTH MIDDLESEX,district,4289,22219862,8440006,10087259,10087259,18527265,18527265,18363857,actual,0.9912,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1995,00000000,0000,999,STATE TOTAL,state,836475,4828222382,3123440050,1622681700,1622681700,4746121750,4746121750,4878239998,actual,1.0278,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1995,00190000,0019,19,AYER,district,1771,10322793,3905915,3524648,3524648,7430563,7430563,7456745,actual,1.0035,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1995,01250000,0125,125,HARVARD,district,846,4532191,4828954,620093,620093,5449047,5449047,5591696,actual,1.0262,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1995,01620000,0162,162,LUNENBURG,district,1616,8117416,5279242,2102432,2102432,7381674,7381674,7468739,actual,1.0118,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1995,06100000,0610,610,ASHBURNHAM WESTMINSTER,district,2249,11617818,5069674,5318726,5318726,10388400,10388400,10491871,actual,1.0100,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1995,06160000,0616,616,AYER SHIRLEY,district,,,0,,0,,0,,,,,sources/state-dese/dese-ch70-district-profile.xlsx
1995,06730000,0673,673,GROTON DUNSTABLE,district,1740,9249816,5903785,2751721,2751721,8655506,8655506,9142954,actual,1.0563,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1995,07350000,0735,735,NORTH MIDDLESEX,district,4318,23057003,8099698,11375102,11375102,19474800,19474800,19745850,actual,1.0139,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1996,00000000,0000,999,STATE TOTAL,state,860308,5093115632,3144223689,1831653335,1831653335,4975877024,4975877024,5227135081.099999,actual,1.0505,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1996,00190000,0019,19,AYER,district,1520,9132232,4088321,3638648,3638648,7726969,7726969,7740651,actual,1.0018,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1996,01250000,0125,125,HARVARD,district,875,4772933,5051132,685718,685718,5736850,5736850,5720674,actual,0.9972,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1996,01620000,0162,162,LUNENBURG,district,1610,8250235,5391585,2401616,2401616,7793201,7793201,7818112,actual,1.0032,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1996,06100000,0610,610,ASHBURNHAM WESTMINSTER,district,2327,12192075,4395045,6006323,6006323,10401368,10401368,11830689,actual,1.1374,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1996,06160000,0616,616,AYER SHIRLEY,district,,,0,,0,,0,,,,,sources/state-dese/dese-ch70-district-profile.xlsx
1996,06730000,0673,673,GROTON DUNSTABLE,district,1910,10358250,5246078,3416222,3416222,8662300,8662300,10097374,actual,1.1657,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1996,07350000,0735,735,NORTH MIDDLESEX,district,4485,24422415,8269552,12880645,12880645,21150197,21150197,21418079,actual,1.0127,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1997,00000000,0000,999,STATE TOTAL,state,879473,5319278089,3205239164,2061572182,2061572182,5266811346,5266811346,5592649790.92,actual,1.0619,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1997,00190000,0019,19,AYER,district,1188,7487210,4290515,3727748,3727748,8018263,8018263,8095769,actual,1.0097,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1997,01250000,0125,125,HARVARD,district,942,5256737,5252290,756368,756368,6008658,6008658,6012684.29,actual,1.0007,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1997,01620000,0162,162,LUNENBURG,district,1548,8053122,5565782,2366295,2366295,7932077,7932077,8925219,actual,1.1252,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1997,06100000,0610,610,ASHBURNHAM WESTMINSTER,district,2402,12696048,4892196,6627841,6627841,11520037,11520037,12931132,actual,1.1225,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1997,06160000,0616,616,AYER SHIRLEY,district,,,0,,0,,0,,,,,sources/state-dese/dese-ch70-district-profile.xlsx
1997,06730000,0673,673,GROTON DUNSTABLE,district,2026,11226341,5495595,4084067,4084067,9579662,9579662,11668899,actual,1.2181,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1997,07350000,0735,735,NORTH MIDDLESEX,district,4588,25563698,8524938,14548036,14548036,23072974,23072974,23690356,actual,1.0268,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1998,00000000,0000,999,STATE TOTAL,state,901876,5599662778,3340170629.7,2288742702,2288742702,5628913331.7,5628913331.7,6012310841.13,actual,1.0681,yes,sources/state-dese/dese-ch70-district-profile.xlsx
1998,00190000,0019,19,AYER,district,1198,7512272,4551942,3817598,3817598,8369540,8369540,8270588,actual,0.9882,yes,sources/state-dese/dese-ch70-district-profile.xlsx
