fy,lea,district,level,eligible_students_claimed,total_eligible_expenses,threshold_amount,net_eligible_instruction_tuition,net_eligible_transport,total_net_claim,reimb_instruction_tuition,reimb_special_circumstance_tuition,reimb_transport,reimb_special_circumstance_transport,prior_year_adjustment,total_quarterly_payment,extra_relief_payment,additional_supplemental_payment,comments,reconciles,doc_id
2006,00000000,State,state,12034,633308479,315809060,236456175,,236456175,170922397,8559694,,,-975369,178785922,3000000,,,,sources/state-dese/dese-circuit-breaker.xlsx
2006,00190000,Ayer (non-op),district,13,687730,318570,327121,,327121,245341,,,,,245341,89121,,,,sources/state-dese/dese-circuit-breaker.xlsx
2006,01250000,Harvard,district,22,986477,652310,313167,,313167,234875,,,,,234875,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2006,01620000,Lunenburg,district,21,1003928,530950,391606,,391606,293705,,,,,293705,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2006,06100000,Ashburnham-Westminster,district,44,1829944,1334960,494984,,494984,371238,,,,,371238,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2006,06730000,Groton-Dunstable,district,31,1650563,697820,784668,,784668,588501,,,,,588501,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2006,07350000,North Middlesex,district,25,1624665,743330,858481,,858481,643861,,,,,643861,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2007,00000000,State,state,11883,655529415,330750784,250589087,,250589087,181537626,8534444,,,-799863,189342207,3000000,,,,sources/state-dese/dese-circuit-breaker.xlsx
2007,00190000,Ayer (non-op),district,17,1083287,537472,545815,,545815,409361,,,,,409361,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2007,01250000,Harvard,district,24,1094826,758784,336042,,336042,252032,,,,,252032,209405,,,,sources/state-dese/dese-circuit-breaker.xlsx
2007,01620000,Lunenburg,district,18,976678,553280,398519,,398519,298889,,,,,298889,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2007,06100000,Ashburnham-Westminster,district,37,1756876,1169792,587084,,587084,440313,,,,,440313,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2007,06730000,Groton-Dunstable,district,26,1715226,663936,870606,,870606,652955,,,,,652955,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2007,07350000,North Middlesex,district,28,1678250,869440,715380,,715380,536535,,,,,536535,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2008,00000000,State,state,11821,686589145,347531250,261609917,,261609917,190581586,7501184,,,-225586,197891716,3799583,,,,sources/state-dese/dese-circuit-breaker.xlsx
2008,00190000,Ayer (non-op),district,23,1300725,741400,526434,,526434,394826,,,,,394826,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2008,01250000,Harvard,district,24,1467936,775100,659952,,659952,494964,,,,-13200,481764,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2008,01620000,Lunenburg,district,24,1291577,775100,407190,,407190,305393,,,,,305393,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2008,06100000,Ashburnham-Westminster,district,38,1793009,1280600,512409,,512409,384307,,,,,384307,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2008,06730000,Groton-Dunstable,district,26,1993249,775100,1187431,,1187431,890573,,,,,890573,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2008,07350000,North Middlesex,district,31,2061440,1027850,1009342,,1009342,757007,,,,,757007,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2009,00000000,State,state,11872,726131414,369004472,277291867,,277291867,193864581,8035500,,,-149847,201871694,3824955,121460,,,sources/state-dese/dese-circuit-breaker.xlsx
2009,00190000,Ayer (non-op),district,24,1355500,743568,537163,,537163,386760,,,,,386760,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2009,01250000,Harvard,district,23,1613638,814384,799254,,799254,575465,,,,,575465,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2009,01620000,Lunenburg,district,23,1495433,796680,658752,,658752,474301,,,,,474301,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2009,06100000,Ashburnham-Westminster,district,37,2100838,1310096,790742,,790742,569334,,,,,569334,28787,,,,sources/state-dese/dese-circuit-breaker.xlsx
2009,06730000,Groton-Dunstable,district,31,1991456,920608,916392,,916392,659805,,,,,659805,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2009,07350000,North Middlesex,district,41,2617135,1451728,1165407,,1165407,839092,,,,,839092,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2010,00000000,State,state,11577,754018504,381884104,290063786,,290063786,119434539,7965379,,,-330521,127079957,1269579,10560,,,sources/state-dese/dese-circuit-breaker.xlsx
2010,00190000,Ayer (non-op),district,32,1658036,839880,472603,,472603,200109,,,,,200109,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2010,01250000,Harvard,district,24,1723222,746560,856622,,856622,362710,,,,,362710,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2010,01620000,Lunenburg,district,26,1491707,951864,498853,,498853,211224,,,,,211224,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2010,06100000,Ashburnham-Westminster,district,44,2603737,1642432,879043,,879043,371303,2128,,,-28787,344644,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2010,06730000,Groton-Dunstable,district,34,2198470,1269152,929318,,929318,393491,,,,,393491,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2010,07350000,North Middlesex,district,59,3519223,1978384,1329445,,1329445,562912,,,,,562912,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2011,00000000,State,state,11852,729999953,374382840,282609604,,282609604,120445201,6767135,,,-243322,126969014,1831169,,,,sources/state-dese/dese-circuit-breaker.xlsx
2011,00190000,Ayer (non-op),district,23,1420020,869310,523146,,523146,228429,,,,,228429,109481,,,,sources/state-dese/dese-circuit-breaker.xlsx
2011,01250000,Harvard,district,26,1390941,676130,650724,,650724,284135,,,,,284135,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2011,01620000,Lunenburg,district,23,1368309,830674,460707,,460707,201165,,,,,201165,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2011,06100000,Ashburnham-Westminster,district,30,2026438,1159080,867358,,867358,378727,,,,,378727,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2011,06730000,Groton-Dunstable,district,38,2515286,1448850,914615,,914615,399362,,,,,399362,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2011,07350000,North Middlesex,district,45,3021340,1738620,1217048,,1217048,531418,,,,,531418,,,,,sources/state-dese/dese-circuit-breaker.xlsx
2012,00000000,State,state,9892,663615690,370411734,293203956,,293203956,210393348,6433543,,,-132119,203348382,2077280,7045000,,,sources/state-dese/dese-circuit-breaker.xlsx
2012,01250000,Harvard,district,19,1390230,684504,705726,,705726,502140,,,,,484891,,17249,Supplemental payments increased instruction/tuition reimbursement to 71.2%.,,sources/state-dese/dese-circuit-breaker.xlsx
2012,01620000,Lunenburg,district,25,1542888,931686,611202,,611202,434883,,,,,419945,132751,14938,Supplemental payments increased instruction/tuition reimbursement to 71.2%.,,sources/state-dese/dese-circuit-breaker.xlsx
2012,06100000,Ashburnham-Westminster,district,26,1698798,969714,729084,,729084,518760,,,,,500940,,17820,Supplemental payments increased instruction/tuition reimbursement to 71.2%.,,sources/state-dese/dese-circuit-breaker.xlsx
