name,source_kind,dataset_id,portal_page,api_endpoint,publisher,local,bytes,sha256,offers,refresh_note
District Expenditures by Function Code,socrata,cnfs-edqq,https://educationtocareer.data.mass.gov/d/cnfs-edqq,https://educationtocareer.data.mass.gov/api/v3/views/cnfs-edqq/query.json,https://educationtocareer.data.mass.gov,sources/state-dese/district-expenditures-by-function.xlsx,26156131,9e43789807b17ea6a1098273da8fb7fd8a28c20d4cd4733ba9e25fc69d4d4423,"GEN_FUND and GRNTS_REVOLV separately, by function code, per district, 2009-2025. The fund split rule 11 says nobody publishes.",
District Expenditures by Spending Category,socrata,er3w-dyti,https://educationtocareer.data.mass.gov/d/er3w-dyti,https://educationtocareer.data.mass.gov/api/v3/views/er3w-dyti/query.json,https://educationtocareer.data.mass.gov,sources/state-dese/district-expenditures-by-spending-category.xlsx,5661905,653615f4b7d0a8302ce632fecc90ed43193fc37c835ea3023e14facd5d949877,"Supersedes dese_measure on coverage: 421 districts against 7, and agrees with it exactly where they overlap.",
School Expenditures by Spending Category,socrata,i5up-aez6,https://educationtocareer.data.mass.gov/d/i5up-aez6,https://educationtocareer.data.mass.gov/api/v3/views/i5up-aez6/query.json,https://educationtocareer.data.mass.gov,sources/state-dese/school-expenditures-by-spending-category.xlsx,28945330,641d003ff40ebe95fa2bf5b6c179da9d22ff23ba809a25594f48b6985bcaa3bb,Per-SCHOOL spending. The only per-school financial series in this archive.,
Where Residents Go to School (Sending),socrata,vxt3-k35x,https://educationtocareer.data.mass.gov/d/vxt3-k35x,https://educationtocareer.data.mass.gov/api/v3/views/vxt3-k35x/query.json,https://educationtocareer.data.mass.gov,sources/state-dese/dese-residents-sending.xlsx,2529872,ef345000874dab5ae2634cf084b5e8708f73f9740ae7065bf1ebb00846eccfe9,"Where resident children go, by receiving district and reason, 2014-2026. Closes ""how many children leave and for where"".",
Reasons for Student Enrollment by Town (Receiving),socrata,8xyg-59b2,https://educationtocareer.data.mass.gov/d/8xyg-59b2,https://educationtocareer.data.mass.gov/api/v3/views/8xyg-59b2/query.json,https://educationtocareer.data.mass.gov,sources/state-dese/dese-enrollment-receiving.xlsx,2269473,b23f4106f6c08bfe733b0c4e2c536fbf7ba4160d45861dcd19d0c38ef2bea29b,Who arrives and from where. The mirror of the sending file; together they give a NET choice position.,
Special Education Circuit Breaker Reimbursements,socrata,ab34-d3ma,https://educationtocareer.data.mass.gov/d/ab34-d3ma,https://educationtocareer.data.mass.gov/api/v3/views/ab34-d3ma/query.json,https://educationtocareer.data.mass.gov,sources/state-dese/dese-circuit-breaker.xlsx,459801,b710ba4f88fb70823ca6bfe5ee8e8c115a255ed4b95465d1eafb06b79e9600cb,"A fund rule 11 names as unmapped, AND a count of children: ELIG_STU_CLAIM_CNT.","Keys on FY, not SY. Every other file here is school year."
Chapter 70 Foundation Budget and Net School Spending,socrata,5izv-jyrd,https://educationtocareer.data.mass.gov/d/5izv-jyrd,https://educationtocareer.data.mass.gov/api/v3/views/5izv-jyrd/query.json,https://educationtocareer.data.mass.gov,sources/state-dese/dese-ch70-foundation-nss.xlsx,336495,2f581d1c6eda0e76fb8d84dd1181d674ae6e251a016feed8f4a2562b9e6088c4,Required against actual net school spending. Lunenburg sits at ~128% of the floor.,Stops at SY2022. The Chapter 70 profile workbook below runs to FY2026.
Elementary and Secondary Teachers by Grade and Subject,socrata,77fu-a6h8,https://educationtocareer.data.mass.gov/d/77fu-a6h8,https://educationtocareer.data.mass.gov/api/v3/views/77fu-a6h8/query.json,https://educationtocareer.data.mass.gov,sources/state-dese/dese-teachers-by-grade-subject.xlsx,136220984,76a5498ba1b5d7763f803135885daf65be3b12d4c519e167b935dccdc88c2d13,"FTE by grade band AND subject AND school. Breaks a limit recorded as structural: grade detail without FTE, or FTE without grade detail, never both.",Carries a State row and a SUBJ of All beside detail. Establish levels before summing.
Elementary and Secondary Teachers by Program Area,socrata,vd2f-ib9q,https://educationtocareer.data.mass.gov/d/vd2f-ib9q,https://educationtocareer.data.mass.gov/api/v3/views/vd2f-ib9q/query.json,https://educationtocareer.data.mass.gov,sources/state-dese/dese-teachers-by-program-area.xlsx,3327582,9fa88b8e1906ea0945cd6658a79e1f0c25420d25f72f481fafd2890b51f4aa79,"GEN_ED / SPED / CAREER_TECH / EL teacher FTE, per school.","Lunenburg SPED FTE falls 18.5 (2008) to 2.0 (2026) while total FTE holds flat. That is the signature of recoding, not of staff leaving. UNRESOLVED."
Elementary and Secondary Teacher Data,socrata,4684-cw3t,https://educationtocareer.data.mass.gov/d/4684-cw3t,https://educationtocareer.data.mass.gov/api/v3/views/4684-cw3t/query.json,https://educationtocareer.data.mass.gov,sources/state-dese/dese-teacher-data.xlsx,25969884,4fbe81d65aee0bff88504cfc21dc2140ef9bc4a073bb5bad6b167c738767e2ea,"Teacher counts, student-teacher ratio, licensure, experience, in-field share.",
"Total Educators, Retention, and New Hires",socrata,fz9c-2g33,https://educationtocareer.data.mass.gov/d/fz9c-2g33,https://educationtocareer.data.mass.gov/api/v3/views/fz9c-2g33/query.json,https://educationtocareer.data.mass.gov,sources/state-dese/dese-educators-retention.xlsx,1633461,be8a87c9471e269743cda24d9d223b6f6110d22c343e0a12464f92d1476b5599,"Headcount by job class INCLUDING Administrator and Paraprofessional, plus hires and retention. 2021-2023 only.","Headcount, not FTE. Administrators 28->38 over three years on a base of ten people; a reclassification would look identical."
Special Education Indicators,socrata,yamx-769q,https://educationtocareer.data.mass.gov/d/yamx-769q,https://educationtocareer.data.mass.gov/api/v3/views/yamx-769q/query.json,https://educationtocareer.data.mass.gov,sources/state-dese/dese-sped-indicators.xlsx,12072013,41d517465d5923be28c6e153f17bd7f7795e2256f5f8db070b74ada3c638561a,"A published COUNT of students with disabilities, 217-265, plus sped staffing ratios.","Its paraprofessional ratio times the count implies $69,161 per FTE against the district budget line. The two are not the same population. UNRESOLVED."
Special Education Program Characteristics and Student Demographics,socrata,n62c-bx65,https://educationtocareer.data.mass.gov/d/n62c-bx65,https://educationtocareer.data.mass.gov/api/v3/views/n62c-bx65/query.json,https://educationtocareer.data.mass.gov,sources/state-dese/dese-sped-program-characteristics.xlsx,5447420,417435bddfcac3eb1f2f05ab9b3c39ef837a6f46594494036030df7dd377c971,Disability type and demographics behind the SWD count.,
Special Education Placement Trajectory,socrata,92x3-2qj9,https://educationtocareer.data.mass.gov/d/92x3-2qj9,https://educationtocareer.data.mass.gov/api/v3/views/92x3-2qj9/query.json,https://educationtocareer.data.mass.gov,sources/state-dese/dese-sped-placement-trajectory.xlsx,780632,ff3e4c9e8dd8bb7db54c90ca3a89321f395e8696ad39260c01069cdacb6ff794,Where a child starts against where they end up. The route into out-of-district.,Tiny bases. 14.3% of 28 is four children; the percentage must never travel alone.
Students Moving In and Out of Special Education Services,socrata,8aww-sugs,https://educationtocareer.data.mass.gov/d/8aww-sugs,https://educationtocareer.data.mass.gov/api/v3/views/8aww-sugs/query.json,https://educationtocareer.data.mass.gov,sources/state-dese/dese-sped-movement.xlsx,1140538,2b5e67f3ba6b1cbde105170fc28a1edaae2d50f7a9e80f2adc4411f83f1510a5,Caseload dynamics: how many enter and leave services each year.,SY2024 and SY2025 are identical across all four columns. Probably a carried-forward row; check before quoting either.
"Enrollment: Grade, Race/Ethnicity, Gender, and Selected Populations",socrata,t8td-gens,https://educationtocareer.data.mass.gov/d/t8td-gens,https://educationtocareer.data.mass.gov/api/v3/views/t8td-gens/query.json,https://educationtocareer.data.mass.gov,sources/state-dese/dese-enrollment-by-grade.xlsx,13368300,a2fb23dea70ce67dc0aea46a5eb4856630b1655d2ddf470b96681cdc6a56543e,Enrollment by grade and school. The denominators for most of the above.,
Chapter 70 District Profile,doe.mass.edu,qt58-634r,https://educationtocareer.data.mass.gov/d/qt58-634r,,https://www.doe.mass.edu/finance/chapter70/,sources/state-dese/dese-ch70-district-profile.xlsx,3848346,a0dc63bc9d515b28614c0ac5a0de70402a3e8a22dab1a4333e516808ad62df61,"34 years of the Chapter 70 formula, FY1993-FY2026 — foundation enrollment, foundation budget, required local contribution, aid, required and actual NSS. FY2026 aid reconciles exactly to the figure derived independently for /state-aid.",The Socrata page qt58-634r has NO DOWNLOAD and redirects here. Read with data_only=True and take the DataC70 sheet; the front sheet is a VLOOKUP interface.
Chapter 70 Key Factors,doe.mass.edu,,,,https://www.doe.mass.edu/finance/chapter70/,sources/state-dese/dese-ch70-key-factors.xlsx,4597493,9fdc7d0a6131c82a400509f336f2ac88539e05b2dde1b019232757e668bc2e6f,"Foundation enrollment split by English learner, vocational and low-income share — the formula INPUTS, which is what lets anybody model how it responds to enrollment change.","Data sheets are dataAid, dataNSS, dataContribution. Front sheet is an interface."
Job Classification Codes (evaluation),doe.mass.edu,,,,https://www.doe.mass.edu/,sources/state-dese/dese-job-classification-codes.docx,89562,d9ee60dd6f3072cd982a362c4b247f5bc92aafc58e626365510f26f96b3413ae,"43 code/label pairs -- 1200 Superintendent, 1305 Principal and so on. The vocabulary behind EPIMS job classification.","Covers the EVALUATION job classes: administrators and licensed staff. Contains NO paraprofessional codes, so it does not by itself resolve the paraprofessional boundary."
SIMS Data Handbook (current),doe.mass.edu,,,,https://www.doe.mass.edu/,sources/state-dese/sims-datahandbook-current.docx,208588,c73f309549e13b0c07cc59c30b0e60b6f37a0efd1749b309b44132ec00071ec2,"Defines STUDENT data: special education placement, school choice. 42 mentions of special education, 6 of placement.","Contains NO staffing definitions — checked with word boundaries after raw substring counts said otherwise. The staffing definitions are in EPIMS, which is NOT YET HELD and is what would resolve both open contradictions."
EPIMS Data Handbook,doe.mass.edu,,,,https://www.doe.mass.edu/,sources/state-dese/epims-datahandbook.docx,166851,5509621edcd551e036a99021a54e20102ba13a2f373dccb93f2efdccea066ad8,"RESOLVES the paraprofessional contradiction: FTE is per ASSIGNMENT, not per person, so DESE FTE and the district budget line have different denominators. AND reveals that EPIMS collects per-individual Federal Salary Source plus percent of salary — which fund pays which post, the thing rule 11 says nobody publishes.",Federal grants only; state grants and revolving funds are not in these fields.
SIMS Data Handbook 2021,doe.mass.edu,,,,https://www.doe.mass.edu/,sources/state-dese/sims-datahandbook_2021.docx,431477,be9c1fef99a9770a2868c7c1c5cc1b32bca8a99a3a0271827220c9c110c1bd07,"As above, 2021 edition.",
SIMS Data Handbook 2022,doe.mass.edu,,,,https://www.doe.mass.edu/,sources/state-dese/sims-datahandbook_2022.docx,423618,65ca4aea143071f05cc2387f83b073a6c88fec8d3b842ec7ac5fbf80beddfe63,"As above, 2022 edition.",
"EPIMS federal salary source, aggregated by job classification",WANTED,,records request — Lunenburg Public Schools,,,,0,,EPIMS collects per-individual federal grant funding percentages. Aggregated by job classification this answers which fund pays which post — rule 11 outright. No individual records sought.,Not yet held.
