fy,lea,district,geo_level,grades,grades_level,enrolled_cnt,on_iep_cnt,moved_in_cnt,moved_out_cnt,grade_rows_sum,repeats_prior_year,doc_id
2019,00000000,State,state,Grade 1,grade,65567,9137,2811,673,,,sources/state-dese/dese-sped-movement.xlsx
2019,00000000,State,state,Grade 10,grade,71250,12345,758,863,,,sources/state-dese/dese-sped-movement.xlsx
2019,00000000,State,state,Grade 11,grade,68423,11031,442,803,,,sources/state-dese/dese-sped-movement.xlsx
2019,00000000,State,state,Grade 12,grade,4273,2529,69,93,,,sources/state-dese/dese-sped-movement.xlsx
2019,00000000,State,state,Grade 2,grade,66330,10900,2634,736,,,sources/state-dese/dese-sped-movement.xlsx
2019,00000000,State,state,Grade 3,grade,66854,12106,2134,944,,,sources/state-dese/dese-sped-movement.xlsx
2019,00000000,State,state,Grade 4,grade,68551,13158,1703,877,,,sources/state-dese/dese-sped-movement.xlsx
2019,00000000,State,state,Grade 5,grade,70542,13688,1408,834,,,sources/state-dese/dese-sped-movement.xlsx
2019,00000000,State,state,Grade 6,grade,71046,13920,1177,974,,,sources/state-dese/dese-sped-movement.xlsx
2019,00000000,State,state,Grade 7,grade,70436,13672,1134,879,,,sources/state-dese/dese-sped-movement.xlsx
2019,00000000,State,state,Grade 8,grade,68096,12989,1007,1035,,,sources/state-dese/dese-sped-movement.xlsx
2019,00000000,State,state,Grade 9,grade,73907,13542,1202,877,,,sources/state-dese/dese-sped-movement.xlsx
2019,00000000,State,state,K-12,all,860418,159726,20255,11136,828974,,sources/state-dese/dese-sped-movement.xlsx
2019,00000000,State,state,Kindergarten,grade,63699,7783,2531,915,,,sources/state-dese/dese-sped-movement.xlsx
2019,01250000,Harvard,district,Grade 1,grade,72,7,0,0,,,sources/state-dese/dese-sped-movement.xlsx
2019,01250000,Harvard,district,Grade 10,grade,98,12,1,3,,,sources/state-dese/dese-sped-movement.xlsx
2019,01250000,Harvard,district,Grade 11,grade,90,10,0,0,,,sources/state-dese/dese-sped-movement.xlsx
2019,01250000,Harvard,district,Grade 2,grade,66,7,1,0,,,sources/state-dese/dese-sped-movement.xlsx
2019,01250000,Harvard,district,Grade 3,grade,75,6,0,2,,,sources/state-dese/dese-sped-movement.xlsx
2019,01250000,Harvard,district,Grade 4,grade,71,10,1,2,,,sources/state-dese/dese-sped-movement.xlsx
2019,01250000,Harvard,district,Grade 5,grade,87,12,0,3,,,sources/state-dese/dese-sped-movement.xlsx
2019,01250000,Harvard,district,Grade 6,grade,75,8,0,0,,,sources/state-dese/dese-sped-movement.xlsx
2019,01250000,Harvard,district,Grade 7,grade,77,9,3,0,,,sources/state-dese/dese-sped-movement.xlsx
2019,01250000,Harvard,district,Grade 8,grade,74,9,4,1,,,sources/state-dese/dese-sped-movement.xlsx
2019,01250000,Harvard,district,Grade 9,grade,102,9,0,1,,,sources/state-dese/dese-sped-movement.xlsx
2019,01250000,Harvard,district,K-12,all,954,108,11,13,940,,sources/state-dese/dese-sped-movement.xlsx
2019,01250000,Harvard,district,Kindergarten,grade,53,3,0,0,,,sources/state-dese/dese-sped-movement.xlsx
