fy,lea,district,geo_level,indicator_category,indicator,indicator_level,printing,denominator_cnt,measure_cnt,measure_pct,value_type,reconciles,doc_id
2020,00000000,State,state,Special Education FTEs per 100 SWDs,Paraprofessionals,member,1,18938.5,166479,0.114,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2020,00000000,State,state,Special Education FTEs per 100 SWDs,Services,member,1,5873.8,166479,0.035,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2020,00000000,State,state,Special Education FTEs per 100 SWDs,Support,member,1,1615,166479,0.01,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2020,00000000,State,state,Special Education FTEs per 100 SWDs,Teachers,member,1,9831.5,166479,0.059,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2020,00000000,State,state,Special Education FTEs per 100 SWDs,Total Special Education FTEs,total,1,36258.8,166479,0.218,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2020,00000000,State,state,Special Education FTEs per 100 SWDs,Total Students with Disabilities,member,1,166479,166479,1.0,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2020,01250000,Harvard,district,Special Education FTEs per 100 SWDs,Paraprofessionals,member,1,13,100,0.13,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2020,01250000,Harvard,district,Special Education FTEs per 100 SWDs,Services,member,1,,,,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2020,01250000,Harvard,district,Special Education FTEs per 100 SWDs,Support,member,1,,,,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2020,01250000,Harvard,district,Special Education FTEs per 100 SWDs,Teachers,member,1,,,,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2020,01250000,Harvard,district,Special Education FTEs per 100 SWDs,Total Special Education FTEs,total,1,21.2,100,0.212,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2020,01250000,Harvard,district,Special Education FTEs per 100 SWDs,Total Students with Disabilities,member,1,100,100,1.0,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2020,01620000,Lunenburg,district,Special Education FTEs per 100 SWDs,Paraprofessionals,member,1,44,244,0.18,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2020,01620000,Lunenburg,district,Special Education FTEs per 100 SWDs,Services,member,1,8.5,244,0.035,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2020,01620000,Lunenburg,district,Special Education FTEs per 100 SWDs,Support,member,1,,,,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2020,01620000,Lunenburg,district,Special Education FTEs per 100 SWDs,Teachers,member,1,,,,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2020,01620000,Lunenburg,district,Special Education FTEs per 100 SWDs,Total Special Education FTEs,total,1,60,244,0.246,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2020,01620000,Lunenburg,district,Special Education FTEs per 100 SWDs,Total Students with Disabilities,member,1,244,244,1.0,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2020,06100000,Ashburnham-Westminster,district,Special Education FTEs per 100 SWDs,Paraprofessionals,member,1,75,437,0.172,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2020,06100000,Ashburnham-Westminster,district,Special Education FTEs per 100 SWDs,Services,member,1,,,,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2020,06100000,Ashburnham-Westminster,district,Special Education FTEs per 100 SWDs,Support,member,1,8.6,437,0.02,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2020,06100000,Ashburnham-Westminster,district,Special Education FTEs per 100 SWDs,Teachers,member,1,23.1,437,0.053,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
2020,06100000,Ashburnham-Westminster,district,Special Education FTEs per 100 SWDs,Total Special Education FTEs,total,1,112,437,0.256,Percent,no,sources/state-dese/dese-sped-program-characteristics.xlsx
