fy,lea,district,org_code,org_name,org_level,subject,subject_level,pk_2_fte,grade_3_5_fte,grade_6_8_fte,grade_9_12_fte,multi_grade_fte,all_grade_fte,total_fte,printing,reconciles,agrees_with_teacher_subject,doc_id
2008,00000000,State,00000000,State,state,"Agriculture, Food, and Natural Resources",subject,0,0.3,0.8,7.8,3,2.3,14.1,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,All,all,12877.5,10964,14473.5,16935.4,10139.1,5327.1,70716.6,1,yes,yes,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Architecture and Construction,subject,0,0,9.8,64.4,28.6,19.1,121.8,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Arts,subject,319,477.7,812.9,486.5,873,929.9,3899.1,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Business and Marketing,subject,0.2,0.8,8.4,186,76.6,46.2,318.1,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,CH74 - Agriculture and Natural Resources,subject,0,0,0,50.1,10.9,20,81,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,CH74 - Arts and Communications Services,subject,0,0,0,101.8,7.9,0,109.7,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,CH74 - Business and Consumer Services,subject,0,0,0,150.8,14.2,2.4,167.4,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,CH74 - Construction,subject,0,0,0,358.1,27.8,0.8,386.8,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,CH74 - Exploratory,subject,0,0,0,150.7,1,0,151.7,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,CH74 - Health,subject,0,0,0,113,7.9,2,122.9,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,CH74 - Hospitality and Tourism,subject,0,0,0,118.8,19.1,5.6,143.5,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,CH74 - Human Services and Education,subject,0,0,0,22,4,1.3,27.2,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,CH74 - Information Technology Services,subject,0,0,0,48.8,2,3,53.8,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,"CH74 - Manufacturing, Engineering and Technology",subject,0,0,0,213.4,15.4,3.3,232.2,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,CH74 - Transportation,subject,0.3,0,0,192,15.8,6,214,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Civics/Government,subject,0,0,14.5,164.8,41,8,228.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Communications and Audio/Visual Technology,subject,0,0,12.6,109.9,61.9,31.3,215.7,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Computer and Information Sciences,subject,35.8,68.1,209,192.2,239.9,222.4,967.4,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Core-All Subjects,group,11647.1,8645,1354.3,271.4,3704.3,1024.7,26646.6,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Economics,subject,0,0,0,36,8,2.3,46.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Engineering and Technology,subject,2,9.2,171.9,97.8,65.7,41.7,388.2,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,English/Language Arts,subject,172.8,422.6,2758.7,3223.9,665.3,246.1,7489.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Foreign Language,subject,53.1,84.6,734.3,1298.2,458.7,203.1,2832,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Geography,subject,0,0,265.8,12.2,3.3,1.5,282.8,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Health Care Sciences,subject,0,1.2,12.1,34,9.5,7.2,64.1,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,History,subject,87.4,239.5,782.7,1866.6,234.3,43.1,3253.7,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Hospitality and Tourism,subject,0,0,1.3,45,20.3,10.4,77.1,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Human Services,subject,2,0,1.3,62.2,23.9,13.9,103.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Manufacturing,subject,0,0,12.1,35.8,18.8,6.8,73.5,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Mathematics,subject,113.7,339.8,2580.5,2704.9,694.3,189.1,6622.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Military Science,subject,0,0,0,14.6,2.4,5.6,22.6,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Miscellaneous,subject,84.6,44.4,441.3,719.8,372.8,627.3,2290.2,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,"Physical, Health, and Safety Education",subject,120,178.7,715.4,712.5,565.9,885,3177.5,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,"Public, Protective, and Government Service",subject,0,0,0,11.4,0.9,0.3,12.7,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Reading,subject,126.1,144.2,406.2,101.4,456.6,411,1645.5,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Religious Education and Theology,subject,0,0,0,2.1,2.2,0.9,5.2,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Science,subject,70.3,239.8,1984.6,2410.6,493.8,130.2,5329.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Social Studies/Social Sciences,subject,0,22.1,952.5,362.9,86.9,23.4,1447.8,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Special Education Services,subject,42.9,45.9,230.7,156.1,774.8,134.3,1384.8,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,"Transportation, Distribution and Logistics",subject,0.3,0,0,24.9,14.3,6,45.4,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00000000,State,00000000,State,state,Unknown,subject,0,0,0,0,12,9.9,21.9,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,All,all,19,15,16,21.8,17.9,4,93.7,1,yes,yes,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,Arts,subject,0,0,0,0.3,3,3,6.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,Civics/Government,subject,0,0,0,0.3,0.7,0,1,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,Communications and Audio/Visual Technology,subject,0,0,0,0.7,0,0,0.7,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,Computer and Information Sciences,subject,0,0,0,0.3,1.7,0,2,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,Core-All Subjects,group,19,15,4,0,4,0,42,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,Economics,subject,0,0,0,0.3,0,0,0.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,English/Language Arts,subject,0,0,3,3.3,2.3,0,8.6,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,Foreign Language,subject,0,0,0,2,1,0,3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,History,subject,0,0,0,2,0.7,0,2.6,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,Mathematics,subject,0,0,3,4.3,0,0,7.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,Miscellaneous,subject,0,0,0,2,1.3,0,3.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,"Physical, Health, and Safety Education",subject,0,0,0,2,2,1,5,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,"Public, Protective, and Government Service",subject,0,0,0,0.3,0,0,0.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,Science,subject,0,0,3,3.3,1.3,0,7.6,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,Social Studies/Social Sciences,subject,0,0,3,0.7,0,0,3.7,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190025,Page-Hilltop,school,All,all,19,15,0,0,6.3,2,42.3,1,yes,yes,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190025,Page-Hilltop,school,Arts,subject,0,0,0,0,1,1,2,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190025,Page-Hilltop,school,Core-All Subjects,group,19,15,0,0,4,0,38,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190025,Page-Hilltop,school,English/Language Arts,subject,0,0,0,0,0.3,0,0.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190025,Page-Hilltop,school,"Physical, Health, and Safety Education",subject,0,0,0,0,1,1,2,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190305,Ayer Middle,school,All,all,0,0,16,0,2.3,1,19.3,1,yes,yes,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190305,Ayer Middle,school,Arts,subject,0,0,0,0,1,1,2,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190305,Ayer Middle,school,Computer and Information Sciences,subject,0,0,0,0,1,0,1,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190305,Ayer Middle,school,Core-All Subjects,group,0,0,4,0,0,0,4,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190305,Ayer Middle,school,English/Language Arts,subject,0,0,3,0,0.3,0,3.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190305,Ayer Middle,school,Mathematics,subject,0,0,3,0,0,0,3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190305,Ayer Middle,school,Science,subject,0,0,3,0,0,0,3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190305,Ayer Middle,school,Social Studies/Social Sciences,subject,0,0,3,0,0,0,3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190510,Ayer High School,school,All,all,0,0,0,21.8,9.3,1,32,1,yes,yes,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190510,Ayer High School,school,Arts,subject,0,0,0,0.3,1,1,2.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190510,Ayer High School,school,Civics/Government,subject,0,0,0,0.3,0.7,0,1,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190510,Ayer High School,school,Communications and Audio/Visual Technology,subject,0,0,0,0.7,0,0,0.7,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190510,Ayer High School,school,Computer and Information Sciences,subject,0,0,0,0.3,0.7,0,1,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190510,Ayer High School,school,Economics,subject,0,0,0,0.3,0,0,0.3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190510,Ayer High School,school,English/Language Arts,subject,0,0,0,3.3,1.7,0,5,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
2008,00190000,Ayer (non-op),00190510,Ayer High School,school,Foreign Language,subject,0,0,0,2,1,0,3,1,yes,,sources/state-dese/dese-teachers-by-grade-subject.xlsx
