fy,lea,district,org_code,org_name,org_level,subject,subject_level,teacher_fte,licensed_pct,students_per_teacher,student_teacher_ratio_printed,experienced_pct,teachers_without_license,in_field_pct,core_academic_fte,core_academic_pct,doc_id
2008,00000000,State,00000000,State,state,All Teachers,all,70716.6,0.958,13.6,13.6 to 1,,,,275949,0.957,sources/state-dese/dese-teacher-data.xlsx
2008,00000000,State,00000000,State,state,Arts,subject,3898.7,0.966,,N/A,,,,34070,0.97,sources/state-dese/dese-teacher-data.xlsx
2008,00000000,State,00000000,State,state,Civics/Government,subject,228.3,0.98,,N/A,,,,1212,0.966,sources/state-dese/dese-teacher-data.xlsx
2008,00000000,State,00000000,State,state,Core-All Subjects,group,26462.2,0.977,,N/A,,,,114463,0.975,sources/state-dese/dese-teacher-data.xlsx
2008,00000000,State,00000000,State,state,Economics,subject,46.3,0.97,,N/A,,,,242,0.93,sources/state-dese/dese-teacher-data.xlsx
2008,00000000,State,00000000,State,state,English/Language Arts,subject,7444.1,0.962,,N/A,,,,31550,0.955,sources/state-dese/dese-teacher-data.xlsx
2008,00000000,State,00000000,State,state,Foreign Language,subject,2827.3,0.901,,N/A,,,,14945,0.905,sources/state-dese/dese-teacher-data.xlsx
2008,00000000,State,00000000,State,state,Geography,subject,282.3,0.978,,N/A,,,,1293,0.954,sources/state-dese/dese-teacher-data.xlsx
2008,00000000,State,00000000,State,state,History,subject,3250.9,0.968,,N/A,,,,15056,0.959,sources/state-dese/dese-teacher-data.xlsx
2008,00000000,State,00000000,State,state,Mathematics,subject,6612.5,0.944,,N/A,,,,28281,0.935,sources/state-dese/dese-teacher-data.xlsx
2008,00000000,State,00000000,State,state,Reading,subject,1641.1,0.972,,N/A,,,,5066,0.941,sources/state-dese/dese-teacher-data.xlsx
2008,00000000,State,00000000,State,state,Science,subject,5325.9,0.94,,N/A,,,,23471,0.922,sources/state-dese/dese-teacher-data.xlsx
2008,00000000,State,00000000,State,state,Social Studies/Social Sciences,subject,1447.1,0.97,,N/A,,,,6300,0.943,sources/state-dese/dese-teacher-data.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,All Teachers,all,93.7,0.989,13.2,13.2 to 1,,,,303,0.772,sources/state-dese/dese-teacher-data.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,Arts,subject,6.3,1.0,,N/A,,,,17,1.0,sources/state-dese/dese-teacher-data.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,Civics/Government,subject,1,1.0,,N/A,,,,3,1.0,sources/state-dese/dese-teacher-data.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,Core-All Subjects,group,42,1.0,,N/A,,,,162,0.63,sources/state-dese/dese-teacher-data.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,Economics,subject,0.3,1.0,,N/A,,,,1,1.0,sources/state-dese/dese-teacher-data.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,English/Language Arts,subject,7.6,1.0,,N/A,,,,29,0.897,sources/state-dese/dese-teacher-data.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,Foreign Language,subject,3,1.0,,N/A,,,,9,0.667,sources/state-dese/dese-teacher-data.xlsx
2008,00190000,Ayer (non-op),00190000,Ayer (non-op),district,History,subject,2.6,1.0,,N/A,,,,8,1.0,sources/state-dese/dese-teacher-data.xlsx
