dor_code,municipality,fy,vote_date,result,yes_votes,no_votes,vote_type,department,description,amount,source_file,sha256
001,Abington,1990,1989-07-01,WIN,1383,1175,Override,GENERAL OPERATING,Operating,503000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
001,Abington,1992,1991-08-01,LOSS,1372,1411,Override,SCHOOL,Fund School Department Budget,324752,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
001,Abington,1992,1991-08-01,WIN,2045,750,Override,PUBLIC WORKS & FACILITIES,Fund Waste Collection Disposal Budget,575000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
001,Abington,2004,2003-06-07,LOSS,1507,2622,Override,GENERAL OPERATING,Funding Operation Of Town,1560974,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
001,Abington,2009,2008-04-26,WIN,680,675,Override,PUBLIC WORKS & FACILITIES,Funding The Solid Waste Collection Budget,650000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
001,Abington,2026,2026-05-22,LOSS,1087,1412,Override,GENERAL GOVERNMENT,Funding Town Hall Departments,358380,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
002,Acton,1990,1989-04-01,WIN,1825,1160,Override,GENERAL OPERATING,Operating,690000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
002,Acton,1991,1990-03-01,WIN,2543,1113,Override,GENERAL OPERATING,General Operating Expenses,988000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
002,Acton,1992,1991-03-01,WIN,2543,1463,Override,GENERAL OPERATING,General Budget,1200000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
002,Acton,1994,1993-03-30,LOSS,2319,2432,Override,GENERAL OPERATING,General Operating Expenditures,1550000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
002,Acton,1994,1993-06-08,LOSS,2754,3162,Override,GENERAL OPERATING,General Operating Expenditures,687000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
002,Acton,1995,1994-05-17,LOSS,1955,2222,Override,SCHOOL,School Expenses,397272,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
002,Acton,2000,1999-05-18,LOSS,3003,3799,Override,SCHOOL,Educational Expenses For Fiscal Year,1184920,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
002,Acton,2004,2003-04-01,WIN,3769,3313,Override,GENERAL OPERATING,General Operating Expenses,3000000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
002,Acton,2006,2005-03-29,WIN,3805,2971,Override,GENERAL OPERATING,General Operating Expenditures,3800000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
002,Acton,2025,2024-04-30,WIN,3191,3154,Override,GENERAL GOVERNMENT,Public Schools And Muni Government,6600000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
004,Adams,1992,1991-05-06,LOSS,516,1585,Override,SCHOOL,Fund Towns Share Of Reg.School Assess.,275000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
006,Alford,1991,1990-05-01,WIN,59,31,Override,PUBLIC WORKS & FACILITIES,Sanitation Expenses,40000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
007,Amesbury,1992,1991-04-08,LOSS,1092,2688,Override,GENERAL GOVERNMENT,Replace Decrease Of State Aid,993419,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
007,Amesbury,1992,1991-04-08,LOSS,1206,2628,Override,GENERAL OPERATING,Addit. Money For School & Gen Oper.Exp.,1191500,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
007,Amesbury,2008,2007-11-06,LOSS,1025,2155,Underride,GENERAL OPERATING,Reduce Amount Of Real Estate And Personal Property Taxes,-1000000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
007,Amesbury,2026,2025-11-04,LOSS,2211,3113,Override,GENERAL OPERATING,City And Schools Operating Budgets,6000000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,1991,1990-05-01,LOSS,1725,2005,Override,GENERAL OPERATING,"Cap And Oper Budgets For Lib, Schs, Town",557698,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,1992,1991-05-01,LOSS,2467,2761,Override,PUBLIC SAFETY,"Police Position, Human Resource Budget",26290,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,1992,1991-05-01,WIN,2792,2468,Override,CULTURE AND RECREATION,"Jones,North Amherst,Munson Libraries",11097,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,1992,1991-05-01,WIN,2795,2415,Override,SCHOOL,Amherst Elementary School'S Budget,409884,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,1992,1991-05-01,WIN,2868,2345,Override,SCHOOL,Amherst-Pelham Rsd Assessment,547955,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,1992,1991-05-01,WIN,3101,2089,Override,SCHOOL,Amherst Elementary Schools,299444,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,1992,1991-05-01,WIN,3192,1999,Override,SCHOOL,Amherst-Pelham Rsd Assessment,300000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,1992,1991-05-01,WIN,3226,2009,Override,PUBLIC SAFETY,"Firefighter/Emt, Human Resources Budget",138010,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,1992,1991-05-01,LOSS,2442,2775,Override,PUBLIC WORKS & FACILITIES,Street Lights,34240,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,1992,1991-05-01,LOSS,2387,2837,Override,GENERAL GOVERNMENT,Clerical Position Conservation Dept,3300,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,1995,1994-06-14,LOSS,1867,2031,Override,SCHOOL,Regional School Assessment,297558,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,2005,2004-03-30,WIN,2258,2169,Override,GENERAL OPERATING,General Operating And Capital Expenses,2000000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,2008,2007-05-01,LOSS,2383,2650,Override,GENERAL OPERATING,General Operating And School Expenditures,2500000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
008,Amherst,2011,2010-03-23,WIN,3061,2192,Override,GENERAL OPERATING,General Operating Expenditures,1680441,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
009,Andover,1992,1991-05-06,LOSS,2826,5311,Override,SCHOOL,Adding Funds For Andover Public Schools,1500000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
009,Andover,2003,2002-06-11,LOSS,2881,4937,Override,SCHOOL,Funding School Department Budget And Related Health Insurance Costs,1130000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
010,Arlington,1990,1989-06-01,LOSS,5805,6078,Override,GENERAL OPERATING,Operating Expenses Of Town And Schools,2269528,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
010,Arlington,1991,1990-06-01,WIN,8828,7731,Override,GENERAL OPERATING,General Operating Budget,2520000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
010,Arlington,2006,2005-06-11,WIN,7126,6570,Override,SCHOOL,Fund Town And School Budgets,6000000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
010,Arlington,2012,2011-06-07,WIN,7226,6366,Override,GENERAL OPERATING,Funding Operating Budgets Of Town And School,6490000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
010,Arlington,2020,2019-06-11,WIN,8655,4029,Override,GENERAL OPERATING,Town And School Operating Budget,5500000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
010,Arlington,2025,2023-11-07,WIN,7951,4964,Override,GENERAL OPERATING,Operating Override,7000000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
010,Arlington,2027,2026-03-28,WIN,9829,3855,Override,GENERAL OPERATING,Fund Town And School Operations,14800000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
011,Ashburnham,1990,1989-06-01,LOSS,187,1006,Override,PUBLIC WORKS & FACILITIES,Fund Public Road Improvement Program,300000,OverrideUnderrideVotes.xlsx,8fa6e1fbcf9771b1bdd53778c431c13b72d5b119d23f87f5366b9f20b686b2d6
